957292-Delfina Garcia de Gondim-3615.67
402798-Manuel Capiperibe-13253.21
86997-Antonio Viegas-20411.45
444083-Tabalipa Duarte-13305.79
475891-Clara Alcantara-2896.18
352659-Guida Juca-3536.97
841184-Delfina Garcia de Gondim-6375.95
616012-Guaraci Damasceno-3064.63
916866-Emedlio Pimentel-21333.29
140699-Odilia Bello-666.76
132114-Emiliana Foquio-17306.34
40542-Almor Caiado-17710.37
824956-Mercia Caeira-6526.40
187567-Neeamia Arruda-16.00
920555-Angelica Aranha-14020.76
891377-Trajano Fagundes-5509.45
399926-Cleusa Goes-10667.86
706106-Oliveira Senchez-3309.19
546405-Moaci Mendoa-6128.36
597141-Lina Andrade-20149.76
851713-Zulmira Becerra-7216.25
673247-Emedlia Silvera-17636.65
332051-Neuza Francia-18184.90
168770-Ermelinda Quintela-5851.94
67839-Henrique Bento-2706.31
101497-Celeste Duarte-620.39
831942-Quintiliano Sousa de Arronches-21394.39
157767-Urbano Rodrigues-14516.61
462894-Emiliana Foquio-17542.08
96961-Odete Vasques-20838.05
407421-Clara Alcantara-8981.73
384272-Neuza Francia-7063.62
397607-Odete Vasques-6862.11
50775-Eurico Siqueira-7313.80
304213-Branco Saraba-249.64
150163-Clarindo Areosa-10040.65
457636-Angilica Galante-18748.97
35113-Heleedsa Marins-11275.71
47662-Ximena Castilho-12160.34
895796-Spnia ou Sonia Guerreiro-21261.31
752919-Telma Villalobos-17770.55
718441-Tibefarcio Colao-18994.39
865610-Henrique Bento-21168.37
19381-Daniel Vieyra-9344.04
883673-Tibefarcio Colao-5012.25
862690-Jussara Varanda-718.91
396865-Armindo Castalo-1973.49
886124-Telma Villalobos-19443.84
36574-Antonio Viegas-13489.48
910971-Filomena Barrios-11713.60
106458-Guida Juca-12791.13
474748-Danilo Olaio-2463.48
721793-Antonio Castelo-19842.13
179643-Odilia Bello-18687.49
533420-Heleedsa Marins-4851.49
334612-Telma Villalobos-2515.28
717420-Mercia Caeira-12299.25
513785-Anfnia Seixas-12648.11
881476-Artur Grillo-18078.48
799738-Camila Gabeira-3182.75
365532-Filomena Barrios-10273.81
986281-Angilica Galante-5383.73
78959-Emiliana Foquio-17050.94
524823-Filomena Barrios-9187.90
374647-Delfim Higuera-10583.24
448996-Almor Caiado-11.75
414386-Fulvio Villegas-8988.92
728453-Marilda Leio-13314.06
459015-Jussara Varanda-2788.04
137381-Camila Gabeira-11046.04
175699-Eurico Siqueira-16399.69
843241-Augusta Paio-15144.72
858448-Domingos Pas-4800.67
603282-Trajano Fagundes-6535.92
613476-Cleusa Goes-8219.66
772704-Carminda Morais-14864.15
976359-Spnia ou Sonia Guerreiro-5713.46
104956-Tabalipa Duarte-4215.91
44619-Neeamia Arruda-8340.50
348274-Emedlio Pimentel-10101.87
443245-Spnia ou Sonia Guerreiro-21213.63
919637-Odilia Bello-11517.23
768552-Basilio Pedroso-4950.97
228135-Sara Lameiras-21357.01
478028-Ximena Castilho-14998.31
568004-Liana Cardim-12201.20
832675-Anind Zarco-15480.96
989462-Augusta Paio-15662.01
68502-Sidfnio Frois-3917.62
951271-Emedlia Silvera-19801.10
953859-Ermelinda Quintela-2070.70
925447-Edgar Carvalheiro-3949.89
885019-Polibe Olivares-9347.58
911535-Jussara Varanda-13839.86
46170-Manuel Capiperibe-5139.80
147219-Odilia Camello-15305.48
663678-Ubaldo Mainha-1398.98
42639-Oliveira Carmona-15358.87
12554-Odilia Camello-6074.72
548790-Zulmira Becerra-19284.23
