38209-Telma Villalobos-47.86
288031-Jonatas Felgueiras-11148.24
8530-Honorina Lira-20928.80
991715-Cleusa Goes-2925.91
904592-Tarrataca Soares-2225.22
102554-Trajano Fagundes-2143.56
819466-Telma Villalobos-15978.53
333632-Judite Damasceno-1371.36
783228-Artur Grillo-15812.08
257281-Delfina Garcia de Gondim-9556.51
715517-Elisa Themes-6402.06
648007-Letedcia Gago-17744.94
122864-Flor Portella-4740.19
162967-Jorgina Bogalho-9340.10
647291-Tarrataca Soares-6784.31
896733-Judite Damasceno-21275.34
578278-Branco Saraba-10018.70
28468-Aludsio Sosa-18072.03
812174-Judite Damasceno-11875.03
668640-Taercio Mafra-21077.60
829268-Urbano Rodrigues-14239.92
292353-Romo Paranage-8151.56
95862-Henrique Bento-2157.95
779906-Rodolfo Paz-11629.58
571211-Letedcia Gago-1651.22
368400-Eurico Siqueira-10500.19
37807-Eurico Siqueira-11235.97
560524-Odilia Camello-4131.42
735680-Elisa Themes-6749.54
118434-Delfim Higuera-7196.23
668581-Tarrataca Soares-4949.68
424329-Liana Cardim-57.77
190063-Fulvio Villegas-3668.73
974313-Honorina Lira-15236.53
768795-Guida Juca-16212.24
510804-Quintino Alcantara-8821.09
302896-Esperada Cardoso-16681.46
964537-Moaci Mendoa-12822.24
345710-Neuza Francia-20089.59
745995-Manuel Capiperibe-11345.94
906322-Cleusa Goes-17622.62
91264-Tibofarcio Camacho-2372.03
916123-Cassandra Varejo-4813.93
52821-Anind Zarco-8213.68
147972-Anind Zarco-436.53
881572-Anind Zarco-9741.63
634002-Mercia Caeira-14454.67
983540-Henrique Bento-3119.47
991358-Micaela Chavez-15282.93
953278-Mercia Caeira-19870.39
537940-Henrique Bento-16484.62
90964-Marilda Leio-19365.53
937407-Estanislau Beserra-15189.85
140427-Delfina Garcia de Gondim-6115.55
28988-Micaela Chavez-3772.19
141596-Leonidas Mafra-9811.01
363004-Guaraci Damasceno-13257.35
763723-Oliveira Carmona-3872.34
387925-Antonio Viegas-7262.26
971290-Taercio Mafra-8701.79
181310-Jorgina Bogalho-15387.17
653860-Oliveira Senchez-10793.24
329623-Odilia Camello-16452.62
915014-Tibefarcio Colao-14559.18
867995-Emedlia Silvera-20349.47
473712-Almerinda Palmeira-7086.05
242970-Carminda Morais-5064.85
995017-Delfina Garcia de Gondim-9492.49
694391-Guaraci Damasceno-11716.37
203154-Tibefarcio Colao-10351.24
267300-Delfina Perdigon-16743.05
309505-Domingos Pas-5564.76
904681-Telma Villalobos-663.22
1654-Domingos Pas-6852.37
169599-Letedcia Gago-10871.05
40134-Rodolfo Paz-13155.78
43889-Lina Andrade-1973.38
265808-Augusta Paio-13253.33
238489-Filomena Barrios-7165.43
436936-Melinda Roserio-20467.46
330781-Urbano Rodrigues-8605.30
941610-Tarrataca Soares-9538.40
393093-Letedcia Gago-21157.44
622635-Estanislau Beserra-15702.62
770665-Neeamia Arruda-20764.32
898875-Leonidas Mafra-18639.88
116156-Nuno Balsemeo-19140.32
334568-Honorina Lira-14048.14
801483-Clarindo Areosa-7235.69
421178-Almerinda Palmeira-5965.23
164942-Elisa Themes-18938.54
246791-Branco Saraba-18593.11
287880-Emedlia Silvera-15722.21
650537-Liana Cardim-5303.60
766128-Romo Paranage-1896.47
986297-Tibofarcio Camacho-4375.46
301108-Telma Villalobos-19826.62
953530-Ximena Castilho-10365.13
938581-Ximena Castilho-6958.31
983356-Elisa Themes-21322.52
