916940-Angilica Galante-19840.30
323368-Neeamia Arruda-12123.75
329196-Armanda Amorim-6922.93
464021-Jussara Varanda-13801.61
735196-Cleusa Goes-13608.07
145485-Neeamia Arruda-9971.80
52413-Judite Damasceno-7716.29
116001-Almor Caiado-3413.65
898220-Adelina Quadros-2128.39
256241-Lina Andrade-9098.43
876752-Honorina Lira-2082.76
734259-Neeamia Arruda-10345.99
310180-Gaudancio Fiees-13019.29
899393-Ubaldo Mainha-5889.09
148748-Antonio Viegas-9336.44
811824-Filomena Barrios-5503.06
752345-Gaudancio Fiees-17293.58
769200-Antonio Viegas-12859.91
508755-Marilda Leio-11934.05
171955-Branco Saraba-6641.78
367968-Basilio Pedroso-4165.71
593719-Domingos Pas-3798.22
710941-Trajano Fagundes-16791.32
121587-Polibe Olivares-11525.48
209334-Jonatas Felgueiras-6622.13
620396-Danilo Olaio-1225.41
694839-Letedcia Gago-10402.93
431137-Trajano Fagundes-20020.62
16547-Almerinda Palmeira-7300.88
957662-Joaquim Rufino-6207.76
741532-Angelica Aranha-13301.44
801448-Odete Vasques-5472.54
460778-Neuza Francia-16319.65
565071-Antonio Castelo-9816.03
94700-Adelino Barra-21238.12
268508-Neuza Francia-21244.32
748334-Rodolfo Paz-19806.44
102943-Fulvio Villegas-3165.91
448337-Branco Saraba-17686.08
715439-Flor Portella-1070.82
676843-Tibofarcio Camacho-5368.23
692949-Letedcia Gago-11186.25
47072-Branco Saraba-7396.02
49392-Melinda Roserio-7016.83
599303-Ximena Castilho-15937.78
361905-Delfim Higuera-545.63
181725-Guida Juca-9293.11
294758-Angelica Aranha-16524.14
470204-Melinda Roserio-13623.79
765873-Sidfnio Frois-12526.11
321017-Emedlio Pimentel-19872.88
536308-Tabalipa Duarte-18354.97
521817-Camila Gabeira-11770.60
472134-Odilia Bello-16911.10
25198-Quintino Alcantara-2352.25
423048-Trajano Fagundes-17665.87
253375-Taercio Mafra-21127.69
760076-Silvio Mata-1665.80
857934-Cassandra Varejo-775.66
563498-Flor Portella-4283.32
867134-Armanda Amorim-18396.53
477670-Delfina Garcia de Gondim-13467.06
745610-Celeste Duarte-16442.28
99029-Angelica Aranha-692.16
652053-Taercio Mafra-18982.42
499384-Eurico Siqueira-6651.81
909529-Antonio Castelo-6419.51
630823-Eurico Siqueira-16617.11
282561-Danilo Olaio-18935.69
313081-Sidfnio Frois-9586.49
470526-Armanda Amorim-11115.16
431738-Guaraci Damasceno-7415.10
406018-Joaquim Rufino-9672.55
956791-Tibefarcio Colao-3808.71
617097-Romo Paranage-18315.23
502592-Cassandra Varejo-4705.38
7884-Ermelinda Quintela-6474.48
281995-Dulce Froes-11440.79
136035-Angilica Galante-14653.61
556561-Sofras Cuaresma-8261.91
825798-Gaudancio Fiees-4791.78
748410-Romo Paranage-2641.26
893409-Polibe Olivares-20165.32
782614-Honorina Lira-4710.05
888158-Dulce Froes-16136.22
235240-Urbano Rodrigues-13846.41
279612-Feledcia Peassego-15506.49
274649-Leonidas Mafra-20769.31
496780-Tabalipa Duarte-9825.83
803939-Zungela Ipiranga-4926.56
275977-Feledcia Peassego-10354.82
263675-Cassandra Varejo-1557.47
761057-Nuno Balsemeo-13476.40
513733-Armanda Amorim-19604.23
653436-Almor Caiado-20633.11
832220-Silvio Mata-14070.62
549468-Andreia Moita-6568.58
714709-Carminda Morais-4546.49
475119-Neuza Francia-3146.63
596907-Sara Lameiras-21304.67
425859-Flor Portella-4182.59
432500-Mercia Caeira-5845.23
564920-Joaquim Rufino-12232.84
745491-Henrique Bento-11543.14
447355-Angilica Galante-7584.83
771258-Almor Caiado-18673.16
252496-Basilio Pedroso-6563.81
382601-Quintino Alcantara-20680.96
959920-Odilia Bello-8040.88
636840-Leonidas Mafra-4772.01
969924-Celeste Duarte-19136.27
301320-Lina Andrade-12975.76
379440-Anind Zarco-10406.57
97692-Feledcia Peassego-10119.19
755042-Antonio Castelo-16823.66
239649-Jorgina Bogalho-3706.54
303105-Marilda Leio-6089.06
225021-Emedlia Silvera-18002.89
312751-Danilo Olaio-17267.65
546723-Delfina Garcia de Gondim-13709.18
763582-Telma Villalobos-12254.05
755655-Honorina Lira-1782.22
270267-Ermelinda Quintela-5326.02
584827-Artur Grillo-14886.99
213069-Zulmira Becerra-7119.71
324780-Eurico Siqueira-2657.27
268534-Quintino Alcantara-15570.30
110149-Neeamia Arruda-9477.71
47984-Edgar Carvalheiro-10400.84
589862-Tabalipa Duarte-11.47
332691-Mercia Caeira-21089.11
218681-Carminda Morais-13391.83
196684-Marilda Leio-4239.69
831622-Guaraci Damasceno-5865.54
901688-Quintino Alcantara-8337.67
337887-Leonidas Mafra-19240.92
944179-Flamednia Leiria-14298.77
940358-Jorgina Bogalho-75.03
258079-Manuel Capiperibe-18725.51
857264-Gaudancio Fiees-13866.58
374752-Micaela Chavez-11745.07
296819-Tibofarcio Camacho-10022.42
957491-Sidfnio Frois-199.55
219854-Andreia Moita-14157.86
697954-Guaraci Damasceno-19066.88
146832-Nuno Balsemeo-10275.42
322490-Danilo Olaio-12964.86
44385-Sidfnio Frois-11749.43
537538-Rebeca Neto-3157.18
631052-Tabalipa Duarte-4455.75
871650-Tabalipa Duarte-7879.50
539267-Odilia Camello-4207.63
389558-Filomena Barrios-16697.20
725495-Silvio Mata-7724.56
99200-Moaci Mendoa-13651.54
272800-Ermelinda Quintela-20123.01
538370-Spnia ou Sonia Guerreiro-8321.40
197148-Urbano Rodrigues-15291.84
842933-Emedlio Pimentel-7562.38
72764-Eurico Siqueira-17008.69
476504-Guida Juca-692.57
870492-Oliveira Senchez-1177.97
538817-Gaudancio Fiees-10381.86
645459-Odete Vasques-11069.12
54745-Almerinda Palmeira-9105.27
668363-Micaela Chavez-12828.00
340552-Camila Gabeira-20003.38
499140-Anind Zarco-1980.52
600836-Emedlio Pimentel-1784.11
936424-Neuza Francia-16664.84
846816-Henrique Bento-17539.60
706764-Adelina Quadros-16153.47
329439-Anfnia Seixas-1054.02
