14802-Emedlio Pimentel-11417.81
708976-Odete Vasques-12874.33
614221-Augusta Paio-16403.87
220872-Guaraci Damasceno-606.16
412769-Emedlio Pimentel-7845.50
308006-Tarrataca Soares-319.34
434348-Almor Caiado-20608.80
217360-Dulce Froes-12905.25
292711-Zungela Ipiranga-7241.40
22550-Flamednia Leiria-9881.30
590367-Anfnia Seixas-15071.45
501903-Rebeca Neto-6633.70
291675-Delfim Higuera-8669.84
347842-Henrique Bento-12292.05
200489-Nuno Balsemeo-11611.34
465826-Andreia Moita-18384.42
788967-Estanislau Beserra-6403.93
294170-Polibe Olivares-12246.10
468353-Cleusa Goes-15379.03
42804-Eurico Siqueira-134.42
278500-Antonio Viegas-910.32
294809-Letedcia Gago-9485.34
260189-Daniel Vieyra-3213.42
128468-Branco Saraba-4256.90
612370-Dulce Froes-7098.91
646440-Zungela Ipiranga-19953.57
614646-Carminda Morais-4446.62
495337-Guida Juca-16979.56
384714-Estanislau Beserra-7109.41
446790-Rodolfo Paz-15099.83
122530-Telma Villalobos-21432.62
459440-Jussara Varanda-16050.73
682850-Taercio Mafra-11828.50
890627-Polibe Olivares-3694.95
819997-Guida Juca-13731.07
883728-Ximena Castilho-6832.70
906179-Artur Grillo-4794.01
321698-Joaquim Rufino-6748.96
863998-Flor Portella-4127.97
309438-Trajano Fagundes-4172.44
713271-Feledcia Peassego-16763.66
633162-Honorina Lira-14023.42
603717-Henrique Bento-2585.41
432963-Clara Alcantara-12594.32
436040-Armanda Amorim-13392.52
846140-Gaudancio Fiees-16591.36
612737-Delfim Higuera-19100.42
557503-Fulvio Villegas-5848.80
974608-Delfina Perdigon-10557.44
332404-Jussara Varanda-5655.70
190049-Liana Cardim-12752.83
309691-Angilica Galante-11284.33
535194-Angelica Aranha-10735.53
610397-Sidfnio Frois-14319.86
180119-Angilica Galante-4819.38
373083-Antonio Viegas-10807.84
835729-Tibefarcio Colao-9289.13
699056-Odilia Bello-4709.87
974753-Almor Caiado-14049.62
47534-Odilia Bello-1468.10
364189-Micaela Chavez-3540.00
47248-Carminda Morais-20223.10
105208-Ubaldo Mainha-3143.62
188214-Romo Paranage-7079.72
735950-Lurdes Cotrim-14251.52
19357-Edgar Carvalheiro-16915.25
471219-Eurico Siqueira-428.77
965011-Jonatas Felgueiras-12535.76
855135-Delfina Garcia de Gondim-17035.51
489239-Letedcia Gago-18055.99
209463-Spnia ou Sonia Guerreiro-19769.63
212728-Jonatas Felgueiras-17465.27
164900-Clarindo Areosa-3691.48
669695-Emedlio Pimentel-2508.53
160077-Carminda Morais-5035.89
104790-Emiliana Foquio-3191.24
349974-Domingos Pas-13565.96
508366-Emiliana Foquio-12310.77
653823-Tibefarcio Colao-5274.48
277303-Sofras Cuaresma-3014.54
711212-Mercia Caeira-11186.63
145599-Ximena Castilho-21068.76
406507-Eurico Siqueira-995.57
29131-Urbano Rodrigues-4652.27
623867-Almor Caiado-3409.04
887186-Camila Gabeira-2085.25
192172-Andreia Moita-11488.75
374554-Almerinda Palmeira-19433.83
649741-Estanislau Beserra-9155.53
476133-Augusta Paio-16178.31
417618-Jussara Varanda-20495.42
838385-Oliveira Senchez-4172.04
302035-Ubaldo Mainha-8906.10
913775-Antonio Viegas-16366.39
378171-Angelica Aranha-12157.80
947526-Tibefarcio Colao-10531.83
124845-Joaquim Rufino-6928.92
930402-Domingos Pas-1777.82
296504-Sidfnio Frois-7614.32
627344-Tarrataca Soares-19999.08
