994720-Judite Damasceno-15772.11
615135-Silvio Mata-1044.89
823932-Clarindo Areosa-8356.77
78354-Manuel Capiperibe-19822.81
974791-Artur Grillo-18960.55
728446-Delfina Perdigon-12364.49
51559-Angilica Galante-948.19
322867-Almerinda Palmeira-19017.46
728227-Camila Gabeira-20463.08
76761-Odilia Bello-8643.63
309912-Danilo Olaio-8158.74
547018-Taercio Mafra-4780.06
198157-Adelina Quadros-7218.30
597580-Celeste Duarte-11929.08
797643-Emiliana Foquio-18458.83
663209-Angilica Galante-10591.28
926239-Quintino Alcantara-13131.79
464798-Rebeca Neto-6410.18
720453-Polibe Olivares-5482.63
656771-Artur Grillo-19063.40
536095-Polibe Olivares-17531.66
143173-Oliveira Carmona-15152.29
722967-Almor Caiado-3129.44
12819-Estanislau Beserra-14385.42
583741-Micaela Chavez-8358.55
725927-Esperada Cardoso-14195.19
317234-Celeste Duarte-13749.61
244364-Odilia Bello-4679.42
917043-Almerinda Palmeira-13396.63
930072-Fulvio Villegas-1688.36
789986-Joaquim Rufino-11003.72
556915-Domingos Pas-14165.15
813289-Melinda Roserio-12217.55
415744-Dulce Froes-13517.67
926283-Feledcia Peassego-16413.51
836049-Armindo Castalo-18390.77
389839-Clarindo Areosa-10339.11
122860-Sidfnio Frois-14681.55
390685-Henrique Bento-7485.88
921539-Tabalipa Duarte-9215.19
792185-Odilia Camello-7038.25
861589-Rebeca Neto-9113.82
160419-Letedcia Gago-20221.95
403184-Jussara Varanda-4631.27
220167-Feledcia Peassego-17220.54
376309-Angilica Galante-12024.06
567522-Leonidas Mafra-21107.96
236397-Clara Alcantara-14654.35
847734-Emiliana Foquio-20548.26
121984-Micaela Chavez-1322.63
748624-Emedlia Silvera-18990.56
747397-Odilia Bello-5184.34
777829-Zulmira Becerra-18005.94
562886-Neeamia Arruda-17635.14
148093-Oliveira Senchez-18457.34
568135-Domingos Pas-7356.26
97994-Polibe Olivares-20001.94
538552-Emiliana Foquio-5719.47
650527-Quintino Alcantara-12137.94
350961-Lurdes Cotrim-9704.33
86278-Rodolfo Paz-106.98
646466-Telma Villalobos-15824.45
588438-Odete Vasques-6597.39
241837-Tabalipa Duarte-6118.19
538758-Odilia Camello-6429.67
889133-Moaci Mendoa-2470.51
161715-Emiliana Foquio-12631.49
746343-Zungela Ipiranga-4302.04
765877-Henrique Bento-13638.55
643707-Sofras Cuaresma-5177.22
268668-Ximena Castilho-9608.08
982001-Liana Cardim-12494.55
128944-Heleedsa Marins-1475.59
869915-Domingos Pas-18248.01
640804-Jorgina Bogalho-3018.56
178129-Manuel Capiperibe-15957.45
825495-Camila Gabeira-4664.24
699481-Danilo Olaio-11721.70
3780-Lurdes Cotrim-8834.52
135182-Lurdes Cotrim-16550.96
182968-Spnia ou Sonia Guerreiro-14718.81
444817-Edgar Carvalheiro-853.79
668128-Augusta Paio-1615.08
114378-Spnia ou Sonia Guerreiro-13533.78
411860-Branco Saraba-11295.35
159613-Edgar Carvalheiro-13357.13
958476-Manuel Capiperibe-5600.55
939146-Emedlia Silvera-8027.55
607472-Tarrataca Soares-4882.75
646685-Zungela Ipiranga-8304.10
407746-Romo Paranage-6521.09
493285-Moaci Mendoa-21115.54
33417-Taercio Mafra-3487.39
132932-Tarrataca Soares-3183.69
550019-Tarrataca Soares-4847.81
823436-Neeamia Arruda-14909.41
358668-Fulvio Villegas-14364.16
833782-Jussara Varanda-15843.55
962417-Fulvio Villegas-2174.79
575859-Branco Saraba-8471.25
