137202-Urbano Rodrigues-20235.82
824522-Adelina Quadros-16039.03
240594-Quintino Alcantara-12125.55
997595-Guida Juca-15061.01
233150-Jonatas Felgueiras-19428.86
277322-Tibefarcio Colao-15137.62
912125-Augusta Paio-16055.69
948106-Tibefarcio Colao-8589.62
832497-Ximena Castilho-6668.60
399719-Guida Juca-1985.84
120567-Branco Saraba-9477.21
258416-Liana Cardim-4310.62
369116-Anind Zarco-17733.02
838646-Emedlia Silvera-16808.16
326694-Liana Cardim-1595.66
377150-Jonatas Felgueiras-14438.43
320094-Jorgina Bogalho-932.71
622962-Clarindo Areosa-16022.20
15254-Anind Zarco-17200.52
193751-Quintiliano Sousa de Arronches-6269.68
467751-Zungela Ipiranga-15520.89
323568-Flor Portella-17713.47
599027-Emiliana Foquio-8342.33
946188-Cassandra Varejo-9330.71
911075-Anfnia Seixas-19293.98
762134-Odete Vasques-14982.92
891790-Liana Cardim-7381.28
106395-Angelica Aranha-8777.51
282518-Henrique Bento-17407.66
319027-Armindo Castalo-11914.76
455456-Urbano Rodrigues-16889.44
312655-Ubaldo Mainha-9617.84
231499-Antonio Viegas-6138.99
968934-Odete Vasques-18578.46
38906-Quintino Alcantara-19047.56
674567-Tabalipa Duarte-5500.35
669591-Tibefarcio Colao-14549.27
419750-Antonio Viegas-19300.33
422208-Romo Paranage-6868.32
476758-Andreia Moita-5396.67
499472-Dulce Froes-16871.23
643620-Daniel Vieyra-7819.52
134916-Henrique Bento-4027.00
858826-Armanda Amorim-1751.85
170350-Adelina Quadros-17802.24
396180-Oliveira Senchez-10824.15
913468-Spnia ou Sonia Guerreiro-16730.84
75012-Guaraci Damasceno-14980.21
987422-Daniel Vieyra-119.59
182304-Emiliana Foquio-10824.36
369761-Zungela Ipiranga-10414.52
501192-Carminda Morais-14410.95
932869-Tibofarcio Camacho-19052.30
263820-Heleedsa Marins-11206.05
956584-Moaci Mendoa-202.92
922236-Henrique Bento-5336.88
922911-Quintiliano Sousa de Arronches-20116.02
366751-Angelica Aranha-8971.93
843798-Flor Portella-2156.97
669275-Feledcia Peassego-17078.79
678561-Armindo Castalo-1227.65
810760-Angelica Aranha-14442.67
894879-Augusta Paio-1917.16
195123-Honorina Lira-12739.79
164072-Tabalipa Duarte-1064.53
389690-Angelica Aranha-7413.75
30192-Fulvio Villegas-15812.98
755169-Guida Juca-19336.64
533428-Odilia Camello-15810.25
754472-Jussara Varanda-12102.10
927765-Zungela Ipiranga-13608.89
69131-Emedlia Silvera-15727.00
305837-Tibefarcio Colao-4801.11
289153-Clara Alcantara-6333.06
394256-Emedlia Silvera-599.86
275144-Sofras Cuaresma-5403.76
360703-Zungela Ipiranga-10094.06
564400-Marilda Leio-9926.78
961248-Quintino Alcantara-19882.11
55021-Mercia Caeira-18604.82
544377-Nuno Balsemeo-16919.26
799076-Edgar Carvalheiro-3765.12
836663-Oliveira Carmona-15028.17
590007-Estanislau Beserra-5336.23
322929-Delfina Perdigon-7370.17
24717-Anfnia Seixas-21332.92
101254-Elisa Themes-9611.69
475453-Delfim Higuera-13797.34
546769-Adelino Barra-21386.95
642647-Adelina Quadros-13062.66
465066-Basilio Pedroso-5903.27
176236-Marilda Leio-1136.43
619621-Zungela Ipiranga-13204.79
657395-Tarrataca Soares-1075.86
517387-Emiliana Foquio-20439.08
847316-Polibe Olivares-7934.50
69577-Odilia Camello-13925.51
214362-Nuno Balsemeo-11275.43
36842-Augusta Paio-19320.89
70443-Romo Paranage-10922.48
618695-Quintiliano Sousa de Arronches-19657.13
609363-Adelino Barra-16184.06
595226-Estanislau Beserra-16230.26
431178-Sofras Cuaresma-3121.99
373667-Armindo Castalo-4667.17
849653-Letedcia Gago-21465.64
134282-Anind Zarco-15971.50
588255-Micaela Chavez-19753.64
292326-Telma Villalobos-21264.01
207741-Marilda Leio-18909.88
905875-Judite Damasceno-9821.23
931105-Elisa Themes-10917.33
598858-Romo Paranage-4488.44
262149-Domingos Pas-5562.75
994635-Armindo Castalo-19476.49
668300-Melinda Roserio-10650.15
791509-Flor Portella-416.66
465518-Emiliana Foquio-19862.54
198483-Carminda Morais-18360.62
537173-Zungela Ipiranga-17297.87
640588-Danilo Olaio-8262.09
457442-Micaela Chavez-18631.40
713028-Emedlia Silvera-6592.55
477910-Domingos Pas-6825.17
474892-Fulvio Villegas-20405.12
672305-Armindo Castalo-3346.97
950169-Augusta Paio-6534.88
894413-Cleusa Goes-944.70
719399-Armanda Amorim-19326.68
461970-Trajano Fagundes-16577.22
708921-Heleedsa Marins-3618.79
78948-Marilda Leio-108.53
697765-Emiliana Foquio-755.66
160600-Angilica Galante-315.60
898631-Augusta Paio-1910.35
318228-Clarindo Areosa-10207.07
236341-Feledcia Peassego-3721.74
336308-Delfina Garcia de Gondim-19900.68
206384-Honorina Lira-14073.04
138896-Zungela Ipiranga-7502.82
374289-Emedlia Silvera-19099.91
334791-Moaci Mendoa-15735.86
951506-Daniel Vieyra-8328.00
306940-Gaudancio Fiees-1364.77
212300-Liana Cardim-408.92
629515-Delfina Perdigon-3462.11
743239-Neuza Francia-21174.47
861332-Odilia Bello-11013.00
932960-Polibe Olivares-14315.06
705663-Judite Damasceno-6491.61
200262-Jorgina Bogalho-4840.52
573698-Adelino Barra-17623.87
316116-Camila Gabeira-20523.38
107842-Emedlia Silvera-20131.62
975840-Emedlio Pimentel-1798.90
878652-Melinda Roserio-7405.20
488581-Silvio Mata-18822.63
272150-Augusta Paio-21111.24
640122-Rodolfo Paz-15215.74
828250-Flor Portella-20462.79
298504-Adelina Quadros-10479.96
276158-Ubaldo Mainha-10360.86
356511-Guida Juca-20214.02
237329-Trajano Fagundes-19320.26
595564-Estanislau Beserra-7995.18
362552-Joaquim Rufino-9623.97
823817-Aludsio Sosa-12938.86
764755-Tabalipa Duarte-186.74
5322-Edgar Carvalheiro-12743.14
751904-Tibefarcio Colao-256.59
176100-Mercia Caeira-13179.57
652200-Estanislau Beserra-6187.50
31347-Regina Barcellos-16491.06
265047-Augusta Paio-9468.60
176592-Tibofarcio Camacho-7959.72
978283-Nuno Balsemeo-12373.35
299635-Dulce Froes-4696.75
400239-Filomena Barrios-6104.39
141427-Polibe Olivares-6134.45
972512-Armanda Amorim-19101.97
599156-Aludsio Sosa-8548.89
221623-Jussara Varanda-790.58
446315-Neuza Francia-13450.89
589347-Antonio Castelo-2628.70
758563-Clara Alcantara-9930.47
962506-Elisa Themes-15680.25
79828-Artur Grillo-5808.41
82760-Adelino Barra-20612.41
759802-Liana Cardim-16778.99
751078-Odilia Camello-9523.88
917542-Spnia ou Sonia Guerreiro-19309.87
41347-Jorgina Bogalho-13667.25
431354-Camila Gabeira-2956.88
927722-Domingos Pas-7392.77
800485-Spnia ou Sonia Guerreiro-3345.52
645207-Oliveira Senchez-20285.15
340793-Almerinda Palmeira-3411.11
711059-Branco Saraba-8611.94
520760-Melinda Roserio-14599.53
775220-Oliveira Carmona-12642.21
259045-Feledcia Peassego-2996.55
115633-Edgar Carvalheiro-20316.96
546238-Tarrataca Soares-6366.44
582209-Gaudancio Fiees-20585.71
972239-Moaci Mendoa-8018.88
925626-Flor Portella-19575.34
420653-Honorina Lira-3203.91
756956-Branco Saraba-6551.02
851125-Esperada Cardoso-14246.23
360941-Telma Villalobos-10949.14
258916-Sidfnio Frois-15761.73
660557-Quintiliano Sousa de Arronches-15758.05
303841-Cleusa Goes-11728.68
635083-Fulvio Villegas-17124.50
243629-Joaquim Rufino-13099.39
404396-Carminda Morais-9583.81
112592-Quintino Alcantara-783.18
415343-Heleedsa Marins-13980.75
428113-Delfina Garcia de Gondim-5364.42
910703-Dulce Froes-13188.03
614193-Rebeca Neto-4025.78
972477-Lurdes Cotrim-18662.39
543254-Sofras Cuaresma-6340.59
274230-Camila Gabeira-12966.94
576776-Telma Villalobos-2984.54
284080-Trajano Fagundes-1213.75
41351-Henrique Bento-6464.87
189382-Manuel Capiperibe-674.19
439231-Aludsio Sosa-13928.47
828011-Emedlio Pimentel-17877.58
647294-Spnia ou Sonia Guerreiro-3688.88
639773-Flor Portella-17308.61
953786-Guaraci Damasceno-14629.20
135571-Regina Barcellos-2017.11
283689-Ubaldo Mainha-58.04
886732-Leonidas Mafra-16770.88
870325-Moaci Mendoa-7306.46
687827-Branco Saraba-17818.35
579842-Rodolfo Paz-11907.91
913846-Adelina Quadros-3821.35
567134-Armindo Castalo-4507.83
798622-Jonatas Felgueiras-8254.22
785218-Andreia Moita-9343.76
830765-Sidfnio Frois-19505.12
570346-Tibefarcio Colao-12913.12
280293-Edgar Carvalheiro-2667.15
365004-Clarindo Areosa-19825.85
453422-Heleedsa Marins-747.89
444539-Letedcia Gago-2363.69
799172-Quintiliano Sousa de Arronches-8562.83
428024-Telma Villalobos-11058.50
945290-Quintiliano Sousa de Arronches-13876.49
323446-Almor Caiado-14204.34
654803-Adelina Quadros-18382.65
180887-Silvio Mata-17903.52
27531-Letedcia Gago-15751.48
962463-Andreia Moita-13140.30
59739-Regina Barcellos-16534.83
992388-Zulmira Becerra-5134.44
748697-Artur Grillo-14342.43
123974-Armanda Amorim-19086.71
281865-Sofras Cuaresma-1581.33
378494-Polibe Olivares-609.72
851297-Edgar Carvalheiro-9326.27
352197-Emedlia Silvera-8273.25
681236-Emedlia Silvera-18983.52
725145-Tibofarcio Camacho-15278.31
870602-Branco Saraba-4464.07
805434-Silvio Mata-4359.16
109484-Oliveira Senchez-5396.64
696598-Eurico Siqueira-11397.88
650263-Urbano Rodrigues-5395.87
769100-Heleedsa Marins-17119.65
321976-Leonidas Mafra-12963.33
656008-Judite Damasceno-12432.01
857895-Elisa Themes-6963.99
207930-Delfina Garcia de Gondim-20701.24
103821-Manuel Capiperibe-9045.11
998990-Emedlio Pimentel-15693.16
854328-Anind Zarco-59.42
952655-Angelica Aranha-13656.39
721996-Neeamia Arruda-3118.05
140344-Quintino Alcantara-3795.75
531145-Ermelinda Quintela-8418.96
549203-Taercio Mafra-13895.53
