36788-Delfina Garcia de Gondim-15335.66
428520-Emedlia Silvera-17157.99
130815-Edgar Carvalheiro-5993.81
818265-Liana Cardim-12640.28
732311-Anfnia Seixas-10275.62
623965-Feledcia Peassego-8833.93
106016-Antonio Viegas-20405.97
876502-Micaela Chavez-6761.22
899084-Clarindo Areosa-6063.45
42286-Judite Damasceno-18714.73
840732-Almor Caiado-16580.26
199861-Jussara Varanda-3929.71
57596-Andreia Moita-9971.02
939080-Oliveira Carmona-19209.20
43639-Tibofarcio Camacho-5541.69
928200-Danilo Olaio-16727.93
131193-Spnia ou Sonia Guerreiro-5404.15
623755-Gaudancio Fiees-11922.92
191920-Spnia ou Sonia Guerreiro-20761.91
616444-Fulvio Villegas-20577.49
80850-Flor Portella-11021.06
627705-Manuel Capiperibe-6478.23
973461-Urbano Rodrigues-3473.96
217018-Guida Juca-9603.36
488592-Marilda Leio-8958.96
838135-Tibofarcio Camacho-20568.24
580961-Eurico Siqueira-6394.71
437049-Esperada Cardoso-12310.95
415295-Odilia Camello-11708.03
255034-Fulvio Villegas-11319.36
84032-Almerinda Palmeira-7775.33
939076-Cassandra Varejo-16411.61
765038-Silvio Mata-11436.51
209087-Sofras Cuaresma-20318.68
89487-Clarindo Areosa-12748.73
138550-Armindo Castalo-20477.11
496593-Ximena Castilho-9388.08
269633-Tarrataca Soares-21362.45
850524-Adelino Barra-20211.77
138349-Lurdes Cotrim-11999.48
175394-Odete Vasques-15440.32
351449-Estanislau Beserra-4164.88
833669-Cassandra Varejo-3577.69
228708-Neuza Francia-2174.95
959293-Armanda Amorim-19165.84
585416-Tibofarcio Camacho-17142.39
67981-Edgar Carvalheiro-12832.52
505479-Oliveira Carmona-11640.38
70720-Marilda Leio-4014.05
922921-Estanislau Beserra-10715.43
743934-Gaudancio Fiees-9372.35
98257-Domingos Pas-11005.86
613597-Aludsio Sosa-619.36
296117-Branco Saraba-3161.65
362837-Neeamia Arruda-6761.24
818701-Clarindo Areosa-20377.10
985493-Nuno Balsemeo-152.94
476877-Jussara Varanda-16908.00
729904-Melinda Roserio-18528.70
676219-Oliveira Carmona-16723.10
570858-Rebeca Neto-1335.70
530557-Sidfnio Frois-1616.68
461687-Liana Cardim-12502.82
161991-Filomena Barrios-2480.94
873260-Camila Gabeira-13344.57
684981-Manuel Capiperibe-14892.76
735704-Tabalipa Duarte-6127.78
554726-Flor Portella-17912.54
411682-Celeste Duarte-7185.01
189798-Camila Gabeira-15631.77
511073-Judite Damasceno-12302.64
583604-Ubaldo Mainha-12637.95
242488-Elisa Themes-20802.56
837748-Eurico Siqueira-18899.35
598090-Ermelinda Quintela-9103.24
999161-Emedlio Pimentel-10580.09
110023-Delfim Higuera-18997.45
31363-Guida Juca-4238.16
752308-Odilia Camello-20892.28
859929-Nuno Balsemeo-8549.34
793499-Daniel Vieyra-20874.45
296953-Tarrataca Soares-2815.45
468548-Eurico Siqueira-8327.88
438233-Emiliana Foquio-16556.25
502126-Tabalipa Duarte-9187.40
23063-Oliveira Senchez-14457.39
852451-Moaci Mendoa-9793.65
943079-Sara Lameiras-16823.96
804527-Emedlia Silvera-9506.65
683053-Sofras Cuaresma-6370.41
738523-Lina Andrade-2663.51
574500-Estanislau Beserra-21196.48
205189-Leonidas Mafra-20636.33
124981-Oliveira Carmona-13485.88
979515-Sidfnio Frois-2226.06
674755-Jussara Varanda-201.46
379330-Heleedsa Marins-829.98
345296-Liana Cardim-10239.41
643731-Quintiliano Sousa de Arronches-3392.62
169966-Delfina Garcia de Gondim-8949.45
