805306-Rebeca Neto-16847.60
838118-Spnia ou Sonia Guerreiro-14257.57
956032-Mercia Caeira-21157.21
484016-Domingos Pas-2249.75
241593-Delfina Garcia de Gondim-10002.32
548702-Jorgina Bogalho-13596.38
679207-Domingos Pas-20045.86
212611-Henrique Bento-17874.77
189813-Sidfnio Frois-10781.78
739853-Edgar Carvalheiro-11099.44
127037-Artur Grillo-3352.66
75268-Henrique Bento-14631.04
63507-Rebeca Neto-4995.76
366927-Jussara Varanda-1745.77
825557-Ermelinda Quintela-823.35
479137-Manuel Capiperibe-2018.83
261790-Branco Saraba-17205.62
84620-Carminda Morais-22.92
182522-Anind Zarco-18104.81
17858-Honorina Lira-1577.38
934591-Adelino Barra-12888.65
127857-Celeste Duarte-384.56
77607-Odilia Camello-8995.20
780938-Taercio Mafra-16838.87
943093-Lina Andrade-14222.29
853131-Delfina Garcia de Gondim-21307.08
917345-Jussara Varanda-16854.86
83414-Trajano Fagundes-13270.87
726633-Urbano Rodrigues-1377.86
64593-Jorgina Bogalho-6488.04
863097-Zulmira Becerra-12877.38
411098-Armanda Amorim-15918.66
579419-Elisa Themes-8394.60
840444-Elisa Themes-11462.41
678190-Telma Villalobos-5897.00
334250-Emedlio Pimentel-1700.70
390030-Cleusa Goes-12469.87
524737-Sidfnio Frois-15300.71
434630-Moaci Mendoa-6593.14
858579-Angelica Aranha-18603.78
503732-Telma Villalobos-19482.41
529830-Domingos Pas-12581.69
12142-Quintino Alcantara-12532.65
530527-Marilda Leio-2856.21
935560-Gaudancio Fiees-6772.99
85502-Lina Andrade-3631.50
459490-Carminda Morais-16925.40
835666-Flor Portella-20910.65
298650-Almor Caiado-15610.16
63668-Angilica Galante-19128.74
115875-Anind Zarco-11568.94
938917-Liana Cardim-5819.41
627947-Delfina Perdigon-2264.69
776925-Guaraci Damasceno-9900.00
683141-Aludsio Sosa-2614.52
289687-Melinda Roserio-16105.37
482400-Angelica Aranha-7255.13
662271-Sofras Cuaresma-14393.49
912716-Ubaldo Mainha-7841.64
993071-Emedlio Pimentel-10452.27
967930-Lurdes Cotrim-7238.60
700390-Branco Saraba-11077.98
601549-Mercia Caeira-16414.26
283530-Urbano Rodrigues-10167.20
586777-Silvio Mata-3799.19
189482-Dulce Froes-3207.25
458598-Moaci Mendoa-10092.08
267804-Carminda Morais-15448.70
174541-Clarindo Areosa-13102.99
97089-Urbano Rodrigues-9648.08
894025-Guaraci Damasceno-2212.93
618139-Melinda Roserio-10279.93
282908-Regina Barcellos-3481.11
900475-Odilia Camello-15823.95
550423-Anind Zarco-7214.98
135610-Romo Paranage-5902.03
774241-Jonatas Felgueiras-15516.62
442159-Jorgina Bogalho-10034.46
458678-Carminda Morais-10366.21
638802-Jussara Varanda-10647.18
562550-Oliveira Carmona-8531.28
862149-Emiliana Foquio-15587.46
443813-Flor Portella-16160.29
484545-Emedlia Silvera-12514.46
244919-Aludsio Sosa-14549.96
924427-Angilica Galante-3406.48
845461-Lina Andrade-16664.23
974069-Branco Saraba-18628.65
972522-Neuza Francia-2218.40
302593-Jussara Varanda-18224.79
924649-Odilia Bello-12675.58
355675-Delfina Garcia de Gondim-14284.20
779709-Eurico Siqueira-12653.80
831005-Dulce Froes-2723.81
276741-Gaudancio Fiees-16136.26
220045-Nuno Balsemeo-13740.66
883105-Emedlio Pimentel-20219.12
208165-Armanda Amorim-2714.02
495735-Mercia Caeira-19623.75
920355-Polibe Olivares-19626.78
