483276-Spnia ou Sonia Guerreiro-12523.28
934180-Esperada Cardoso-10391.66
397988-Jussara Varanda-3099.90
399019-Lurdes Cotrim-7480.34
605272-Cleusa Goes-10843.42
712920-Armindo Castalo-17423.76
518267-Oliveira Carmona-14490.21
822180-Tibofarcio Camacho-1390.49
729335-Zungela Ipiranga-2143.24
675460-Edgar Carvalheiro-464.16
457517-Cassandra Varejo-2949.00
513657-Andreia Moita-16868.34
746395-Judite Damasceno-8017.48
937803-Taercio Mafra-9641.47
464964-Heleedsa Marins-9112.69
481340-Artur Grillo-17879.82
251553-Regina Barcellos-2400.16
203979-Emedlio Pimentel-9388.38
84522-Silvio Mata-1580.84
484674-Tarrataca Soares-5217.60
503206-Neeamia Arruda-407.33
882279-Romo Paranage-11462.47
427536-Sara Lameiras-1195.10
962591-Jussara Varanda-5944.48
531285-Adelina Quadros-16409.13
958886-Camila Gabeira-18523.94
278452-Almor Caiado-12511.62
135685-Cassandra Varejo-19973.66
525721-Odilia Bello-1689.67
756059-Sidfnio Frois-1894.51
886349-Micaela Chavez-21339.55
432570-Jonatas Felgueiras-8123.53
328904-Filomena Barrios-15587.81
973339-Dulce Froes-3882.60
764895-Emedlio Pimentel-1963.07
341547-Rodolfo Paz-20672.66
899865-Regina Barcellos-13010.61
990820-Antonio Castelo-14941.97
920240-Melinda Roserio-6382.39
450164-Tibofarcio Camacho-10949.95
223348-Polibe Olivares-7633.98
246366-Trajano Fagundes-20858.30
516522-Taercio Mafra-3066.75
296564-Esperada Cardoso-5226.49
524295-Odete Vasques-15504.14
181031-Telma Villalobos-62.72
748112-Lurdes Cotrim-19731.71
993445-Nuno Balsemeo-12486.79
604656-Adelina Quadros-9191.15
698972-Feledcia Peassego-11425.65
244715-Edgar Carvalheiro-2933.05
745091-Fulvio Villegas-5595.51
115084-Manuel Capiperibe-9400.68
782230-Carminda Morais-15543.65
709120-Clarindo Areosa-8494.05
943391-Oliveira Senchez-4661.03
960281-Flor Portella-1093.67
554595-Sofras Cuaresma-10303.60
345665-Mercia Caeira-9314.81
891917-Moaci Mendoa-21291.80
433058-Armindo Castalo-5179.41
888142-Danilo Olaio-3792.03
173387-Lurdes Cotrim-3778.34
650402-Armanda Amorim-20726.17
259821-Leonidas Mafra-15568.42
315597-Estanislau Beserra-11743.02
642924-Edgar Carvalheiro-8447.78
141668-Odete Vasques-18693.33
835353-Neeamia Arruda-14471.95
160573-Eurico Siqueira-2166.03
51139-Daniel Vieyra-14200.36
246752-Judite Damasceno-15259.25
993778-Cassandra Varejo-4726.14
325091-Neuza Francia-7142.65
537255-Tabalipa Duarte-6260.41
154565-Adelina Quadros-17583.56
874404-Zulmira Becerra-19699.99
961236-Telma Villalobos-10866.57
924859-Guida Juca-3570.09
369929-Danilo Olaio-7001.70
511769-Antonio Castelo-11112.21
111446-Tibofarcio Camacho-18834.68
397701-Leonidas Mafra-14289.78
34673-Delfim Higuera-6878.19
804593-Celeste Duarte-12143.56
416581-Armindo Castalo-17105.11
846734-Polibe Olivares-4949.02
571684-Armanda Amorim-19718.63
629674-Adelino Barra-7293.04
399074-Marilda Leio-19936.74
771801-Basilio Pedroso-14517.02
180912-Celeste Duarte-17688.14
547255-Jonatas Felgueiras-11767.28
11513-Romo Paranage-532.79
256792-Marilda Leio-4710.83
59266-Lurdes Cotrim-18395.00
218179-Marilda Leio-10378.63
892807-Jorgina Bogalho-10584.35
224819-Jussara Varanda-16230.64
82272-Silvio Mata-20314.63
