858054-Jussara Varanda-7875.40
835608-Marilda Leio-15225.71
474005-Tabalipa Duarte-21313.37
248359-Artur Grillo-15803.42
569839-Sidfnio Frois-141.55
954403-Emedlio Pimentel-18129.20
916090-Oliveira Carmona-11171.66
855746-Taercio Mafra-3193.55
151213-Neuza Francia-14501.67
356554-Trajano Fagundes-2785.14
283855-Letedcia Gago-7773.72
301462-Quintino Alcantara-6847.24
398977-Armanda Amorim-2277.14
486666-Cassandra Varejo-15189.63
458380-Sara Lameiras-17075.32
625916-Rodolfo Paz-2060.03
630905-Basilio Pedroso-19269.19
96879-Spnia ou Sonia Guerreiro-21277.75
877025-Tibofarcio Camacho-14154.42
671445-Liana Cardim-16207.99
389838-Romo Paranage-13255.99
648095-Moaci Mendoa-4384.17
993274-Angilica Galante-13458.16
192086-Liana Cardim-6558.19
249758-Henrique Bento-6507.94
462294-Flor Portella-20134.20
111427-Rodolfo Paz-85.67
926243-Melinda Roserio-17946.64
95731-Armanda Amorim-6030.57
948522-Manuel Capiperibe-7077.29
315081-Odilia Bello-9091.19
569816-Fulvio Villegas-19947.67
548334-Guaraci Damasceno-11922.76
240993-Augusta Paio-6329.85
896152-Augusta Paio-18972.34
116354-Sara Lameiras-7042.13
823298-Letedcia Gago-10143.25
482131-Lurdes Cotrim-17972.51
915895-Tibofarcio Camacho-12248.63
824859-Branco Saraba-7473.28
16522-Domingos Pas-6431.59
840146-Tibofarcio Camacho-16897.29
80843-Quintiliano Sousa de Arronches-2767.94
137590-Henrique Bento-9270.35
13405-Elisa Themes-8644.47
199372-Antonio Viegas-17965.63
321408-Moaci Mendoa-17819.03
10417-Micaela Chavez-5999.02
879630-Urbano Rodrigues-3783.34
806073-Adelina Quadros-3851.59
461191-Telma Villalobos-936.92
751173-Urbano Rodrigues-8295.32
807764-Emedlio Pimentel-8836.13
173294-Neeamia Arruda-16017.50
7144-Angelica Aranha-14922.80
108129-Heleedsa Marins-12059.96
905839-Flamednia Leiria-6088.33
544405-Neuza Francia-18568.44
950070-Tibefarcio Colao-3022.40
734918-Cleusa Goes-8430.46
847471-Domingos Pas-20395.07
119161-Sara Lameiras-5057.75
636158-Dulce Froes-3840.99
946794-Branco Saraba-7192.72
808416-Armindo Castalo-21442.79
117174-Emiliana Foquio-1139.04
505776-Manuel Capiperibe-17748.09
313871-Lina Andrade-16988.70
23591-Tabalipa Duarte-16833.37
67183-Tarrataca Soares-8055.88
269508-Emiliana Foquio-19604.36
163438-Aludsio Sosa-14960.71
105473-Esperada Cardoso-11022.24
660104-Mercia Caeira-10556.87
481274-Tibofarcio Camacho-1360.11
98739-Fulvio Villegas-13551.29
711873-Tarrataca Soares-671.51
158436-Tibofarcio Camacho-2014.65
965196-Marilda Leio-2104.88
528136-Letedcia Gago-4725.55
136977-Clarindo Areosa-13728.25
252911-Henrique Bento-8575.05
659815-Estanislau Beserra-19036.10
681806-Clara Alcantara-10997.87
459473-Danilo Olaio-477.84
549016-Joaquim Rufino-2398.83
25861-Angelica Aranha-7345.95
344903-Dulce Froes-21407.53
534194-Guaraci Damasceno-20202.35
576509-Zulmira Becerra-6752.79
206766-Angelica Aranha-10964.16
788789-Jonatas Felgueiras-10281.85
958091-Rebeca Neto-9763.62
867182-Angilica Galante-13250.43
462857-Lurdes Cotrim-6460.19
69883-Jussara Varanda-10835.68
321787-Oliveira Carmona-6041.11
207993-Delfina Perdigon-9824.55
75076-Regina Barcellos-17699.90
430275-Odete Vasques-3550.82
