418472-Taercio Mafra-13650.69
663949-Branco Saraba-14265.91
635504-Ubaldo Mainha-11122.05
860961-Delfina Garcia de Gondim-6817.93
46770-Anfnia Seixas-19955.27
865621-Celeste Duarte-20449.77
427161-Manuel Capiperibe-19595.67
777832-Odete Vasques-20970.98
192380-Lina Andrade-6449.99
379182-Moaci Mendoa-1486.03
907731-Antonio Viegas-725.38
11177-Marilda Leio-5342.02
453794-Emedlia Silvera-4263.53
606741-Polibe Olivares-16392.14
190369-Branco Saraba-13347.78
31330-Estanislau Beserra-5781.59
92752-Artur Grillo-991.03
472514-Almerinda Palmeira-10068.81
443086-Edgar Carvalheiro-2355.90
695598-Jonatas Felgueiras-1234.85
770417-Aludsio Sosa-12793.93
913727-Almerinda Palmeira-14434.04
681142-Jonatas Felgueiras-13513.74
137677-Clarindo Areosa-3294.97
904054-Armindo Castalo-16726.88
713471-Cleusa Goes-17347.19
16210-Guida Juca-6143.28
402376-Andreia Moita-18158.01
403330-Gaudancio Fiees-16857.60
403363-Neeamia Arruda-19124.56
522571-Clarindo Areosa-21132.26
663076-Angelica Aranha-15056.56
521530-Sara Lameiras-15163.37
217086-Andreia Moita-11099.91
159761-Fulvio Villegas-9684.12
879975-Neuza Francia-9396.42
759699-Taercio Mafra-9211.74
258800-Sara Lameiras-7250.93
638757-Manuel Capiperibe-3010.12
608303-Eurico Siqueira-2939.32
62972-Emiliana Foquio-8524.55
426847-Anind Zarco-20491.18
194753-Odete Vasques-1231.56
853188-Basilio Pedroso-19433.73
8893-Augusta Paio-5590.49
368591-Tarrataca Soares-15999.29
963611-Odilia Camello-13492.05
886705-Esperada Cardoso-20534.64
610389-Elisa Themes-4246.19
126803-Flamednia Leiria-9932.27
615195-Cleusa Goes-17352.90
329630-Emiliana Foquio-17827.17
216538-Odilia Camello-4314.28
957061-Honorina Lira-11802.81
205230-Telma Villalobos-638.07
865097-Jonatas Felgueiras-9021.75
166487-Odilia Camello-11351.39
158312-Tibofarcio Camacho-13770.25
242950-Micaela Chavez-12961.52
340083-Flamednia Leiria-4307.95
369426-Flor Portella-6934.11
369903-Trajano Fagundes-20497.40
4589-Taercio Mafra-17104.73
795014-Emedlio Pimentel-11919.46
958265-Odete Vasques-16041.52
686807-Ximena Castilho-17680.17
860615-Silvio Mata-4757.00
239389-Delfina Garcia de Gondim-7958.58
598280-Melinda Roserio-13061.01
92397-Almor Caiado-1599.57
813692-Tarrataca Soares-19463.27
341489-Angelica Aranha-10752.13
586282-Lina Andrade-17432.18
775528-Regina Barcellos-19260.13
246064-Domingos Pas-14194.87
39487-Danilo Olaio-7826.90
491684-Armanda Amorim-16155.51
115322-Liana Cardim-9723.07
764403-Anfnia Seixas-9064.21
565667-Filomena Barrios-18425.14
678622-Jorgina Bogalho-4788.44
202111-Neuza Francia-6981.85
982117-Clarindo Areosa-21357.72
751530-Trajano Fagundes-9280.63
467410-Delfina Perdigon-4028.26
851341-Polibe Olivares-6238.65
768419-Esperada Cardoso-3458.73
385131-Telma Villalobos-7039.89
376143-Odilia Camello-9277.53
468052-Angelica Aranha-1658.35
517294-Sidfnio Frois-9965.14
409647-Zulmira Becerra-19657.16
31367-Guaraci Damasceno-8282.14
870691-Cleusa Goes-14419.66
755336-Neeamia Arruda-7039.50
127217-Henrique Bento-2183.17
189493-Neuza Francia-17530.86
319132-Anind Zarco-14889.87
271874-Almor Caiado-2218.80
645999-Micaela Chavez-14053.48
50258-Heleedsa Marins-9043.81
298342-Urbano Rodrigues-6653.07
731740-Armindo Castalo-17633.39
453087-Anind Zarco-16467.26
754263-Camila Gabeira-939.98
881333-Neuza Francia-6721.25
390135-Esperada Cardoso-20163.14
256003-Flamednia Leiria-14471.50
626963-Tibofarcio Camacho-20844.22
751066-Flamednia Leiria-5395.84
710331-Tarrataca Soares-8026.34
699732-Silvio Mata-12049.33
921381-Zungela Ipiranga-2971.81
357394-Angilica Galante-2151.50
275655-Joaquim Rufino-18869.04
143573-Moaci Mendoa-14203.02
328841-Odilia Camello-15866.92
116231-Armindo Castalo-5844.65
890874-Quintino Alcantara-12650.92
61617-Flamednia Leiria-2613.59
96512-Camila Gabeira-20340.69
996501-Sara Lameiras-11372.85
236640-Trajano Fagundes-16842.07
815591-Telma Villalobos-2080.80
120399-Henrique Bento-2983.56
939103-Guida Juca-5115.00
882569-Rodolfo Paz-10658.29
656642-Branco Saraba-15669.45
96807-Neeamia Arruda-13563.52
474938-Tabalipa Duarte-6559.30
437033-Telma Villalobos-8710.26
33352-Cleusa Goes-7585.39
78587-Tibefarcio Colao-9837.76
304480-Judite Damasceno-11625.92
680470-Odete Vasques-7942.28
477173-Armindo Castalo-21201.67
92273-Flor Portella-15175.66
399554-Liana Cardim-10027.39
687723-Heleedsa Marins-20228.36
67393-Lina Andrade-2198.27
805981-Dulce Froes-4282.64
646523-Anind Zarco-13032.98
256047-Odilia Camello-19023.76
104991-Romo Paranage-3751.97
34397-Tarrataca Soares-12318.78
319920-Joaquim Rufino-20643.55
105133-Emedlia Silvera-21454.47
718878-Lurdes Cotrim-9143.63
310089-Guaraci Damasceno-11030.51
253290-Nuno Balsemeo-18291.18
126450-Delfim Higuera-12064.40
542434-Tabalipa Duarte-12690.87
497742-Ermelinda Quintela-10068.59
229016-Moaci Mendoa-21039.64
68198-Branco Saraba-4735.15
652039-Filomena Barrios-7088.35
403291-Estanislau Beserra-11739.40
237227-Tibofarcio Camacho-7871.75
326840-Moaci Mendoa-11154.86
252587-Silvio Mata-13677.39
522110-Estanislau Beserra-523.82
539737-Marilda Leio-1879.24
887878-Esperada Cardoso-3854.22
612415-Andreia Moita-16286.51
50533-Nuno Balsemeo-7852.35
366350-Jussara Varanda-7968.87
553392-Daniel Vieyra-16362.91
703932-Oliveira Carmona-5260.44
217523-Melinda Roserio-6163.71
298241-Flor Portella-17826.24
13479-Oliveira Senchez-20971.46
169218-Eurico Siqueira-19882.02
928333-Guida Juca-6116.06
63223-Clarindo Areosa-20172.19
162529-Ximena Castilho-1377.85
293351-Antonio Viegas-5001.52
259258-Moaci Mendoa-8737.05
165383-Henrique Bento-12564.09
763309-Danilo Olaio-4151.43
846773-Ermelinda Quintela-16004.41
185418-Antonio Castelo-1989.71
905693-Oliveira Carmona-17121.40
550034-Mercia Caeira-9665.85
132534-Oliveira Senchez-11166.48
365857-Basilio Pedroso-21188.11
834554-Angilica Galante-1516.20
707016-Tibofarcio Camacho-2188.80
386535-Liana Cardim-13470.45
593985-Henrique Bento-283.25
205263-Emiliana Foquio-16731.71
923900-Ximena Castilho-12068.73
821063-Domingos Pas-8292.95
436489-Urbano Rodrigues-7283.62
658056-Esperada Cardoso-12894.94
614531-Anind Zarco-19938.60
356447-Domingos Pas-14792.11
766507-Anfnia Seixas-5424.34
881750-Odilia Bello-8198.21
406110-Ximena Castilho-6899.31
73460-Guaraci Damasceno-7691.37
214747-Mercia Caeira-6925.77
810744-Regina Barcellos-4099.14
63375-Edgar Carvalheiro-19093.51
417323-Micaela Chavez-15075.25
419461-Anind Zarco-12216.56
748670-Leonidas Mafra-11895.29
698300-Cleusa Goes-19112.95
43961-Daniel Vieyra-21131.77
434686-Augusta Paio-9040.99
150135-Basilio Pedroso-8466.89
37082-Neeamia Arruda-13939.04
830001-Telma Villalobos-5972.31
401881-Heleedsa Marins-1688.11
851813-Neuza Francia-10752.28
312331-Nuno Balsemeo-1381.64
632939-Cassandra Varejo-16239.13
197249-Delfina Perdigon-13891.27
679573-Tarrataca Soares-18001.71
499150-Antonio Viegas-20566.06
249965-Tibefarcio Colao-392.72
653633-Odilia Camello-17163.10
634055-Zungela Ipiranga-18521.39
528645-Honorina Lira-12760.58
290246-Delfim Higuera-7164.26
576914-Neeamia Arruda-14627.38
35885-Delfina Garcia de Gondim-12138.88
539957-Tibefarcio Colao-14490.85
855639-Branco Saraba-5632.81
348328-Delfina Garcia de Gondim-15237.80
973190-Oliveira Carmona-7255.46
770983-Judite Damasceno-10852.00
989156-Sara Lameiras-11478.34
438455-Ximena Castilho-13233.63
214959-Daniel Vieyra-13736.53
219638-Emedlio Pimentel-6587.46
388307-Estanislau Beserra-4002.98
