142719-Delfina Garcia de Gondim-481.51
128098-Armanda Amorim-13634.27
763530-Micaela Chavez-10954.92
477143-Danilo Olaio-6016.52
785043-Eurico Siqueira-2353.52
785432-Zulmira Becerra-10805.24
937840-Delfina Perdigon-14294.17
290594-Leonidas Mafra-5655.47
203716-Emiliana Foquio-13862.14
205668-Rodolfo Paz-19747.13
324097-Sofras Cuaresma-5743.72
642425-Leonidas Mafra-3260.16
206889-Sofras Cuaresma-6287.80
116306-Spnia ou Sonia Guerreiro-11482.57
876584-Eurico Siqueira-9465.58
948724-Telma Villalobos-15803.44
798722-Quintino Alcantara-13887.98
340452-Nuno Balsemeo-12916.05
639262-Regina Barcellos-17448.09
217749-Zulmira Becerra-9155.31
79330-Spnia ou Sonia Guerreiro-4483.71
608067-Oliveira Carmona-3455.30
563425-Tibefarcio Colao-15547.37
11310-Aludsio Sosa-19948.53
627950-Lina Andrade-162.46
596342-Adelina Quadros-8251.95
88732-Regina Barcellos-465.10
515010-Liana Cardim-18148.50
4433-Judite Damasceno-5700.06
707565-Branco Saraba-12152.24
123463-Romo Paranage-4578.19
943902-Odilia Bello-4934.27
264276-Honorina Lira-5379.91
880820-Tarrataca Soares-16870.02
754325-Armanda Amorim-2471.46
186185-Antonio Castelo-7487.43
994538-Edgar Carvalheiro-21248.31
600870-Leonidas Mafra-15098.63
812129-Gaudancio Fiees-16168.67
864735-Sara Lameiras-16845.75
931653-Judite Damasceno-15402.15
886035-Eurico Siqueira-17581.59
886659-Honorina Lira-5169.39
107710-Daniel Vieyra-5928.20
214552-Heleedsa Marins-9865.74
567416-Augusta Paio-4972.77
115027-Moaci Mendoa-7052.71
688811-Rebeca Neto-8518.72
112869-Daniel Vieyra-812.01
542815-Emedlio Pimentel-1380.66
712750-Antonio Viegas-19379.97
702004-Esperada Cardoso-16344.00
118644-Filomena Barrios-17202.86
42448-Carminda Morais-16029.10
968373-Neeamia Arruda-11296.41
557075-Letedcia Gago-3167.25
888542-Emiliana Foquio-21368.40
567860-Domingos Pas-1940.45
110039-Anind Zarco-5981.58
552216-Celeste Duarte-17717.01
569252-Estanislau Beserra-6349.30
317314-Flor Portella-19406.32
223952-Anind Zarco-18872.67
586147-Romo Paranage-10128.26
768366-Armindo Castalo-10043.10
41288-Liana Cardim-21088.68
591097-Sofras Cuaresma-7802.72
412331-Clara Alcantara-12908.40
105862-Delfina Garcia de Gondim-8554.67
516522-Almerinda Palmeira-10910.19
992695-Rebeca Neto-15345.88
466034-Anind Zarco-15789.05
371630-Sofras Cuaresma-8346.46
563438-Marilda Leio-19662.32
181872-Artur Grillo-12715.17
441485-Tibefarcio Colao-18845.58
942397-Melinda Roserio-76.65
283282-Fulvio Villegas-6410.78
185656-Nuno Balsemeo-3417.00
246036-Liana Cardim-13382.16
7239-Joaquim Rufino-16212.09
214718-Lina Andrade-9811.92
570478-Celeste Duarte-10525.63
709515-Regina Barcellos-14081.27
674278-Angelica Aranha-15033.08
465844-Odilia Bello-3202.66
641288-Emedlia Silvera-3232.09
89153-Romo Paranage-15014.92
893650-Telma Villalobos-19016.78
164820-Celeste Duarte-21219.24
454879-Zulmira Becerra-17864.47
365784-Manuel Capiperibe-15301.78
182144-Almor Caiado-11462.65
644265-Emedlia Silvera-3744.91
370998-Spnia ou Sonia Guerreiro-2276.82
614356-Delfina Garcia de Gondim-17101.47
415629-Augusta Paio-4883.05
398616-Sara Lameiras-16373.94
459298-Lina Andrade-58.04
736241-Odilia Camello-7439.69
