192218-Lina Andrade-20186.49
407452-Tibefarcio Colao-13041.79
94749-Judite Damasceno-6983.61
994662-Fulvio Villegas-8979.53
814612-Feledcia Peassego-14538.95
208466-Ubaldo Mainha-20307.22
145053-Oliveira Senchez-11972.25
128464-Guaraci Damasceno-2230.03
42365-Carminda Morais-2973.17
587771-Delfina Garcia de Gondim-6262.14
422411-Odilia Camello-8494.06
627171-Antonio Viegas-15518.13
680016-Zungela Ipiranga-13604.24
426270-Regina Barcellos-14564.19
207915-Cassandra Varejo-10387.50
441309-Regina Barcellos-16369.58
207056-Fulvio Villegas-716.20
449583-Lurdes Cotrim-7487.48
954631-Leonidas Mafra-20627.91
340950-Antonio Viegas-9428.95
67431-Elisa Themes-15783.17
959656-Anind Zarco-12574.61
547519-Elisa Themes-20891.41
496870-Odilia Bello-7800.83
398850-Clarindo Areosa-1968.08
712023-Tibefarcio Colao-13132.49
263655-Augusta Paio-15284.56
40500-Jussara Varanda-16569.06
336313-Lina Andrade-9443.77
949023-Emedlio Pimentel-4912.34
775386-Oliveira Senchez-228.18
7619-Sofras Cuaresma-15577.77
569528-Melinda Roserio-21053.25
72213-Melinda Roserio-2163.38
993985-Regina Barcellos-10837.37
182160-Andreia Moita-18664.49
845204-Esperada Cardoso-3002.29
611820-Jussara Varanda-18772.70
159527-Almerinda Palmeira-3781.22
497987-Joaquim Rufino-3950.71
731323-Sofras Cuaresma-4068.47
798298-Delfim Higuera-12628.54
842435-Spnia ou Sonia Guerreiro-2199.40
543751-Camila Gabeira-7860.12
328516-Joaquim Rufino-1225.23
920996-Anind Zarco-14157.05
278854-Cassandra Varejo-20075.50
92792-Sidfnio Frois-19696.78
845099-Lurdes Cotrim-20508.38
457702-Manuel Capiperibe-188.52
820606-Heleedsa Marins-11115.83
1244-Anind Zarco-4648.98
475623-Taercio Mafra-14837.40
791262-Taercio Mafra-19622.84
445033-Domingos Pas-5331.29
835785-Rebeca Neto-16880.50
191893-Edgar Carvalheiro-2978.45
777013-Letedcia Gago-384.54
147997-Anfnia Seixas-4193.00
157511-Guida Juca-2372.74
721873-Antonio Viegas-21310.94
649175-Oliveira Carmona-18286.12
430683-Celeste Duarte-8876.04
668629-Odilia Bello-14133.95
918875-Estanislau Beserra-14748.40
175406-Jussara Varanda-81.92
169437-Cleusa Goes-10273.84
713469-Esperada Cardoso-5376.77
968378-Aludsio Sosa-4163.42
60987-Odete Vasques-10414.99
5635-Ximena Castilho-6607.38
49997-Mercia Caeira-18283.87
992371-Melinda Roserio-15123.34
191544-Cleusa Goes-20800.02
191269-Melinda Roserio-224.38
803708-Filomena Barrios-19046.13
498915-Micaela Chavez-5522.99
39392-Adelino Barra-1205.29
34282-Spnia ou Sonia Guerreiro-4314.97
328686-Emedlio Pimentel-13885.58
896658-Liana Cardim-8630.80
75155-Anind Zarco-21141.30
381775-Trajano Fagundes-13116.39
292139-Jussara Varanda-20868.30
630215-Urbano Rodrigues-21070.21
291980-Tibefarcio Colao-19053.42
662274-Delfina Garcia de Gondim-10223.57
416639-Emiliana Foquio-19033.96
364792-Branco Saraba-2919.47
138380-Eurico Siqueira-9022.75
443968-Ximena Castilho-18241.72
970727-Aludsio Sosa-8937.64
400536-Elisa Themes-20871.46
680429-Angilica Galante-19969.54
479036-Zulmira Becerra-20365.84
715232-Almerinda Palmeira-15333.92
80776-Odilia Camello-4955.71
745105-Emedlio Pimentel-20979.88
454391-Rodolfo Paz-4358.69
144308-Armindo Castalo-2205.24
