28348-Marilda Leio-5944.31
727330-Dulce Froes-7506.08
761324-Esperada Cardoso-8482.49
203142-Sofras Cuaresma-132.25
913293-Ermelinda Quintela-5705.64
457863-Jorgina Bogalho-6334.84
641939-Urbano Rodrigues-218.03
180907-Daniel Vieyra-2028.43
98065-Celeste Duarte-19079.20
399553-Estanislau Beserra-19469.69
271424-Daniel Vieyra-9965.13
772840-Emedlia Silvera-6037.57
902371-Almor Caiado-9115.18
101209-Delfim Higuera-8942.38
530646-Angilica Galante-7736.67
596784-Lurdes Cotrim-14531.25
653437-Eurico Siqueira-10942.84
163285-Fulvio Villegas-7879.81
525762-Rebeca Neto-105.95
928283-Odilia Bello-16609.95
639974-Armindo Castalo-9457.83
266599-Emedlio Pimentel-16095.55
533686-Emedlio Pimentel-1689.74
533790-Rebeca Neto-19490.75
274869-Moaci Mendoa-21.22
579528-Neeamia Arruda-7757.19
368090-Marilda Leio-7678.89
959630-Micaela Chavez-7115.69
394575-Sara Lameiras-15620.94
265854-Angilica Galante-5275.39
622126-Jonatas Felgueiras-6541.79
8091-Urbano Rodrigues-3889.62
634728-Anind Zarco-4824.96
812416-Regina Barcellos-17830.29
711595-Zungela Ipiranga-88.21
794614-Almerinda Palmeira-254.00
519335-Gaudancio Fiees-3187.68
527699-Oliveira Senchez-9107.28
33316-Camila Gabeira-20041.22
617899-Flor Portella-12119.05
713707-Flor Portella-4810.43
108515-Ubaldo Mainha-8080.51
575163-Sofras Cuaresma-6492.02
499671-Melinda Roserio-9160.15
532304-Armindo Castalo-3552.43
171003-Tibofarcio Camacho-18880.37
45258-Leonidas Mafra-5250.73
808504-Jonatas Felgueiras-16556.01
656732-Romo Paranage-17726.34
599350-Artur Grillo-8867.68
597347-Odilia Bello-6589.98
257991-Clara Alcantara-20351.07
396939-Aludsio Sosa-1821.98
547876-Honorina Lira-17116.98
728240-Fulvio Villegas-21302.30
729254-Andreia Moita-14399.18
130445-Adelina Quadros-4164.79
299903-Guaraci Damasceno-19752.88
713612-Anfnia Seixas-3854.61
249794-Odete Vasques-15040.60
207008-Flor Portella-15636.58
723732-Edgar Carvalheiro-12184.32
775355-Sidfnio Frois-8573.45
545659-Angilica Galante-9628.93
847062-Silvio Mata-11706.21
874807-Cassandra Varejo-14893.50
972564-Armindo Castalo-19444.81
143317-Manuel Capiperibe-7072.97
914764-Flamednia Leiria-8360.11
352925-Danilo Olaio-397.77
42997-Letedcia Gago-16779.84
247741-Rebeca Neto-19367.08
75674-Flor Portella-16240.00
618310-Elisa Themes-13890.62
342617-Artur Grillo-4.25
329955-Zulmira Becerra-21083.00
751327-Quintino Alcantara-10107.89
651992-Artur Grillo-15279.32
840454-Antonio Viegas-10203.63
6149-Joaquim Rufino-12607.16
748428-Judite Damasceno-9882.75
148285-Tarrataca Soares-8620.39
496416-Domingos Pas-7696.31
189760-Dulce Froes-8932.50
292545-Guaraci Damasceno-7971.09
16659-Clara Alcantara-4639.55
607709-Armindo Castalo-13337.06
196140-Nuno Balsemeo-16753.58
81854-Taercio Mafra-13167.15
494817-Tibefarcio Colao-6432.38
168469-Tibofarcio Camacho-11589.86
858876-Edgar Carvalheiro-1326.51
257065-Henrique Bento-9301.47
171095-Delfim Higuera-1138.53
146627-Odilia Bello-7941.46
63426-Quintiliano Sousa de Arronches-19941.62
796300-Letedcia Gago-9082.87
317813-Rodolfo Paz-16284.83
287635-Armanda Amorim-5670.81
620530-Trajano Fagundes-7075.76
