767798-Cassandra Varejo-10618.96
870375-Gaudancio Fiees-9524.32
154131-Jussara Varanda-10570.50
515336-Clara Alcantara-11241.23
280909-Regina Barcellos-18447.53
775157-Estanislau Beserra-10325.55
494383-Melinda Roserio-3018.28
638905-Elisa Themes-3589.28
900474-Daniel Vieyra-19656.62
101204-Flor Portella-12757.02
14897-Aludsio Sosa-2779.86
504869-Adelino Barra-14768.56
315567-Moaci Mendoa-9345.27
708222-Clara Alcantara-3475.58
340397-Romo Paranage-8348.39
440829-Manuel Capiperibe-19756.14
492421-Andreia Moita-1736.25
795885-Moaci Mendoa-14172.64
408918-Ximena Castilho-1206.81
890195-Fulvio Villegas-15787.82
340991-Flor Portella-3303.13
687795-Neeamia Arruda-12018.18
466496-Danilo Olaio-20261.34
811663-Cleusa Goes-17423.58
795937-Quintino Alcantara-8312.15
532920-Filomena Barrios-20036.56
341734-Tarrataca Soares-666.65
978740-Trajano Fagundes-6684.61
543906-Odilia Bello-2253.86
288003-Judite Damasceno-15102.76
250201-Esperada Cardoso-18726.17
198297-Esperada Cardoso-2268.21
2666-Leonidas Mafra-18202.88
850145-Joaquim Rufino-12676.16
256069-Flamednia Leiria-18404.12
17699-Augusta Paio-10884.61
393841-Anfnia Seixas-443.19
911582-Estanislau Beserra-11572.98
693476-Tabalipa Duarte-4913.58
156348-Dulce Froes-121.62
917754-Camila Gabeira-9954.13
992592-Adelino Barra-15716.11
402083-Edgar Carvalheiro-10701.30
945441-Quintino Alcantara-4254.96
879945-Lurdes Cotrim-21327.53
513288-Micaela Chavez-5842.87
835355-Jussara Varanda-20506.80
822216-Ermelinda Quintela-2631.08
269756-Daniel Vieyra-9338.02
103244-Neuza Francia-20359.58
729227-Armindo Castalo-8533.92
488698-Angelica Aranha-20113.85
69451-Camila Gabeira-2693.03
937983-Oliveira Senchez-19482.49
455013-Jorgina Bogalho-2006.45
383774-Dulce Froes-1526.75
773539-Almerinda Palmeira-16605.10
998746-Jussara Varanda-4958.49
521783-Ermelinda Quintela-16221.18
919260-Moaci Mendoa-9697.38
962829-Henrique Bento-489.84
935394-Rebeca Neto-7324.72
35252-Telma Villalobos-10995.42
265071-Ubaldo Mainha-8229.96
991346-Flor Portella-11704.51
502852-Emiliana Foquio-18348.35
784583-Dulce Froes-17571.25
779437-Flor Portella-9816.40
366292-Moaci Mendoa-6656.78
787681-Dulce Froes-13005.97
167248-Polibe Olivares-7510.76
939098-Odete Vasques-125.28
128529-Micaela Chavez-6565.63
104920-Gaudancio Fiees-16058.29
846415-Tabalipa Duarte-11383.36
749311-Letedcia Gago-13868.39
326897-Branco Saraba-7881.40
414528-Clarindo Areosa-13929.19
867125-Branco Saraba-13168.02
438091-Cassandra Varejo-14935.90
263374-Jussara Varanda-18117.57
72203-Sofras Cuaresma-9772.12
353274-Mercia Caeira-10013.41
176040-Odilia Bello-59.62
511186-Clarindo Areosa-20868.09
813727-Rebeca Neto-10020.74
467436-Branco Saraba-11994.01
245853-Fulvio Villegas-443.32
180428-Micaela Chavez-1801.99
792946-Camila Gabeira-10816.37
2666-Cassandra Varejo-15709.01
805121-Cassandra Varejo-16969.73
135706-Adelino Barra-448.42
546025-Almor Caiado-20090.19
784797-Odete Vasques-19700.46
359721-Honorina Lira-10983.76
806352-Rodolfo Paz-12288.44
876569-Estanislau Beserra-19710.89
382514-Clara Alcantara-117.86
206831-Urbano Rodrigues-3115.79
