301519-Joaquim Rufino-2961.43
709539-Ubaldo Mainha-14879.83
253572-Domingos Pas-18815.46
536705-Guida Juca-8537.26
686316-Ximena Castilho-17880.43
746384-Emiliana Foquio-108.67
660583-Nuno Balsemeo-14989.73
533708-Ximena Castilho-20278.45
142483-Leonidas Mafra-3792.07
184685-Sidfnio Frois-6543.98
967566-Manuel Capiperibe-19407.00
500918-Taercio Mafra-13049.26
424365-Clara Alcantara-17181.79
778596-Carminda Morais-7622.32
211744-Elisa Themes-664.35
884441-Leonidas Mafra-4091.81
622527-Angilica Galante-16208.42
931298-Marilda Leio-21283.76
655847-Ermelinda Quintela-12690.34
226405-Flamednia Leiria-1497.35
791442-Celeste Duarte-15407.03
983404-Esperada Cardoso-12817.20
675098-Rebeca Neto-21371.45
429373-Danilo Olaio-15424.40
909492-Trajano Fagundes-14281.68
464877-Tibefarcio Colao-13365.68
370435-Oliveira Carmona-15341.91
764895-Branco Saraba-8336.39
520910-Ubaldo Mainha-14432.94
483847-Liana Cardim-8770.37
844991-Eurico Siqueira-8788.29
422212-Eurico Siqueira-17448.12
441402-Leonidas Mafra-6680.04
156133-Clarindo Areosa-16774.33
103111-Sofras Cuaresma-13318.59
485004-Tarrataca Soares-14193.24
48196-Odilia Bello-19506.94
969623-Andreia Moita-1299.75
782992-Elisa Themes-1324.96
630788-Odete Vasques-1899.80
730399-Zungela Ipiranga-9568.25
533039-Sara Lameiras-787.64
572332-Moaci Mendoa-10082.05
272642-Odilia Camello-11683.61
928917-Daniel Vieyra-13214.64
752903-Almor Caiado-15339.49
661744-Neuza Francia-675.14
277968-Delfina Garcia de Gondim-6904.83
532873-Zulmira Becerra-12362.67
82306-Basilio Pedroso-8264.14
701730-Quintiliano Sousa de Arronches-17581.44
633529-Henrique Bento-12771.93
893813-Daniel Vieyra-6652.82
674031-Silvio Mata-20595.55
403556-Angelica Aranha-5600.00
991882-Romo Paranage-18897.53
903885-Jussara Varanda-9429.31
542705-Almor Caiado-14012.09
156885-Tibefarcio Colao-19507.42
750983-Cassandra Varejo-18873.41
841552-Adelina Quadros-20880.42
273581-Odete Vasques-12841.92
952932-Oliveira Carmona-12206.02
353709-Odete Vasques-4177.93
115695-Sofras Cuaresma-5531.96
858353-Jussara Varanda-8111.88
66688-Cassandra Varejo-4636.08
272543-Almerinda Palmeira-14611.51
478247-Anind Zarco-17863.08
466791-Odilia Camello-15715.75
868963-Neuza Francia-10069.33
931515-Fulvio Villegas-10492.07
187486-Emiliana Foquio-17771.60
241912-Liana Cardim-20515.13
851083-Tabalipa Duarte-8931.46
976621-Zungela Ipiranga-17710.04
371428-Guaraci Damasceno-19240.71
697248-Joaquim Rufino-14198.59
748402-Filomena Barrios-9488.54
57763-Mercia Caeira-17473.21
223988-Fulvio Villegas-3467.06
432457-Jonatas Felgueiras-6526.38
865754-Guaraci Damasceno-17948.25
384988-Zungela Ipiranga-1435.83
213247-Zungela Ipiranga-20534.35
754087-Jorgina Bogalho-16419.27
966686-Filomena Barrios-7988.15
303985-Rebeca Neto-4670.29
308689-Augusta Paio-20477.77
621331-Telma Villalobos-10493.51
25599-Elisa Themes-15065.75
879396-Estanislau Beserra-12125.24
939952-Sara Lameiras-14513.90
676551-Eurico Siqueira-12962.91
442902-Elisa Themes-11650.21
354702-Gaudancio Fiees-16107.75
786655-Tibefarcio Colao-12972.58
805449-Silvio Mata-6880.78
199981-Emiliana Foquio-12443.87
448496-Zulmira Becerra-4575.25
