122834-Spnia ou Sonia Guerreiro-5231.17
67612-Moaci Mendoa-2806.78
691000-Spnia ou Sonia Guerreiro-20334.68
30671-Lina Andrade-9941.61
256368-Letedcia Gago-4434.35
458777-Micaela Chavez-8619.69
625962-Delfim Higuera-12670.09
113631-Odete Vasques-6994.48
916733-Anind Zarco-7181.40
589074-Delfina Garcia de Gondim-9304.17
675372-Cleusa Goes-4590.56
237111-Henrique Bento-2536.40
896029-Emedlia Silvera-1948.48
726717-Neuza Francia-21428.79
709329-Anfnia Seixas-6236.51
193586-Aludsio Sosa-21401.10
971703-Judite Damasceno-4252.52
611930-Flor Portella-2798.82
778353-Eurico Siqueira-14217.99
247262-Antonio Castelo-12939.04
533842-Neeamia Arruda-7720.96
937018-Tibefarcio Colao-21083.33
501768-Mercia Caeira-10517.46
566956-Micaela Chavez-5039.89
793224-Sara Lameiras-14016.98
970885-Quintino Alcantara-13494.08
600689-Emedlia Silvera-20183.80
272295-Oliveira Senchez-18665.08
392292-Adelina Quadros-1638.03
652332-Adelina Quadros-1285.66
329643-Polibe Olivares-9621.00
579765-Marilda Leio-10400.37
470309-Regina Barcellos-6430.55
692276-Micaela Chavez-18046.22
825393-Edgar Carvalheiro-12239.32
126028-Emedlio Pimentel-14919.03
536606-Flor Portella-13230.20
199441-Romo Paranage-19842.92
260868-Quintiliano Sousa de Arronches-20276.84
121268-Emedlia Silvera-238.53
402421-Emiliana Foquio-11981.83
779697-Aludsio Sosa-17147.62
6561-Flamednia Leiria-18272.33
979041-Tarrataca Soares-17304.41
456558-Lina Andrade-14197.83
148442-Neeamia Arruda-15189.09
248279-Carminda Morais-20204.46
244123-Armanda Amorim-12021.62
264257-Henrique Bento-14914.22
87034-Carminda Morais-150.60
476069-Sidfnio Frois-2144.62
481556-Artur Grillo-7142.42
524160-Jorgina Bogalho-14752.49
622003-Neuza Francia-14017.44
858393-Regina Barcellos-9977.17
542905-Cassandra Varejo-16648.65
130074-Moaci Mendoa-4576.30
253293-Jorgina Bogalho-15418.74
184858-Lina Andrade-3416.55
317060-Emedlio Pimentel-13157.42
302231-Edgar Carvalheiro-2977.34
470016-Danilo Olaio-3972.16
432882-Elisa Themes-5067.40
628436-Elisa Themes-12693.62
781656-Tibefarcio Colao-1947.37
717937-Fulvio Villegas-6542.80
596009-Quintiliano Sousa de Arronches-19924.10
919776-Sidfnio Frois-12371.79
921381-Guida Juca-3728.81
345342-Zulmira Becerra-14271.98
829278-Camila Gabeira-1290.16
291962-Taercio Mafra-19714.86
996741-Dulce Froes-794.35
466526-Clarindo Areosa-5750.64
680360-Anind Zarco-8938.46
127504-Zulmira Becerra-3080.80
440049-Augusta Paio-3366.76
898978-Quintino Alcantara-8525.96
232062-Zulmira Becerra-9105.17
736262-Dulce Froes-20018.62
982260-Ubaldo Mainha-19942.08
962479-Delfim Higuera-11020.16
674825-Feledcia Peassego-395.29
127108-Tibefarcio Colao-2819.96
941331-Zungela Ipiranga-10836.76
492239-Ubaldo Mainha-12948.04
839090-Joaquim Rufino-4327.60
111957-Emiliana Foquio-11026.59
564135-Ximena Castilho-5514.08
413186-Judite Damasceno-12681.44
459817-Feledcia Peassego-2736.42
522612-Filomena Barrios-131.21
587939-Sofras Cuaresma-8837.96
88680-Judite Damasceno-12449.23
653272-Sara Lameiras-2183.81
579723-Neuza Francia-1463.89
585970-Almerinda Palmeira-16832.29
268023-Moaci Mendoa-3788.57
62009-Tibefarcio Colao-17654.21
372958-Edgar Carvalheiro-19208.34
