282795-Almerinda Palmeira-16607.90
759519-Judite Damasceno-10417.48
374636-Almor Caiado-20837.67
521715-Tibofarcio Camacho-15692.94
566954-Neeamia Arruda-19000.24
603506-Lina Andrade-3236.79
817593-Gaudancio Fiees-12992.69
727319-Almor Caiado-14209.67
476137-Almor Caiado-6168.61
933758-Honorina Lira-16224.97
848480-Daniel Vieyra-9662.96
664734-Armindo Castalo-21440.56
355340-Ermelinda Quintela-7399.47
7243-Leonidas Mafra-10104.69
283586-Polibe Olivares-1125.52
473508-Cassandra Varejo-4871.56
397720-Heleedsa Marins-2104.89
859166-Ximena Castilho-16232.17
733921-Zulmira Becerra-2362.09
554124-Rebeca Neto-14801.43
589327-Angilica Galante-6955.08
414953-Jussara Varanda-17241.72
504518-Eurico Siqueira-18205.28
360755-Eurico Siqueira-11810.52
544065-Gaudancio Fiees-4058.51
751241-Antonio Castelo-12313.25
637261-Neeamia Arruda-15857.23
308863-Zulmira Becerra-6240.98
464212-Melinda Roserio-8768.32
480262-Tarrataca Soares-7309.03
993641-Zulmira Becerra-13954.92
319849-Feledcia Peassego-2364.23
734756-Odilia Bello-4429.28
580296-Honorina Lira-19512.89
410888-Basilio Pedroso-20358.33
793487-Feledcia Peassego-4491.00
331598-Emiliana Foquio-18097.38
875519-Zulmira Becerra-9745.63
636217-Edgar Carvalheiro-15120.27
606181-Filomena Barrios-18915.07
235523-Dulce Froes-15880.17
372721-Oliveira Carmona-15678.53
198863-Emedlia Silvera-18275.88
69287-Almor Caiado-9596.85
991238-Ermelinda Quintela-21220.96
281006-Armindo Castalo-11324.05
895747-Almerinda Palmeira-6252.53
749534-Angelica Aranha-8111.29
701532-Nuno Balsemeo-11657.65
2016-Heleedsa Marins-19253.71
205110-Clara Alcantara-2751.23
900142-Ubaldo Mainha-12054.96
534768-Daniel Vieyra-21456.95
97155-Joaquim Rufino-6212.80
464410-Carminda Morais-21082.72
664248-Daniel Vieyra-5700.69
480613-Delfina Perdigon-15329.65
550767-Joaquim Rufino-1402.31
183573-Flor Portella-13109.32
359595-Branco Saraba-16269.34
559097-Artur Grillo-18191.39
292071-Edgar Carvalheiro-11355.56
878366-Micaela Chavez-19600.91
569092-Ermelinda Quintela-4407.04
460896-Guida Juca-6761.69
964667-Moaci Mendoa-4073.49
873892-Sara Lameiras-833.46
36521-Emiliana Foquio-15138.97
844425-Branco Saraba-13785.97
417469-Neeamia Arruda-11894.73
394538-Edgar Carvalheiro-6905.48
978452-Emedlio Pimentel-14698.40
574636-Lurdes Cotrim-8002.35
381953-Tibefarcio Colao-5093.20
469691-Romo Paranage-15567.81
345439-Odilia Bello-17697.46
806557-Delfim Higuera-1331.36
232440-Adelino Barra-15671.73
888974-Adelina Quadros-4405.33
994044-Ubaldo Mainha-664.67
549665-Esperada Cardoso-2228.62
244597-Andreia Moita-11848.40
11686-Esperada Cardoso-20104.15
385699-Mercia Caeira-5503.13
463791-Eurico Siqueira-17207.83
226726-Edgar Carvalheiro-11876.45
822398-Basilio Pedroso-16684.51
280478-Odilia Camello-4012.00
635379-Jussara Varanda-18210.89
103380-Leonidas Mafra-7965.99
560427-Zungela Ipiranga-11021.49
565617-Fulvio Villegas-2619.10
411022-Delfina Garcia de Gondim-15589.22
7712-Melinda Roserio-5108.24
924779-Flamednia Leiria-18532.88
139471-Lurdes Cotrim-19675.14
616455-Tarrataca Soares-12608.53
229623-Leonidas Mafra-19641.34
15496-Jorgina Bogalho-12962.85
851203-Flor Portella-6359.05
