37920-Emiliana Foquio-10331.41
90892-Melinda Roserio-7785.67
254749-Antonio Castelo-18235.52
845176-Gaudancio Fiees-10776.16
895793-Oliveira Carmona-5880.03
783776-Cassandra Varejo-5053.93
194229-Emedlia Silvera-14614.69
549592-Quintino Alcantara-5281.46
741201-Filomena Barrios-21325.51
923982-Quintino Alcantara-3695.06
331997-Regina Barcellos-270.61
788431-Neeamia Arruda-17741.51
881595-Emiliana Foquio-10739.23
893858-Quintino Alcantara-2402.84
737405-Taercio Mafra-156.96
488831-Dulce Froes-14864.80
627251-Armindo Castalo-20606.74
972538-Emedlio Pimentel-1287.40
627016-Carminda Morais-16324.81
192310-Lurdes Cotrim-17464.05
468988-Polibe Olivares-6892.54
402521-Emiliana Foquio-20270.42
903442-Taercio Mafra-17424.40
472529-Dulce Froes-18763.34
657107-Armanda Amorim-12495.88
844401-Clara Alcantara-4865.93
941285-Lina Andrade-19822.20
23050-Tibofarcio Camacho-3517.09
251138-Cleusa Goes-19073.36
30157-Tibofarcio Camacho-6240.45
831771-Angilica Galante-18095.14
693899-Almor Caiado-544.33
223785-Zungela Ipiranga-4323.36
676180-Jorgina Bogalho-4718.08
928963-Melinda Roserio-12504.66
361575-Angelica Aranha-12088.26
790497-Honorina Lira-8522.84
409958-Emedlia Silvera-16423.07
769549-Tabalipa Duarte-19595.58
126825-Honorina Lira-17891.05
405768-Judite Damasceno-15004.53
938376-Rebeca Neto-11206.63
29431-Gaudancio Fiees-2764.03
76882-Taercio Mafra-415.96
458235-Ximena Castilho-6565.25
459951-Angelica Aranha-21368.86
538157-Adelina Quadros-16741.93
352809-Urbano Rodrigues-13291.20
392796-Domingos Pas-12304.05
768784-Oliveira Carmona-8630.49
705787-Tabalipa Duarte-19734.54
672794-Angelica Aranha-9559.09
555973-Anfnia Seixas-19849.38
291471-Flor Portella-3605.32
835465-Filomena Barrios-1065.06
361414-Mercia Caeira-3249.66
713721-Filomena Barrios-15025.04
350021-Delfim Higuera-13263.74
326070-Manuel Capiperibe-1482.83
860300-Danilo Olaio-20230.52
15574-Leonidas Mafra-11322.74
140015-Mercia Caeira-14329.46
927521-Liana Cardim-8320.19
118230-Elisa Themes-19093.10
421026-Ubaldo Mainha-8416.62
732168-Anfnia Seixas-10270.23
962287-Edgar Carvalheiro-15267.37
901882-Basilio Pedroso-10456.04
960909-Urbano Rodrigues-12259.30
425271-Armindo Castalo-18797.90
970849-Camila Gabeira-5013.22
970708-Neuza Francia-7384.62
879575-Tibefarcio Colao-15643.89
243234-Esperada Cardoso-11080.24
654919-Henrique Bento-15584.45
572867-Delfina Garcia de Gondim-14246.93
940676-Delfim Higuera-6961.72
845560-Guaraci Damasceno-10470.74
123976-Telma Villalobos-16590.35
685072-Elisa Themes-16149.76
813986-Henrique Bento-17779.47
732856-Sara Lameiras-19739.18
598124-Tabalipa Duarte-10113.14
998468-Cleusa Goes-8750.74
709007-Ermelinda Quintela-19257.29
597909-Odete Vasques-21223.01
26589-Tibefarcio Colao-17897.58
192416-Guaraci Damasceno-2831.20
961763-Liana Cardim-10762.44
693405-Guaraci Damasceno-224.46
214938-Sofras Cuaresma-12922.60
58289-Domingos Pas-17229.93
879824-Honorina Lira-6001.07
90712-Anfnia Seixas-9031.06
841888-Spnia ou Sonia Guerreiro-2463.31
38026-Edgar Carvalheiro-16189.29
960349-Jorgina Bogalho-17529.55
538441-Esperada Cardoso-276.64
706888-Guaraci Damasceno-17836.26
426599-Rodolfo Paz-18043.19
