493809-Antonio Viegas-14179.58
831772-Heleedsa Marins-5957.56
435919-Guaraci Damasceno-2914.91
216050-Branco Saraba-11810.26
542992-Filomena Barrios-3915.57
879843-Antonio Viegas-19435.99
531813-Camila Gabeira-16686.98
968023-Oliveira Carmona-15178.61
770673-Camila Gabeira-928.02
869852-Aludsio Sosa-18399.12
591605-Flor Portella-69.22
545267-Neuza Francia-12997.54
67968-Cassandra Varejo-11747.06
986015-Daniel Vieyra-6474.39
529584-Ximena Castilho-2624.98
274927-Urbano Rodrigues-16183.78
260637-Gaudancio Fiees-11694.26
749408-Edgar Carvalheiro-14843.94
282634-Melinda Roserio-21021.65
408552-Eurico Siqueira-19095.51
513756-Cleusa Goes-17666.59
93452-Rodolfo Paz-11667.21
429421-Lurdes Cotrim-2523.05
773093-Tibofarcio Camacho-21232.91
626618-Moaci Mendoa-1583.37
553967-Emedlia Silvera-15456.12
597015-Nuno Balsemeo-13323.89
854513-Quintiliano Sousa de Arronches-17771.38
972645-Anind Zarco-19514.21
408962-Flor Portella-12173.46
757402-Emedlio Pimentel-8653.76
28126-Guida Juca-1659.86
569259-Delfim Higuera-18624.15
333072-Oliveira Carmona-19511.88
19264-Andreia Moita-16133.31
719882-Marilda Leio-12404.01
314769-Manuel Capiperibe-6285.15
335740-Nuno Balsemeo-14463.69
267169-Antonio Castelo-9168.58
879729-Andreia Moita-12802.67
43273-Liana Cardim-815.41
898462-Micaela Chavez-16225.69
474210-Fulvio Villegas-7606.55
354837-Branco Saraba-8179.88
42711-Anind Zarco-2945.23
67416-Odete Vasques-16002.43
220231-Heleedsa Marins-20585.58
278146-Tibefarcio Colao-6914.10
474216-Rodolfo Paz-11306.77
123779-Sidfnio Frois-11835.57
119036-Tarrataca Soares-6121.17
490095-Odilia Camello-11830.15
846761-Basilio Pedroso-19154.89
651158-Sara Lameiras-9143.61
643675-Augusta Paio-3029.20
483636-Delfina Garcia de Gondim-2395.03
725007-Marilda Leio-1222.40
997508-Telma Villalobos-12835.18
639300-Emiliana Foquio-12055.09
655734-Lina Andrade-18396.32
455770-Liana Cardim-1082.68
280460-Odilia Bello-11717.58
706985-Flamednia Leiria-9011.21
271901-Jussara Varanda-11587.72
340984-Rebeca Neto-17484.16
933499-Odilia Bello-21359.00
285680-Guida Juca-14141.41
712295-Clara Alcantara-2116.55
549086-Armanda Amorim-21222.94
579572-Elisa Themes-16204.66
167132-Tibofarcio Camacho-21339.22
387743-Ximena Castilho-15967.19
623515-Marilda Leio-16314.26
865010-Eurico Siqueira-8512.14
467066-Tibefarcio Colao-740.71
505097-Regina Barcellos-17420.05
530169-Oliveira Senchez-10128.07
311569-Domingos Pas-20925.19
611091-Ermelinda Quintela-13775.84
935655-Dulce Froes-21461.64
409041-Ubaldo Mainha-12868.48
150284-Odete Vasques-15592.35
649481-Edgar Carvalheiro-19988.59
786097-Taercio Mafra-2262.40
694937-Tibefarcio Colao-14507.07
536029-Filomena Barrios-16802.12
793009-Odilia Bello-11542.59
707236-Henrique Bento-21425.71
276218-Micaela Chavez-16336.98
655607-Jorgina Bogalho-8331.50
501138-Danilo Olaio-15805.59
301285-Telma Villalobos-18367.09
820156-Celeste Duarte-6258.75
281088-Marilda Leio-9966.61
472334-Clarindo Areosa-19603.56
218527-Rodolfo Paz-9704.08
485869-Anind Zarco-1627.18
76394-Jonatas Felgueiras-9514.25
702396-Guida Juca-14007.01
912961-Urbano Rodrigues-14853.57
