364330-Anind Zarco-2509.84
883073-Quintiliano Sousa de Arronches-10435.59
141224-Neuza Francia-12600.82
804822-Odete Vasques-16856.64
137284-Moaci Mendoa-17447.93
759928-Esperada Cardoso-2792.44
553881-Tibofarcio Camacho-1806.58
606665-Odilia Bello-15900.43
941847-Emedlia Silvera-5282.66
203613-Danilo Olaio-4981.14
397597-Guaraci Damasceno-6044.78
865057-Anfnia Seixas-19523.61
758034-Guaraci Damasceno-2470.19
926203-Sofras Cuaresma-11378.24
912026-Moaci Mendoa-19279.61
829345-Gaudancio Fiees-15862.37
807583-Adelino Barra-853.07
272027-Joaquim Rufino-999.14
189151-Cassandra Varejo-17918.56
6886-Oliveira Senchez-21060.59
950564-Armanda Amorim-6289.73
877963-Clarindo Areosa-11578.38
364472-Letedcia Gago-8071.13
448971-Artur Grillo-7825.55
713809-Angilica Galante-2149.84
771175-Regina Barcellos-9818.13
589073-Emiliana Foquio-3901.37
548275-Jorgina Bogalho-9414.09
582779-Odete Vasques-10965.98
883451-Almerinda Palmeira-391.21
297779-Domingos Pas-5570.72
190091-Mercia Caeira-7539.50
959814-Estanislau Beserra-16733.14
748172-Moaci Mendoa-2802.80
876338-Odilia Bello-4079.94
481597-Oliveira Carmona-16537.65
323877-Lina Andrade-18.70
989763-Daniel Vieyra-20754.18
53216-Tarrataca Soares-8745.18
488787-Tibofarcio Camacho-12224.01
16441-Letedcia Gago-14696.99
1071-Esperada Cardoso-734.05
856790-Estanislau Beserra-11333.65
308930-Basilio Pedroso-6016.30
832748-Heleedsa Marins-17635.06
340272-Antonio Viegas-1045.04
660847-Flor Portella-15058.28
634759-Andreia Moita-17578.17
17685-Fulvio Villegas-9603.87
515126-Tabalipa Duarte-9053.92
617618-Liana Cardim-15514.09
308427-Odilia Camello-13799.26
949166-Jorgina Bogalho-15487.83
420657-Angelica Aranha-7176.08
688225-Guida Juca-18164.41
432975-Tabalipa Duarte-7652.97
458785-Jonatas Felgueiras-6934.75
354729-Emedlio Pimentel-19911.10
185434-Emedlia Silvera-13046.43
50031-Clara Alcantara-18781.59
315619-Adelino Barra-16032.93
279978-Aludsio Sosa-10371.17
165903-Fulvio Villegas-9335.83
416857-Cassandra Varejo-8185.20
813715-Flamednia Leiria-9722.08
716463-Estanislau Beserra-18026.41
639403-Emiliana Foquio-6686.16
390060-Feledcia Peassego-18669.71
474548-Sidfnio Frois-10306.73
946083-Judite Damasceno-11817.23
326157-Filomena Barrios-13950.38
631211-Manuel Capiperibe-9928.35
862315-Guaraci Damasceno-485.17
392612-Taercio Mafra-18429.34
531032-Augusta Paio-5352.64
626675-Manuel Capiperibe-364.97
19815-Ubaldo Mainha-4511.36
404001-Anind Zarco-11375.26
413994-Anind Zarco-17060.01
67479-Silvio Mata-9694.63
395933-Emedlio Pimentel-19807.89
533328-Micaela Chavez-19964.21
304442-Heleedsa Marins-2487.99
142089-Filomena Barrios-4341.92
532336-Henrique Bento-11227.23
614351-Odilia Camello-19833.49
370165-Joaquim Rufino-16338.86
742212-Estanislau Beserra-7678.06
85221-Danilo Olaio-13762.20
617329-Ximena Castilho-4688.04
388567-Quintiliano Sousa de Arronches-20712.00
714556-Neuza Francia-13442.50
358921-Oliveira Carmona-14725.54
36622-Flor Portella-12422.12
164516-Taercio Mafra-14717.45
556318-Odete Vasques-9858.75
444843-Basilio Pedroso-15872.46
469496-Manuel Capiperibe-17969.88
536687-Judite Damasceno-13345.89
604614-Danilo Olaio-12307.23
652063-Sara Lameiras-5196.28
5192-Cassandra Varejo-5963.43
295212-Guaraci Damasceno-3062.18
384438-Mercia Caeira-18452.54
665482-Cleusa Goes-6139.35
185728-Dulce Froes-14424.92
55499-Jonatas Felgueiras-724.53
843667-Taercio Mafra-12499.22
921529-Joaquim Rufino-18174.59
252136-Flor Portella-13335.80
870262-Almor Caiado-7677.48
720897-Camila Gabeira-21007.54
821017-Angelica Aranha-8865.65
991416-Neuza Francia-16689.49
374183-Zulmira Becerra-5871.31
18007-Taercio Mafra-9113.17
53591-Sofras Cuaresma-3298.89
334747-Daniel Vieyra-4767.33
120041-Joaquim Rufino-21196.54
11046-Trajano Fagundes-1924.23
625090-Adelino Barra-16062.93
383445-Adelino Barra-19900.14
484315-Armindo Castalo-5403.51
802973-Augusta Paio-8773.43
376041-Zungela Ipiranga-20957.17
917091-Marilda Leio-13722.51
433385-Danilo Olaio-18403.05
918822-Letedcia Gago-7921.56
842899-Nuno Balsemeo-247.92
225951-Camila Gabeira-8728.03
705296-Rodolfo Paz-2719.45
932997-Eurico Siqueira-8893.28
430598-Branco Saraba-11738.12
9663-Anfnia Seixas-14316.16
538278-Ermelinda Quintela-13605.08
714629-Daniel Vieyra-15744.25
208092-Almor Caiado-13683.75
590519-Delfina Perdigon-8148.10
221928-Heleedsa Marins-11636.53
507498-Moaci Mendoa-20848.79
732069-Oliveira Carmona-6171.00
249550-Danilo Olaio-18230.33
297190-Gaudancio Fiees-13609.80
212359-Silvio Mata-1175.06
470121-Odilia Bello-19090.45
961010-Guida Juca-8802.76
703035-Antonio Viegas-900.00
782491-Zulmira Becerra-20155.91
501420-Elisa Themes-6913.29
528921-Odilia Bello-3843.53
359688-Lina Andrade-12870.85
651514-Trajano Fagundes-7108.51
755140-Delfina Garcia de Gondim-6456.64
187586-Delfim Higuera-16318.76
751825-Letedcia Gago-2518.63
340249-Basilio Pedroso-7488.24
353597-Carminda Morais-2000.43
257959-Taercio Mafra-4458.26
972157-Heleedsa Marins-1308.44
855443-Almerinda Palmeira-14273.73
133767-Quintiliano Sousa de Arronches-9132.49
512427-Adelino Barra-10079.00
440772-Neuza Francia-4531.72
865753-Guaraci Damasceno-4228.76
280680-Gaudancio Fiees-2011.44
772889-Jonatas Felgueiras-11484.84
540657-Judite Damasceno-5443.54
308429-Taercio Mafra-19046.12
183075-Jussara Varanda-17491.00
386524-Esperada Cardoso-12414.72
942626-Armanda Amorim-3191.22
99803-Heleedsa Marins-17466.35
623957-Domingos Pas-9045.92
295925-Ximena Castilho-13014.58
877124-Filomena Barrios-9072.55
804971-Emedlia Silvera-16310.28
73179-Domingos Pas-580.85
384785-Elisa Themes-5733.93
522280-Ximena Castilho-8975.76
503435-Jonatas Felgueiras-17219.63
373525-Romo Paranage-12834.22
8590-Tabalipa Duarte-8690.38
27439-Mercia Caeira-11896.62
734269-Henrique Bento-7434.74
833018-Artur Grillo-11623.51
559160-Cassandra Varejo-5506.72
285648-Sara Lameiras-18047.46
366078-Oliveira Senchez-8296.47
574763-Taercio Mafra-2186.85
400212-Ermelinda Quintela-1027.05
697868-Angelica Aranha-19090.79
117851-Sara Lameiras-1086.04
205291-Micaela Chavez-41.47
884610-Daniel Vieyra-20488.82
21561-Lurdes Cotrim-2232.31
929527-Neuza Francia-11707.90
865047-Angelica Aranha-17450.76
401482-Domingos Pas-3429.58
330909-Esperada Cardoso-10165.33
836403-Romo Paranage-12199.33
820840-Almor Caiado-471.47
226847-Artur Grillo-21122.65
703282-Basilio Pedroso-5719.87
325048-Estanislau Beserra-6258.72
937125-Regina Barcellos-14278.93
416638-Romo Paranage-17378.23
52206-Sidfnio Frois-10392.04
466064-Micaela Chavez-15376.05
526647-Lurdes Cotrim-16589.37
272585-Branco Saraba-1532.89
723667-Taercio Mafra-8901.10
769770-Oliveira Carmona-8578.53
419484-Gaudancio Fiees-9255.57
216600-Regina Barcellos-1353.98
411739-Clarindo Areosa-13783.35
837920-Fulvio Villegas-15217.52
570654-Mercia Caeira-11163.20
379239-Cassandra Varejo-19667.86
662456-Emiliana Foquio-6078.29
478717-Honorina Lira-15531.02
744586-Lurdes Cotrim-6103.42
157933-Camila Gabeira-18361.12
836607-Antonio Viegas-10440.48
18605-Heleedsa Marins-3857.80
72185-Artur Grillo-19101.92
535260-Neuza Francia-15455.46
337358-Delfina Perdigon-4626.33
343525-Angelica Aranha-4065.29
471597-Romo Paranage-17201.92
52483-Tibofarcio Camacho-11251.87
922587-Odilia Bello-19889.31
902748-Cleusa Goes-636.05
736167-Lina Andrade-17564.42
642477-Guida Juca-11969.77
946726-Delfina Garcia de Gondim-11585.66
102392-Regina Barcellos-9216.17
526113-Spnia ou Sonia Guerreiro-764.71
270094-Sidfnio Frois-18098.14
800400-Telma Villalobos-12168.02
192734-Melinda Roserio-21038.55
170625-Odilia Camello-3292.94
523150-Mercia Caeira-10781.97
987374-Celeste Duarte-9134.49
499134-Edgar Carvalheiro-7606.08
307734-Delfina Garcia de Gondim-7550.71
308563-Tarrataca Soares-1276.90
888595-Anind Zarco-4002.16
585782-Andreia Moita-5414.86
328419-Zungela Ipiranga-3708.03
262609-Delfina Garcia de Gondim-4959.95
899773-Fulvio Villegas-3226.82
984499-Manuel Capiperibe-4612.06
