749469-Mercia Caeira-13178.33
426826-Moaci Mendoa-226.65
998970-Melinda Roserio-5108.69
4957-Joaquim Rufino-9690.68
893735-Polibe Olivares-19183.49
298512-Adelina Quadros-19890.49
99047-Artur Grillo-8012.77
762274-Tibefarcio Colao-5515.84
418472-Trajano Fagundes-4149.78
666843-Antonio Castelo-1391.47
183935-Gaudancio Fiees-10168.96
997302-Eurico Siqueira-9348.39
633220-Flamednia Leiria-19568.38
799985-Celeste Duarte-14853.59
828489-Leonidas Mafra-18222.53
591865-Neeamia Arruda-12950.68
750017-Ubaldo Mainha-2446.83
989583-Eurico Siqueira-12754.46
434575-Oliveira Senchez-2673.81
653168-Celeste Duarte-11890.47
807979-Emedlio Pimentel-6097.48
311877-Rodolfo Paz-852.61
480469-Fulvio Villegas-4758.95
518412-Neeamia Arruda-4422.11
624034-Delfina Perdigon-13980.39
111444-Jorgina Bogalho-10081.48
647513-Cleusa Goes-2054.14
976860-Nuno Balsemeo-10784.04
890152-Eurico Siqueira-803.54
781528-Andreia Moita-15060.08
819449-Angelica Aranha-11253.32
269738-Lina Andrade-2561.60
559219-Spnia ou Sonia Guerreiro-10686.41
203216-Zungela Ipiranga-19261.59
206686-Adelina Quadros-16503.00
496067-Nuno Balsemeo-119.27
853521-Letedcia Gago-11475.75
894445-Delfim Higuera-15635.52
897467-Polibe Olivares-18114.42
281059-Feledcia Peassego-1587.40
228417-Tarrataca Soares-10395.59
407123-Artur Grillo-11758.29
363535-Anind Zarco-15023.88
214523-Mercia Caeira-18285.91
792774-Antonio Castelo-14923.14
410427-Adelina Quadros-1683.27
175697-Jorgina Bogalho-12991.80
354955-Augusta Paio-8345.91
454134-Rodolfo Paz-500.05
424163-Oliveira Senchez-13602.86
885504-Nuno Balsemeo-16595.14
711546-Joaquim Rufino-15574.38
181460-Andreia Moita-11393.18
808421-Oliveira Carmona-8810.49
110840-Romo Paranage-12248.41
712751-Letedcia Gago-14212.52
758303-Jorgina Bogalho-3309.44
378657-Zulmira Becerra-3068.15
67024-Antonio Castelo-2797.86
197205-Sidfnio Frois-3302.10
583432-Daniel Vieyra-19640.95
528802-Filomena Barrios-20118.07
819406-Taercio Mafra-7295.05
498111-Odilia Camello-13333.13
800838-Oliveira Carmona-14544.24
417920-Jussara Varanda-5956.53
361777-Elisa Themes-9164.11
485930-Camila Gabeira-14167.90
233880-Tarrataca Soares-15128.57
470392-Cleusa Goes-8685.71
992876-Augusta Paio-17901.54
62453-Joaquim Rufino-10221.99
569895-Adelino Barra-18880.19
911441-Cassandra Varejo-15950.33
301614-Domingos Pas-19718.34
49541-Tibefarcio Colao-2157.68
49296-Antonio Viegas-7901.30
509281-Edgar Carvalheiro-6991.32
268099-Dulce Froes-7773.66
328940-Emiliana Foquio-10748.37
599616-Clara Alcantara-8043.46
481983-Melinda Roserio-16254.08
687587-Armanda Amorim-8004.94
397889-Odilia Bello-16164.06
937661-Clara Alcantara-6592.24
901391-Tibefarcio Colao-13012.73
34536-Tibofarcio Camacho-6688.39
579046-Cassandra Varejo-12403.48
429930-Domingos Pas-11751.33
654213-Sara Lameiras-7529.78
449100-Armindo Castalo-3040.94
914374-Guida Juca-17925.76
578838-Quintino Alcantara-7877.80
778250-Almerinda Palmeira-1666.94
527075-Trajano Fagundes-12626.32
626149-Odilia Bello-12350.50
493394-Adelina Quadros-6796.00
490585-Lina Andrade-5126.96
620006-Odilia Bello-36.42
631888-Cleusa Goes-6652.96
