989450-Spnia ou Sonia Guerreiro-5852.55
35458-Letedcia Gago-4107.11
238740-Silvio Mata-5365.19
684654-Augusta Paio-17933.32
675616-Tibefarcio Colao-1479.71
529668-Lurdes Cotrim-9940.62
987705-Emedlia Silvera-16999.60
545794-Antonio Castelo-7936.04
885854-Neeamia Arruda-6656.40
887268-Quintino Alcantara-13895.85
301443-Clara Alcantara-480.91
575530-Ubaldo Mainha-20821.26
16440-Ermelinda Quintela-10588.82
980026-Rebeca Neto-4150.83
820641-Romo Paranage-15747.58
217785-Letedcia Gago-16252.88
745046-Anind Zarco-21242.76
64833-Moaci Mendoa-13053.38
510396-Sara Lameiras-917.40
820566-Odilia Camello-19886.27
44496-Armanda Amorim-814.45
523518-Manuel Capiperibe-14340.21
229965-Honorina Lira-20510.37
938702-Guaraci Damasceno-13645.33
12233-Armanda Amorim-9078.70
540115-Flor Portella-19070.88
646324-Romo Paranage-18253.49
229284-Armindo Castalo-15279.31
416051-Honorina Lira-2039.57
759586-Anfnia Seixas-17827.78
688359-Antonio Viegas-10253.39
708172-Trajano Fagundes-6643.79
370834-Branco Saraba-11106.09
431437-Camila Gabeira-7530.64
58285-Lurdes Cotrim-13850.76
476049-Eurico Siqueira-10071.33
181693-Camila Gabeira-6132.95
195627-Rodolfo Paz-19035.24
30941-Eurico Siqueira-13764.57
122544-Moaci Mendoa-18452.16
357705-Tibofarcio Camacho-4044.21
37867-Emedlia Silvera-13971.29
254912-Ubaldo Mainha-4630.17
508929-Leonidas Mafra-8084.48
812648-Angilica Galante-7010.23
503061-Odete Vasques-17154.99
281601-Antonio Castelo-11821.97
442371-Tabalipa Duarte-12253.92
533852-Neuza Francia-10029.40
582793-Emedlia Silvera-6065.79
926111-Lurdes Cotrim-20249.36
608302-Antonio Castelo-10444.90
185589-Ubaldo Mainha-12467.45
371585-Basilio Pedroso-3877.71
137695-Delfim Higuera-19795.83
979802-Emiliana Foquio-4876.03
470725-Estanislau Beserra-21138.84
256789-Odilia Bello-938.43
567277-Fulvio Villegas-2503.77
367298-Augusta Paio-6399.60
383733-Feledcia Peassego-8978.86
337646-Spnia ou Sonia Guerreiro-20494.94
420857-Trajano Fagundes-4641.96
36904-Regina Barcellos-15475.68
584520-Neuza Francia-17577.05
671047-Neuza Francia-3322.01
772534-Nuno Balsemeo-4256.72
587025-Flor Portella-5039.29
793797-Nuno Balsemeo-3230.13
940143-Tarrataca Soares-12593.80
181310-Odete Vasques-8632.80
875003-Almor Caiado-16866.18
59090-Delfina Perdigon-8315.55
504835-Tabalipa Duarte-9085.92
721168-Ubaldo Mainha-5786.93
37088-Aludsio Sosa-5428.80
955656-Telma Villalobos-3691.69
274827-Artur Grillo-12397.56
436971-Mercia Caeira-850.66
492293-Nuno Balsemeo-555.23
990882-Angelica Aranha-17577.04
891553-Eurico Siqueira-7740.95
802608-Dulce Froes-2966.71
909638-Quintino Alcantara-15721.75
100578-Fulvio Villegas-6934.13
513125-Armanda Amorim-17874.50
127081-Micaela Chavez-10469.22
413172-Urbano Rodrigues-5857.13
628186-Cleusa Goes-4976.67
372105-Guaraci Damasceno-10331.59
495875-Edgar Carvalheiro-6846.66
899581-Cassandra Varejo-3500.74
953573-Honorina Lira-20788.77
46004-Nuno Balsemeo-20403.03
246482-Jonatas Felgueiras-17819.20
139527-Sara Lameiras-9139.49
428892-Camila Gabeira-19160.76
887109-Regina Barcellos-9190.06
101205-Micaela Chavez-5741.50
381329-Ubaldo Mainha-12045.22
