680494-Oliveira Carmona-4370.99
464167-Celeste Duarte-6113.63
360510-Heleedsa Marins-667.07
457872-Anind Zarco-17596.46
437010-Tibefarcio Colao-916.40
406337-Cassandra Varejo-10210.02
237933-Letedcia Gago-10414.91
970868-Odilia Camello-14488.84
194633-Angelica Aranha-16818.77
48098-Leonidas Mafra-15114.92
893068-Cassandra Varejo-5256.89
448342-Tarrataca Soares-4246.70
731515-Tarrataca Soares-12800.30
648664-Delfina Perdigon-16354.88
383873-Silvio Mata-17299.25
553717-Filomena Barrios-6818.48
970290-Camila Gabeira-19480.86
764447-Emedlia Silvera-17145.73
208220-Micaela Chavez-17022.84
725478-Cleusa Goes-4478.49
532388-Quintiliano Sousa de Arronches-7817.42
438109-Henrique Bento-1537.06
223550-Sofras Cuaresma-5144.38
199939-Tibefarcio Colao-13040.87
854520-Antonio Viegas-12119.87
632607-Melinda Roserio-7970.57
929501-Aludsio Sosa-18980.27
717719-Micaela Chavez-15953.08
906207-Liana Cardim-15700.32
488024-Jussara Varanda-6992.74
562349-Neuza Francia-19228.07
842378-Polibe Olivares-13827.61
792280-Zungela Ipiranga-18379.85
772565-Esperada Cardoso-12077.01
273810-Honorina Lira-12515.55
700320-Sofras Cuaresma-20611.88
974784-Anfnia Seixas-3626.34
367841-Regina Barcellos-14923.52
334006-Oliveira Senchez-4567.74
100617-Adelina Quadros-10852.62
715772-Manuel Capiperibe-5943.41
72541-Ermelinda Quintela-16571.83
651969-Manuel Capiperibe-4034.92
152868-Danilo Olaio-2607.81
772958-Marilda Leio-7170.55
379761-Angelica Aranha-13547.55
43346-Honorina Lira-7082.46
250355-Mercia Caeira-7256.14
281587-Telma Villalobos-9739.48
861614-Tarrataca Soares-10080.49
715915-Esperada Cardoso-12757.64
893229-Branco Saraba-4113.53
831667-Polibe Olivares-7160.05
787481-Jorgina Bogalho-5566.74
444260-Eurico Siqueira-12374.47
656523-Zungela Ipiranga-18228.27
89581-Flamednia Leiria-9623.87
156584-Rebeca Neto-5541.54
575251-Nuno Balsemeo-459.52
768141-Delfina Perdigon-10078.13
255983-Anfnia Seixas-19915.29
568421-Romo Paranage-6249.39
580538-Polibe Olivares-4382.87
84614-Esperada Cardoso-11220.74
885920-Liana Cardim-17365.18
741912-Trajano Fagundes-13856.91
352912-Daniel Vieyra-21307.81
726407-Armindo Castalo-394.54
713886-Feledcia Peassego-8990.29
649356-Emedlia Silvera-8713.14
149786-Tibefarcio Colao-10415.70
930947-Romo Paranage-20041.38
65382-Eurico Siqueira-11212.35
205058-Rebeca Neto-9438.36
19197-Domingos Pas-17327.22
797108-Jonatas Felgueiras-20574.64
918553-Marilda Leio-11253.33
426878-Jussara Varanda-17920.59
605144-Zungela Ipiranga-4882.90
218585-Tabalipa Duarte-3354.55
161520-Anind Zarco-1941.21
149864-Adelino Barra-13400.52
593198-Sidfnio Frois-20371.18
806838-Rodolfo Paz-8538.39
610969-Honorina Lira-4943.75
449851-Elisa Themes-486.88
980007-Delfim Higuera-13396.07
323723-Regina Barcellos-10345.50
604878-Carminda Morais-18351.55
431429-Carminda Morais-16398.90
571517-Andreia Moita-14565.68
797477-Estanislau Beserra-11292.34
161378-Angelica Aranha-12828.27
792814-Sidfnio Frois-2081.50
743696-Liana Cardim-11747.61
448999-Taercio Mafra-16242.11
617932-Emiliana Foquio-7947.08
636111-Jorgina Bogalho-8170.31
229943-Mercia Caeira-17306.36
113314-Carminda Morais-1395.84
