728344-Quintiliano Sousa de Arronches-20103.78
881428-Branco Saraba-16196.98
703915-Flamednia Leiria-4728.00
52504-Esperada Cardoso-2867.31
897744-Oliveira Senchez-21004.00
602828-Clarindo Areosa-19307.60
485609-Feledcia Peassego-17363.14
292094-Emiliana Foquio-6924.91
298687-Tibefarcio Colao-19069.96
198866-Nuno Balsemeo-15388.56
859087-Esperada Cardoso-19595.85
572265-Liana Cardim-3849.82
767482-Edgar Carvalheiro-332.03
534477-Sidfnio Frois-10222.55
640368-Sidfnio Frois-20211.53
741143-Clara Alcantara-9072.72
737767-Zulmira Becerra-21237.58
510960-Ermelinda Quintela-11725.66
786594-Heleedsa Marins-3733.81
363886-Neuza Francia-5505.80
753008-Dulce Froes-12694.39
36599-Clarindo Areosa-20690.12
534610-Romo Paranage-15932.95
316742-Ximena Castilho-5663.46
346478-Letedcia Gago-11899.87
293015-Flor Portella-1632.44
515489-Trajano Fagundes-16999.82
568739-Tabalipa Duarte-80.09
113028-Nuno Balsemeo-8817.96
652878-Carminda Morais-3346.76
81798-Anind Zarco-16914.29
95430-Lurdes Cotrim-5199.82
607905-Ximena Castilho-5875.17
323139-Artur Grillo-2193.50
293636-Guaraci Damasceno-18496.96
933493-Oliveira Senchez-11365.05
845538-Clarindo Areosa-105.37
548083-Domingos Pas-2081.06
816871-Edgar Carvalheiro-2742.19
466941-Clarindo Areosa-21158.72
697161-Odete Vasques-8294.70
399321-Clara Alcantara-5220.82
112982-Dulce Froes-15786.90
121979-Emedlia Silvera-18850.13
993493-Neeamia Arruda-3158.23
367892-Camila Gabeira-10397.56
986320-Anind Zarco-6691.18
586543-Esperada Cardoso-13276.66
195873-Heleedsa Marins-20404.83
117257-Ermelinda Quintela-10334.67
714581-Cleusa Goes-10046.80
257204-Trajano Fagundes-10760.79
781727-Carminda Morais-11691.92
822758-Sidfnio Frois-7298.31
729745-Silvio Mata-3243.41
332814-Rodolfo Paz-11427.08
957684-Camila Gabeira-12006.95
119845-Silvio Mata-507.98
388035-Quintiliano Sousa de Arronches-19959.94
875284-Lurdes Cotrim-14756.27
750822-Angilica Galante-9718.58
96446-Daniel Vieyra-286.32
40292-Oliveira Carmona-13134.13
673911-Angilica Galante-11187.52
836796-Elisa Themes-18114.82
338934-Honorina Lira-9463.31
597467-Filomena Barrios-18072.89
974285-Oliveira Senchez-1099.25
533823-Emiliana Foquio-3573.13
576600-Honorina Lira-6761.89
118613-Joaquim Rufino-10349.39
824320-Leonidas Mafra-1155.52
642098-Flamednia Leiria-5875.92
135872-Spnia ou Sonia Guerreiro-18822.66
493031-Delfina Garcia de Gondim-15896.20
674364-Sara Lameiras-254.75
80468-Oliveira Senchez-3770.72
181310-Armanda Amorim-11660.47
79785-Sofras Cuaresma-15725.80
4472-Taercio Mafra-14896.73
556275-Odilia Camello-19507.92
966127-Henrique Bento-18131.33
7586-Odilia Bello-52.91
495081-Jorgina Bogalho-19914.27
218668-Emiliana Foquio-20589.20
457148-Heleedsa Marins-5321.11
510632-Dulce Froes-7011.91
885859-Henrique Bento-16193.72
186324-Tibefarcio Colao-11899.69
800061-Emiliana Foquio-14089.73
602355-Feledcia Peassego-16045.29
860380-Celeste Duarte-6010.12
670582-Zungela Ipiranga-5745.36
73254-Almerinda Palmeira-6910.31
258659-Emedlio Pimentel-20692.50
63593-Emiliana Foquio-782.23
859694-Jorgina Bogalho-21067.34
728077-Delfina Perdigon-13721.36
643027-Ubaldo Mainha-1318.39
654719-Elisa Themes-8906.39
