251215-Honorina Lira-20980.27
900252-Micaela Chavez-14914.73
824641-Liana Cardim-8754.90
470513-Quintiliano Sousa de Arronches-14048.89
459228-Feledcia Peassego-20704.30
589065-Esperada Cardoso-10795.15
295332-Edgar Carvalheiro-10351.60
489793-Clarindo Areosa-3973.97
533273-Heleedsa Marins-19977.86
212053-Edgar Carvalheiro-5969.27
806822-Judite Damasceno-4976.95
113226-Aludsio Sosa-5545.95
302391-Silvio Mata-569.36
600402-Carminda Morais-21334.06
830931-Anind Zarco-73.82
443824-Clarindo Areosa-17229.71
6163-Artur Grillo-15737.83
401595-Flamednia Leiria-6317.89
691671-Zungela Ipiranga-13413.22
641720-Manuel Capiperibe-8930.51
689404-Tibefarcio Colao-10218.58
763658-Danilo Olaio-10799.71
343314-Almerinda Palmeira-19402.73
412653-Flamednia Leiria-4313.90
371472-Armanda Amorim-9872.21
276780-Zungela Ipiranga-13736.65
213756-Carminda Morais-6071.87
310870-Emedlia Silvera-2981.05
321765-Odilia Camello-14187.97
118164-Neuza Francia-7019.55
358078-Elisa Themes-13996.44
292722-Quintiliano Sousa de Arronches-13149.24
822348-Liana Cardim-19392.68
804302-Guida Juca-20006.80
192745-Basilio Pedroso-7565.68
963258-Lina Andrade-2773.61
221257-Neuza Francia-16425.75
778428-Clarindo Areosa-15924.02
124564-Adelino Barra-5242.40
309289-Zungela Ipiranga-4358.75
544657-Jorgina Bogalho-19242.33
637490-Micaela Chavez-11920.42
733719-Flamednia Leiria-9413.81
103031-Oliveira Senchez-12291.85
862179-Dulce Froes-20413.78
842095-Mercia Caeira-12378.57
519307-Armanda Amorim-5415.95
867275-Danilo Olaio-15263.73
836650-Antonio Viegas-5290.14
602751-Letedcia Gago-10383.24
840002-Emedlia Silvera-17998.68
721455-Emiliana Foquio-16880.22
43472-Silvio Mata-17827.56
149368-Tarrataca Soares-18768.59
451795-Tarrataca Soares-2542.37
322226-Zungela Ipiranga-495.96
70145-Moaci Mendoa-4891.15
392957-Artur Grillo-324.99
117884-Danilo Olaio-11253.35
599394-Delfim Higuera-8914.54
472003-Ermelinda Quintela-328.11
577438-Telma Villalobos-20965.32
241125-Manuel Capiperibe-19550.92
285411-Micaela Chavez-15477.58
514600-Guaraci Damasceno-7277.26
154141-Polibe Olivares-2515.65
650940-Armanda Amorim-3966.35
258959-Polibe Olivares-6580.28
240273-Flamednia Leiria-4806.62
235800-Lurdes Cotrim-3887.78
71179-Elisa Themes-8182.50
291069-Armindo Castalo-15458.27
49311-Camila Gabeira-16160.68
563273-Filomena Barrios-19703.54
452338-Manuel Capiperibe-16903.85
95037-Liana Cardim-6700.55
817113-Almerinda Palmeira-1472.22
170577-Jussara Varanda-6634.81
506354-Tibofarcio Camacho-15977.21
693797-Oliveira Carmona-13314.74
852010-Lina Andrade-9030.61
820995-Emedlio Pimentel-21123.52
322209-Esperada Cardoso-2049.18
948179-Honorina Lira-12584.81
331921-Basilio Pedroso-7074.50
441583-Clarindo Areosa-9535.45
632095-Clarindo Areosa-20463.62
457249-Rodolfo Paz-1800.49
310004-Micaela Chavez-18295.55
824596-Adelino Barra-16777.65
633122-Branco Saraba-6161.34
691234-Jorgina Bogalho-8249.55
92722-Adelino Barra-1057.93
562360-Odilia Camello-4137.42
901911-Sidfnio Frois-11490.74
142328-Sara Lameiras-8920.31
954103-Flor Portella-20416.63
471826-Silvio Mata-6996.37
987160-Domingos Pas-18189.47
740377-Oliveira Senchez-15852.88
