189109-Domingos Pas-14309.50
301921-Oliveira Carmona-16898.94
897106-Armanda Amorim-441.81
171922-Angilica Galante-19487.01
994447-Eurico Siqueira-16304.07
383243-Judite Damasceno-20654.48
933194-Quintino Alcantara-1688.42
136663-Delfina Perdigon-1635.41
711778-Domingos Pas-796.97
587883-Polibe Olivares-3361.63
954428-Delfina Garcia de Gondim-2508.69
58259-Elisa Themes-2561.71
541233-Aludsio Sosa-4890.68
561398-Delfim Higuera-15942.40
4757-Aludsio Sosa-3377.51
555497-Zungela Ipiranga-4411.34
911004-Armindo Castalo-9710.67
880134-Guaraci Damasceno-20322.04
766564-Domingos Pas-6444.32
828994-Spnia ou Sonia Guerreiro-11200.20
977271-Andreia Moita-16129.74
591451-Urbano Rodrigues-9205.49
616036-Filomena Barrios-5556.06
821392-Antonio Viegas-6291.68
243971-Delfina Perdigon-6841.73
73076-Estanislau Beserra-1542.44
866275-Flor Portella-15251.55
17340-Melinda Roserio-16520.36
709439-Augusta Paio-1703.18
582270-Ximena Castilho-13071.48
134909-Liana Cardim-9696.41
556467-Rodolfo Paz-5887.49
148863-Tabalipa Duarte-18543.65
809205-Fulvio Villegas-5157.03
225767-Angilica Galante-6689.47
392996-Camila Gabeira-17970.20
694136-Silvio Mata-16704.02
578732-Tabalipa Duarte-4579.36
183449-Judite Damasceno-4706.45
220064-Artur Grillo-17882.28
792813-Henrique Bento-4518.79
339772-Emedlio Pimentel-10074.35
951905-Antonio Castelo-15635.84
170445-Quintino Alcantara-4619.10
556790-Basilio Pedroso-14441.36
115697-Sara Lameiras-5530.45
435368-Polibe Olivares-3772.55
910454-Antonio Viegas-18878.34
453794-Emedlio Pimentel-6745.34
799248-Rebeca Neto-16767.54
808514-Emedlio Pimentel-17195.47
458864-Anind Zarco-2684.03
374453-Urbano Rodrigues-3913.55
654964-Tarrataca Soares-4965.25
154494-Adelino Barra-12130.82
600662-Antonio Viegas-10777.14
66545-Angilica Galante-2446.66
967474-Tarrataca Soares-2390.93
804436-Carminda Morais-5655.47
286872-Moaci Mendoa-13943.46
513404-Daniel Vieyra-18851.54
618940-Letedcia Gago-8601.29
159949-Ubaldo Mainha-10555.04
317997-Quintino Alcantara-306.75
869586-Almor Caiado-4488.30
73187-Danilo Olaio-8314.30
838150-Celeste Duarte-8280.13
342257-Nuno Balsemeo-21089.81
713298-Armindo Castalo-8373.02
618370-Jonatas Felgueiras-17785.88
277536-Manuel Capiperibe-2786.18
516313-Emedlio Pimentel-10842.37
641771-Antonio Castelo-9079.13
638518-Almerinda Palmeira-13132.31
160648-Estanislau Beserra-6146.17
764951-Silvio Mata-2562.07
599830-Dulce Froes-7910.45
100651-Almerinda Palmeira-4489.04
694222-Manuel Capiperibe-11176.17
350687-Taercio Mafra-13242.35
352944-Domingos Pas-5980.29
25858-Angelica Aranha-6585.46
828294-Emedlio Pimentel-17741.87
651057-Antonio Viegas-413.42
149111-Oliveira Senchez-2515.03
476950-Delfim Higuera-14702.68
751588-Delfina Perdigon-4803.84
39572-Eurico Siqueira-18214.85
308374-Almerinda Palmeira-14376.95
911488-Romo Paranage-20420.46
103082-Almerinda Palmeira-7339.15
912912-Sidfnio Frois-15459.41
476271-Tabalipa Duarte-10432.86
953107-Antonio Castelo-2814.53
661417-Rodolfo Paz-14386.02
19844-Jussara Varanda-6685.96
68871-Liana Cardim-9503.47
163000-Mercia Caeira-9643.87
677193-Urbano Rodrigues-6722.11
808395-Micaela Chavez-9111.23
