770726-Adelina Quadros-6143.42
235288-Dulce Froes-20008.21
604946-Silvio Mata-14324.25
988624-Sofras Cuaresma-9564.58
410302-Ximena Castilho-4996.89
397675-Daniel Vieyra-18895.03
248688-Odete Vasques-14512.82
316071-Anind Zarco-21252.58
335859-Jussara Varanda-3961.11
198485-Estanislau Beserra-19198.83
413844-Armanda Amorim-13111.70
984696-Daniel Vieyra-5599.22
102579-Mercia Caeira-10805.27
68966-Basilio Pedroso-3730.32
701551-Jorgina Bogalho-2389.58
479200-Camila Gabeira-9563.56
528377-Filomena Barrios-6331.21
253648-Sofras Cuaresma-11224.37
207956-Marilda Leio-11717.73
682711-Manuel Capiperibe-11394.88
112551-Silvio Mata-10684.18
400915-Almor Caiado-20824.03
509740-Augusta Paio-90.22
559760-Almerinda Palmeira-9100.91
67776-Flor Portella-7403.09
780681-Armindo Castalo-12457.88
512951-Nuno Balsemeo-12683.16
526994-Henrique Bento-18795.70
314979-Ermelinda Quintela-9312.94
730694-Armindo Castalo-3414.93
29456-Emiliana Foquio-21326.06
14695-Almor Caiado-4765.23
921698-Honorina Lira-16690.33
871765-Camila Gabeira-7001.09
337168-Emedlia Silvera-6736.93
277264-Andreia Moita-20894.74
89729-Zungela Ipiranga-3945.03
506899-Taercio Mafra-13350.30
393901-Urbano Rodrigues-5938.61
537538-Antonio Viegas-7145.92
201703-Delfim Higuera-14696.21
283889-Lina Andrade-20226.36
768792-Sofras Cuaresma-7860.74
791696-Nuno Balsemeo-9879.46
905214-Sara Lameiras-8537.99
843601-Delfina Perdigon-6225.93
569706-Delfim Higuera-12506.83
128258-Odete Vasques-12237.06
256552-Taercio Mafra-16641.00
195248-Melinda Roserio-15961.54
627059-Esperada Cardoso-118.72
697238-Liana Cardim-1271.56
773998-Domingos Pas-18769.25
399783-Augusta Paio-9752.33
650705-Odilia Bello-4796.54
78188-Trajano Fagundes-11304.98
11970-Flamednia Leiria-20260.67
448649-Urbano Rodrigues-1397.12
431573-Henrique Bento-16459.69
275719-Taercio Mafra-10336.80
711783-Filomena Barrios-7918.24
285573-Rebeca Neto-9055.21
495432-Anind Zarco-18512.95
812115-Esperada Cardoso-10032.11
558330-Rodolfo Paz-12088.62
620303-Quintino Alcantara-9944.56
791648-Romo Paranage-3019.85
645744-Flamednia Leiria-16734.33
205840-Letedcia Gago-13.81
382191-Clarindo Areosa-1746.57
228685-Guida Juca-7603.69
947027-Marilda Leio-10806.54
821106-Quintiliano Sousa de Arronches-10106.66
136067-Oliveira Senchez-13364.78
199957-Domingos Pas-8985.53
401638-Odilia Camello-5506.89
133769-Estanislau Beserra-9154.81
933351-Angelica Aranha-10961.27
444994-Gaudancio Fiees-1688.49
441603-Andreia Moita-19452.31
118426-Guida Juca-15789.76
135226-Branco Saraba-12294.40
672890-Camila Gabeira-10237.77
21767-Silvio Mata-6914.29
97994-Sidfnio Frois-12076.29
35924-Telma Villalobos-9045.47
430098-Tibefarcio Colao-9126.81
325189-Telma Villalobos-11106.15
653495-Delfina Garcia de Gondim-16380.60
879293-Antonio Viegas-19935.01
245598-Quintiliano Sousa de Arronches-10631.36
496899-Oliveira Senchez-17862.71
918768-Regina Barcellos-7734.60
6638-Jonatas Felgueiras-20234.82
572624-Ermelinda Quintela-970.97
207760-Lurdes Cotrim-4981.32
532350-Adelino Barra-20735.63
854394-Fulvio Villegas-8304.04
303284-Dulce Froes-5895.74
601213-Odilia Bello-13524.53
