607104-Silvio Mata-10509.04
620059-Zulmira Becerra-9683.20
374938-Zungela Ipiranga-12359.84
878009-Celeste Duarte-64.04
465190-Mercia Caeira-10494.64
185331-Tarrataca Soares-18117.92
533228-Ubaldo Mainha-19375.10
722543-Sidfnio Frois-11576.16
815891-Ubaldo Mainha-4140.83
568344-Micaela Chavez-15401.18
192742-Taercio Mafra-8002.41
140780-Flor Portella-9388.61
707630-Andreia Moita-21352.36
16130-Liana Cardim-14956.31
878451-Artur Grillo-3416.12
886270-Elisa Themes-19957.97
939059-Oliveira Senchez-3098.47
210606-Estanislau Beserra-18905.70
856790-Dulce Froes-16339.02
77838-Regina Barcellos-9099.87
425055-Ermelinda Quintela-7426.96
676449-Adelino Barra-333.53
247493-Jonatas Felgueiras-7580.60
318499-Odete Vasques-935.93
793958-Quintiliano Sousa de Arronches-16774.71
249825-Moaci Mendoa-4538.74
497458-Sara Lameiras-203.29
771033-Ubaldo Mainha-1295.40
176624-Honorina Lira-16143.97
664955-Joaquim Rufino-5929.91
787487-Guaraci Damasceno-7164.16
151324-Oliveira Carmona-8880.93
892878-Sidfnio Frois-20763.40
870734-Cleusa Goes-12221.75
995605-Mercia Caeira-4794.85
249034-Rodolfo Paz-8977.35
300000-Angelica Aranha-21412.32
714435-Ermelinda Quintela-18525.20
698531-Antonio Castelo-11892.13
100882-Clarindo Areosa-5653.94
6186-Telma Villalobos-15211.82
90833-Leonidas Mafra-5618.49
44660-Cassandra Varejo-7737.42
575296-Regina Barcellos-21446.13
182521-Honorina Lira-18751.25
777488-Zungela Ipiranga-3068.90
246469-Andreia Moita-15831.90
561227-Urbano Rodrigues-17189.05
899665-Antonio Castelo-4571.20
151276-Emiliana Foquio-15792.21
393900-Urbano Rodrigues-17002.27
568942-Romo Paranage-15628.34
836501-Zungela Ipiranga-12003.95
960421-Heleedsa Marins-13709.70
775553-Letedcia Gago-206.69
75857-Adelina Quadros-9744.46
111156-Ubaldo Mainha-3912.09
895262-Odilia Camello-4387.71
231910-Spnia ou Sonia Guerreiro-12466.70
265022-Dulce Froes-1343.38
208608-Armindo Castalo-19897.32
850156-Rodolfo Paz-10868.17
340990-Anfnia Seixas-4611.70
573989-Silvio Mata-416.47
452591-Sara Lameiras-10504.22
456048-Neeamia Arruda-18194.98
349748-Delfina Perdigon-10991.25
950043-Melinda Roserio-10305.37
971369-Melinda Roserio-13187.69
112256-Flor Portella-10055.50
989939-Odilia Camello-6562.75
610604-Guida Juca-17921.26
65086-Cleusa Goes-6799.83
430747-Odilia Camello-2410.73
766533-Delfim Higuera-4725.26
287669-Estanislau Beserra-11019.82
255290-Angilica Galante-2888.48
432219-Feledcia Peassego-17637.98
379683-Elisa Themes-8032.86
513699-Joaquim Rufino-119.14
985544-Quintino Alcantara-9689.04
705469-Armindo Castalo-10795.15
758769-Esperada Cardoso-19065.80
465593-Aludsio Sosa-3555.27
335418-Manuel Capiperibe-20922.94
627445-Cassandra Varejo-6950.98
933884-Danilo Olaio-14333.53
882243-Delfina Garcia de Gondim-4033.02
367784-Zungela Ipiranga-1911.98
138770-Quintino Alcantara-20437.11
460222-Guida Juca-18002.13
57100-Odete Vasques-14504.35
295913-Dulce Froes-20811.94
34003-Estanislau Beserra-20061.76
845360-Elisa Themes-12670.27
666222-Guaraci Damasceno-9141.71
501694-Adelina Quadros-6196.21
668820-Daniel Vieyra-14825.04
666701-Sofras Cuaresma-2383.88
434000-Urbano Rodrigues-3535.27
