381785-Ubaldo Mainha-20528.81
137961-Angilica Galante-19150.90
962372-Urbano Rodrigues-1319.61
830545-Tabalipa Duarte-13427.68
568044-Neuza Francia-14191.18
307115-Artur Grillo-9746.67
784739-Jussara Varanda-17805.98
409006-Emiliana Foquio-9618.10
61916-Moaci Mendoa-5961.63
234153-Antonio Castelo-18134.06
369746-Adelina Quadros-11973.04
883394-Esperada Cardoso-7289.58
152053-Cassandra Varejo-19109.21
801802-Camila Gabeira-3662.68
401342-Heleedsa Marins-5138.36
30910-Armanda Amorim-3436.59
256476-Jorgina Bogalho-19334.44
912231-Domingos Pas-8813.69
873266-Polibe Olivares-12114.31
751184-Delfina Garcia de Gondim-11931.82
233995-Neuza Francia-5670.68
630147-Nuno Balsemeo-8239.51
632537-Urbano Rodrigues-10211.03
595509-Neuza Francia-11489.05
326527-Emedlio Pimentel-11573.06
692276-Carminda Morais-18893.37
241840-Trajano Fagundes-19815.94
389294-Odilia Camello-3700.22
862776-Celeste Duarte-19458.96
499652-Clarindo Areosa-421.63
58832-Clarindo Areosa-209.14
922101-Neeamia Arruda-17875.44
260123-Basilio Pedroso-8146.93
35272-Camila Gabeira-15292.88
78092-Anfnia Seixas-9791.31
956628-Marilda Leio-5833.40
494347-Trajano Fagundes-13165.81
992340-Judite Damasceno-6644.87
375965-Emiliana Foquio-17363.50
190786-Ximena Castilho-8333.66
703661-Anind Zarco-19164.25
284336-Branco Saraba-18878.63
816205-Basilio Pedroso-14766.40
967674-Odete Vasques-4461.91
24192-Leonidas Mafra-13102.69
903453-Cassandra Varejo-2877.42
636368-Oliveira Senchez-20172.37
479413-Cleusa Goes-19897.45
344820-Adelino Barra-10866.38
622206-Dulce Froes-5193.45
546403-Fulvio Villegas-14810.48
900463-Armanda Amorim-2438.49
314533-Judite Damasceno-19266.65
421149-Neeamia Arruda-11081.49
332172-Oliveira Senchez-10846.90
374130-Artur Grillo-8661.10
755651-Guaraci Damasceno-1942.62
234926-Daniel Vieyra-10507.42
717603-Carminda Morais-16580.87
550104-Adelina Quadros-18147.09
264787-Ubaldo Mainha-15627.72
404132-Danilo Olaio-9231.88
922944-Artur Grillo-16835.03
597699-Quintiliano Sousa de Arronches-3634.40
980020-Emedlia Silvera-6397.73
631647-Guaraci Damasceno-13441.47
25561-Regina Barcellos-9124.19
172461-Quintino Alcantara-6611.70
64686-Urbano Rodrigues-12548.88
627257-Neuza Francia-1349.54
18258-Guaraci Damasceno-2822.19
490405-Filomena Barrios-14656.23
295331-Camila Gabeira-12780.62
281945-Guaraci Damasceno-11961.76
934274-Ximena Castilho-16661.56
792862-Quintiliano Sousa de Arronches-18507.88
244809-Armanda Amorim-20378.14
475541-Odilia Camello-20969.86
448119-Telma Villalobos-18705.67
540067-Antonio Castelo-2977.11
340887-Carminda Morais-452.45
913335-Armanda Amorim-4467.36
190577-Henrique Bento-17460.31
487148-Telma Villalobos-15748.29
224195-Honorina Lira-10412.80
250244-Angilica Galante-12300.73
423073-Polibe Olivares-8598.34
14685-Angilica Galante-1248.26
292711-Oliveira Senchez-757.90
458401-Adelino Barra-2233.30
578212-Ermelinda Quintela-2346.71
433283-Domingos Pas-16725.85
911396-Almerinda Palmeira-11652.92
968198-Cleusa Goes-3962.95
201388-Odilia Bello-18765.19
107339-Domingos Pas-19507.70
317698-Adelino Barra-19631.93
858027-Artur Grillo-6787.24
900786-Zungela Ipiranga-9060.16
27013-Honorina Lira-17524.75
