343406-Emedlia Silvera-4633.05
551714-Artur Grillo-10666.40
123886-Emedlio Pimentel-8545.91
985097-Carminda Morais-16627.88
451866-Lurdes Cotrim-14929.67
658107-Trajano Fagundes-8059.68
712528-Letedcia Gago-7627.59
154691-Adelino Barra-2621.49
381234-Odete Vasques-2694.85
995133-Edgar Carvalheiro-6096.02
603878-Ubaldo Mainha-12589.45
978313-Jonatas Felgueiras-11720.13
272079-Lurdes Cotrim-18461.37
679116-Lina Andrade-16956.38
735687-Flor Portella-17790.90
470400-Antonio Castelo-8292.65
92545-Silvio Mata-14569.77
381003-Angilica Galante-1006.48
833856-Moaci Mendoa-4290.30
174327-Antonio Castelo-20910.25
742459-Antonio Viegas-9221.45
131906-Delfina Garcia de Gondim-5256.40
161563-Edgar Carvalheiro-16459.12
781924-Elisa Themes-12781.07
223036-Jorgina Bogalho-3563.59
631133-Dulce Froes-14668.30
7344-Silvio Mata-16899.22
142430-Sara Lameiras-2118.19
942489-Mercia Caeira-3606.53
227107-Sofras Cuaresma-16838.28
113318-Regina Barcellos-15560.86
460880-Feledcia Peassego-4407.35
821508-Elisa Themes-15518.96
835440-Trajano Fagundes-14491.95
4126-Eurico Siqueira-17954.18
779431-Spnia ou Sonia Guerreiro-19360.49
819462-Dulce Froes-5295.72
353100-Rebeca Neto-4862.31
535036-Romo Paranage-20681.74
746503-Micaela Chavez-12499.17
498988-Lina Andrade-7885.47
912721-Lurdes Cotrim-19430.08
449662-Quintiliano Sousa de Arronches-15903.46
930947-Neeamia Arruda-15766.97
519340-Gaudancio Fiees-14502.18
466880-Anind Zarco-8425.14
760319-Moaci Mendoa-5828.49
492202-Judite Damasceno-21282.03
43533-Sara Lameiras-12842.54
248168-Carminda Morais-6275.17
796785-Quintiliano Sousa de Arronches-1015.32
431845-Basilio Pedroso-6284.45
317958-Marilda Leio-5864.11
100335-Judite Damasceno-16213.42
593605-Cleusa Goes-7163.77
20803-Cleusa Goes-3753.61
13064-Estanislau Beserra-20651.21
577730-Angilica Galante-10331.30
889937-Manuel Capiperibe-17861.73
375820-Celeste Duarte-3899.38
295192-Celeste Duarte-6757.34
761369-Trajano Fagundes-20521.66
751585-Delfina Garcia de Gondim-6650.01
603700-Lurdes Cotrim-2136.17
669507-Emedlia Silvera-21472.11
953131-Eurico Siqueira-18187.48
266707-Branco Saraba-11642.77
429699-Guida Juca-7133.72
795206-Lina Andrade-9522.61
447320-Fulvio Villegas-18016.37
616194-Marilda Leio-2164.49
317167-Quintino Alcantara-12802.10
462960-Joaquim Rufino-4934.78
19588-Artur Grillo-15940.82
950702-Edgar Carvalheiro-18637.51
742937-Angelica Aranha-6052.21
412229-Urbano Rodrigues-8084.88
202546-Branco Saraba-9089.17
155146-Danilo Olaio-8872.29
280859-Aludsio Sosa-20276.76
344204-Danilo Olaio-6628.09
141967-Nuno Balsemeo-11891.26
138697-Zungela Ipiranga-20875.89
619650-Regina Barcellos-17971.25
234216-Neeamia Arruda-19390.75
576000-Tabalipa Duarte-10823.35
182159-Mercia Caeira-17497.47
65755-Trajano Fagundes-17114.66
837224-Quintiliano Sousa de Arronches-20006.21
870151-Emiliana Foquio-1084.18
540355-Emedlio Pimentel-7197.62
175734-Judite Damasceno-2154.21
537656-Sidfnio Frois-6475.59
377707-Judite Damasceno-5336.95
299587-Delfim Higuera-874.46
5508-Emedlio Pimentel-14560.22
415897-Delfim Higuera-157.20
830164-Branco Saraba-12257.86
678010-Jorgina Bogalho-15046.24
754639-Guida Juca-18044.94
