207359-Micaela Chavez-11147.64
920075-Elisa Themes-2070.44
262741-Eurico Siqueira-12625.18
684741-Zungela Ipiranga-15927.87
185362-Ermelinda Quintela-4401.34
788961-Odilia Bello-16205.60
747239-Fulvio Villegas-19779.27
8276-Urbano Rodrigues-20502.36
930812-Oliveira Carmona-2988.90
177806-Regina Barcellos-2585.32
139179-Liana Cardim-2302.56
508596-Quintiliano Sousa de Arronches-18241.76
113429-Adelino Barra-18414.39
290521-Guida Juca-8776.40
101372-Emedlia Silvera-9168.25
961062-Trajano Fagundes-2311.31
174634-Mercia Caeira-9708.78
694031-Daniel Vieyra-2664.03
122828-Rodolfo Paz-4843.33
890654-Clara Alcantara-1730.28
878734-Oliveira Senchez-19651.67
147346-Jonatas Felgueiras-7721.92
459975-Quintiliano Sousa de Arronches-5818.21
290676-Eurico Siqueira-1956.28
424424-Micaela Chavez-11807.30
208611-Almor Caiado-12806.91
552604-Edgar Carvalheiro-19568.65
340172-Ermelinda Quintela-470.76
880249-Jussara Varanda-19291.99
309930-Domingos Pas-12276.06
272053-Ermelinda Quintela-9360.01
6680-Trajano Fagundes-216.64
917536-Quintino Alcantara-8391.24
783714-Emedlio Pimentel-3559.31
289954-Carminda Morais-1648.72
137972-Armanda Amorim-7060.81
116727-Tibefarcio Colao-14526.33
489812-Almor Caiado-874.90
749149-Taercio Mafra-8083.70
858256-Tibofarcio Camacho-17666.80
994939-Clarindo Areosa-10734.69
814728-Jorgina Bogalho-11064.75
826221-Leonidas Mafra-15423.93
659199-Flamednia Leiria-20751.76
636888-Jorgina Bogalho-14349.83
344307-Oliveira Carmona-5386.37
742520-Honorina Lira-17647.54
38864-Adelino Barra-17892.44
894667-Adelina Quadros-8785.09
981813-Rodolfo Paz-16643.67
674604-Basilio Pedroso-248.79
368128-Sara Lameiras-726.93
242433-Silvio Mata-4325.20
241144-Aludsio Sosa-16861.79
171287-Polibe Olivares-18818.16
973640-Odilia Bello-526.76
373166-Guaraci Damasceno-17744.19
406118-Emedlia Silvera-4139.74
929019-Cleusa Goes-3133.85
822119-Branco Saraba-12543.67
428052-Almerinda Palmeira-1695.58
502520-Augusta Paio-1424.42
52203-Adelino Barra-11946.85
510990-Emedlia Silvera-20179.26
662594-Anfnia Seixas-8206.14
313322-Tibofarcio Camacho-20625.87
601146-Flor Portella-74.77
159145-Manuel Capiperibe-4028.83
477132-Zulmira Becerra-11888.12
304256-Adelina Quadros-10261.50
498774-Angelica Aranha-16815.78
88328-Tibefarcio Colao-20810.81
371295-Marilda Leio-11836.50
173896-Rebeca Neto-5316.77
671684-Romo Paranage-528.56
501545-Quintiliano Sousa de Arronches-11821.69
7788-Estanislau Beserra-1632.87
932933-Carminda Morais-9084.46
348547-Nuno Balsemeo-9119.23
149297-Eurico Siqueira-10522.27
316997-Augusta Paio-8462.42
558955-Antonio Viegas-3188.47
243299-Lina Andrade-16902.18
612463-Adelino Barra-10979.08
423942-Spnia ou Sonia Guerreiro-2280.97
365376-Urbano Rodrigues-9625.98
894053-Almerinda Palmeira-12066.06
415845-Angelica Aranha-5870.55
304164-Tibofarcio Camacho-16654.04
37087-Sidfnio Frois-4600.69
404027-Honorina Lira-3729.03
382094-Zulmira Becerra-15734.62
441104-Tibefarcio Colao-20567.05
665965-Emiliana Foquio-8698.34
84018-Lurdes Cotrim-307.74
841505-Elisa Themes-3601.39
284453-Fulvio Villegas-17730.33
14008-Tibofarcio Camacho-21294.49
189314-Emedlia Silvera-18322.70
803857-Quintiliano Sousa de Arronches-20703.07
