242582-Sidfnio Frois-1697.87
232468-Ubaldo Mainha-12067.02
395329-Ximena Castilho-10980.87
883068-Augusta Paio-13465.82
588745-Rebeca Neto-3953.42
871790-Gaudancio Fiees-15433.04
47008-Urbano Rodrigues-14802.78
274738-Spnia ou Sonia Guerreiro-4643.95
276853-Ximena Castilho-6152.29
346102-Liana Cardim-16533.98
674067-Celeste Duarte-7641.57
89904-Romo Paranage-6659.06
526999-Marilda Leio-16273.01
340396-Eurico Siqueira-9607.00
234164-Flor Portella-12672.89
228843-Leonidas Mafra-2246.77
359241-Oliveira Carmona-20867.24
151289-Emedlia Silvera-10725.15
509976-Armanda Amorim-21247.92
112026-Branco Saraba-16006.55
632285-Anind Zarco-3108.45
939606-Neuza Francia-6769.35
465241-Anind Zarco-15494.62
78304-Branco Saraba-10503.19
789697-Clarindo Areosa-14135.53
843041-Carminda Morais-8842.98
717051-Polibe Olivares-1491.74
385278-Odete Vasques-3333.25
932413-Odete Vasques-19418.35
224525-Daniel Vieyra-7264.63
430894-Gaudancio Fiees-19580.96
794102-Cleusa Goes-15115.52
579322-Guida Juca-5935.33
665531-Odilia Camello-3021.28
968500-Antonio Viegas-19839.18
560624-Taercio Mafra-17392.77
830043-Carminda Morais-11115.10
856471-Emiliana Foquio-15808.96
881942-Quintiliano Sousa de Arronches-14643.44
732365-Gaudancio Fiees-13770.85
753842-Joaquim Rufino-8250.33
104089-Branco Saraba-5723.43
422065-Clarindo Areosa-12849.22
685713-Silvio Mata-2951.04
784487-Ximena Castilho-7110.73
952549-Almerinda Palmeira-16526.33
935096-Antonio Castelo-11969.80
575015-Fulvio Villegas-14308.36
56301-Ximena Castilho-12792.34
372578-Daniel Vieyra-7194.83
668576-Guida Juca-13522.37
60229-Daniel Vieyra-13408.58
36198-Polibe Olivares-13622.80
29022-Liana Cardim-8184.82
666060-Filomena Barrios-7597.82
737009-Adelino Barra-4522.51
84912-Jussara Varanda-7801.86
975875-Delfina Perdigon-18927.62
246120-Henrique Bento-19758.18
893469-Emedlio Pimentel-8237.07
626095-Basilio Pedroso-13103.75
391243-Esperada Cardoso-10989.52
15720-Odilia Bello-17009.88
562496-Cleusa Goes-15625.33
729807-Marilda Leio-9857.16
969801-Aludsio Sosa-19544.53
843102-Eurico Siqueira-19130.54
728810-Flor Portella-19730.30
934339-Henrique Bento-15677.92
407041-Silvio Mata-142.02
362929-Gaudancio Fiees-8368.28
555846-Eurico Siqueira-5657.36
122584-Edgar Carvalheiro-19207.52
485208-Gaudancio Fiees-18918.30
329433-Cleusa Goes-7740.77
956096-Antonio Castelo-14260.46
350452-Marilda Leio-12054.06
414893-Ermelinda Quintela-13091.35
273489-Emedlio Pimentel-10205.85
466191-Andreia Moita-16189.92
365577-Cassandra Varejo-16763.55
156576-Rebeca Neto-3974.28
899416-Anfnia Seixas-12705.50
146648-Tabalipa Duarte-13630.35
443646-Oliveira Senchez-14933.65
456470-Augusta Paio-2738.37
438481-Letedcia Gago-3041.88
990944-Manuel Capiperibe-2171.19
89734-Angelica Aranha-19053.93
497322-Flamednia Leiria-9023.75
107179-Antonio Viegas-1792.57
545400-Clarindo Areosa-10464.13
719579-Odilia Bello-3078.29
161788-Quintino Alcantara-18119.76
950877-Neuza Francia-6789.36
333004-Jussara Varanda-419.09
761619-Ubaldo Mainha-18553.47
112528-Rebeca Neto-15898.55
598190-Andreia Moita-12184.61
185648-Oliveira Senchez-1614.74
