588345-Basilio Pedroso-19829.28
511998-Manuel Capiperibe-19197.48
316278-Emedlia Silvera-18074.31
276621-Manuel Capiperibe-4740.92
149949-Adelino Barra-6649.73
162851-Armindo Castalo-15622.14
495490-Heleedsa Marins-9372.10
927785-Flamednia Leiria-15424.65
653824-Odilia Bello-12815.92
561027-Odete Vasques-11820.68
240289-Armanda Amorim-6331.73
373305-Quintiliano Sousa de Arronches-8096.85
466820-Leonidas Mafra-6185.18
776055-Micaela Chavez-11777.94
461069-Delfim Higuera-20809.44
511922-Anind Zarco-10046.24
768136-Zungela Ipiranga-17691.19
874237-Lurdes Cotrim-135.63
993733-Quintiliano Sousa de Arronches-15782.17
359605-Adelino Barra-11272.94
738076-Nuno Balsemeo-16135.35
560389-Telma Villalobos-13894.24
647366-Spnia ou Sonia Guerreiro-17448.91
681776-Angelica Aranha-12411.83
807841-Delfim Higuera-2831.61
423321-Henrique Bento-6516.73
252429-Melinda Roserio-20514.41
291828-Marilda Leio-2098.32
828841-Silvio Mata-4958.25
958171-Eurico Siqueira-17281.85
155872-Sidfnio Frois-12584.39
42995-Elisa Themes-10695.16
615185-Judite Damasceno-9336.80
705072-Romo Paranage-5108.78
105631-Rebeca Neto-2752.02
966810-Zungela Ipiranga-8916.25
451460-Angilica Galante-17748.78
87776-Jorgina Bogalho-17146.86
770839-Dulce Froes-1060.31
187177-Mercia Caeira-3779.89
897818-Edgar Carvalheiro-15651.45
659402-Sofras Cuaresma-57.05
361587-Anfnia Seixas-8043.20
471193-Anfnia Seixas-2845.41
764275-Almerinda Palmeira-17716.47
734606-Neeamia Arruda-9041.30
861406-Armanda Amorim-8340.98
461865-Tabalipa Duarte-11831.86
893870-Angelica Aranha-19649.56
151154-Taercio Mafra-4626.60
593321-Angilica Galante-20985.58
507505-Augusta Paio-20437.34
937743-Lina Andrade-16876.12
47752-Quintino Alcantara-6275.99
35661-Danilo Olaio-1048.80
742015-Tarrataca Soares-4026.14
73784-Armanda Amorim-249.92
799749-Marilda Leio-10234.54
728089-Judite Damasceno-14603.48
687647-Clarindo Areosa-18314.99
120242-Lurdes Cotrim-17176.09
730801-Judite Damasceno-2296.32
45969-Sofras Cuaresma-5845.70
680929-Antonio Viegas-15686.18
857107-Lurdes Cotrim-15451.70
196486-Carminda Morais-7894.28
665875-Emedlia Silvera-1930.18
749439-Neeamia Arruda-15308.18
534954-Celeste Duarte-750.63
276909-Rebeca Neto-2267.50
678832-Antonio Viegas-2163.87
671245-Guaraci Damasceno-16091.18
397199-Delfim Higuera-1156.80
250985-Antonio Castelo-8353.61
220147-Anind Zarco-19052.18
552608-Celeste Duarte-8019.31
15680-Nuno Balsemeo-5771.13
470767-Cassandra Varejo-20648.62
379736-Liana Cardim-59.14
152809-Gaudancio Fiees-6601.91
941140-Delfim Higuera-1953.86
338051-Manuel Capiperibe-7100.57
883750-Micaela Chavez-21004.54
999630-Zulmira Becerra-17592.22
733441-Tibofarcio Camacho-3139.58
669902-Celeste Duarte-170.27
34675-Delfim Higuera-12710.43
901545-Clarindo Areosa-19535.14
619317-Oliveira Carmona-9404.10
883376-Emiliana Foquio-18395.62
414075-Quintino Alcantara-400.20
331654-Cassandra Varejo-15543.58
366916-Lurdes Cotrim-1697.58
598534-Spnia ou Sonia Guerreiro-7657.58
191084-Melinda Roserio-6160.08
518027-Heleedsa Marins-12656.77
775849-Augusta Paio-13567.12
663128-Adelina Quadros-10821.30
412951-Odilia Camello-19727.49
592978-Aludsio Sosa-19561.49
