453817-Camila Gabeira-9470.64
476731-Lurdes Cotrim-20860.75
110560-Delfim Higuera-12142.28
233513-Angelica Aranha-17205.27
681841-Delfina Perdigon-7178.85
261520-Armanda Amorim-1389.30
572638-Spnia ou Sonia Guerreiro-8003.80
357315-Neeamia Arruda-6559.81
289459-Neuza Francia-10199.28
903877-Emedlia Silvera-17351.72
80296-Ermelinda Quintela-15051.42
327414-Odilia Bello-17746.19
511327-Rodolfo Paz-5022.46
127307-Sara Lameiras-15674.79
955065-Emedlio Pimentel-6056.77
158494-Heleedsa Marins-11729.39
712959-Zulmira Becerra-380.28
399546-Sofras Cuaresma-18433.85
542267-Antonio Castelo-17151.91
30835-Edgar Carvalheiro-20080.95
829323-Clarindo Areosa-20671.75
175160-Tibefarcio Colao-20580.19
628484-Danilo Olaio-4230.47
309465-Celeste Duarte-9251.74
34000-Lurdes Cotrim-12911.29
643536-Nuno Balsemeo-4878.04
699637-Neuza Francia-12205.17
619836-Emiliana Foquio-11714.33
37421-Antonio Castelo-18659.75
899185-Micaela Chavez-18525.22
932717-Augusta Paio-848.68
624540-Dulce Froes-18050.43
451385-Oliveira Senchez-5091.88
523811-Daniel Vieyra-17064.97
591684-Trajano Fagundes-6750.48
336845-Jonatas Felgueiras-2802.07
537167-Delfina Perdigon-6609.07
248936-Heleedsa Marins-4700.43
378522-Tabalipa Duarte-3635.97
699034-Artur Grillo-13614.96
147051-Melinda Roserio-9039.45
770167-Daniel Vieyra-4960.86
928498-Odete Vasques-19125.38
133373-Emiliana Foquio-13605.78
28451-Ximena Castilho-4076.86
52444-Heleedsa Marins-18070.23
396552-Tibofarcio Camacho-2890.76
257382-Neuza Francia-1868.41
67183-Carminda Morais-11962.20
368223-Angilica Galante-7374.35
191337-Armindo Castalo-8185.82
398553-Antonio Castelo-13593.53
648679-Gaudancio Fiees-1227.97
602902-Flor Portella-18269.31
54336-Danilo Olaio-9544.76
69685-Andreia Moita-9440.44
292487-Joaquim Rufino-1359.57
422378-Spnia ou Sonia Guerreiro-18982.15
595546-Ximena Castilho-9597.98
882118-Eurico Siqueira-13341.66
664925-Emedlia Silvera-5788.74
393038-Heleedsa Marins-9262.73
723701-Manuel Capiperibe-20339.21
108299-Adelina Quadros-1160.41
70643-Tarrataca Soares-11740.95
235121-Danilo Olaio-15881.65
422227-Basilio Pedroso-16384.57
201831-Eurico Siqueira-19858.79
306519-Guaraci Damasceno-9529.91
147516-Delfina Perdigon-10508.74
940208-Heleedsa Marins-14935.38
315296-Oliveira Carmona-10374.48
42945-Danilo Olaio-1786.88
84359-Sidfnio Frois-8297.96
56559-Danilo Olaio-563.83
20700-Andreia Moita-4136.18
29227-Odilia Bello-15610.41
511395-Melinda Roserio-16402.42
208236-Angilica Galante-8380.65
219635-Basilio Pedroso-3507.29
397465-Almor Caiado-9156.69
449414-Regina Barcellos-12039.85
290388-Leonidas Mafra-4275.44
569066-Emedlio Pimentel-8566.28
888350-Antonio Viegas-232.01
818928-Andreia Moita-10292.22
914133-Rebeca Neto-5237.67
982805-Sidfnio Frois-7902.79
447322-Anfnia Seixas-15794.87
419581-Adelino Barra-17037.07
265350-Judite Damasceno-3496.21
649553-Honorina Lira-2435.86
997933-Zulmira Becerra-1643.93
550543-Joaquim Rufino-21459.62
382980-Branco Saraba-20093.67
114942-Sara Lameiras-9287.02
465199-Regina Barcellos-4921.33
855978-Celeste Duarte-1906.32
5462-Heleedsa Marins-20100.79
736523-Armindo Castalo-4610.15
