905739-Rodolfo Paz-11220.51
675900-Filomena Barrios-1366.93
874728-Zungela Ipiranga-1845.38
687645-Zulmira Becerra-982.40
964916-Armindo Castalo-18387.77
256777-Odilia Camello-4601.11
920530-Cleusa Goes-16615.38
986140-Odete Vasques-18621.88
924088-Camila Gabeira-5454.89
77042-Sara Lameiras-7572.43
666893-Delfina Garcia de Gondim-5096.65
294327-Carminda Morais-13263.41
643821-Jonatas Felgueiras-2067.32
619220-Joaquim Rufino-14094.20
784971-Zulmira Becerra-7589.01
345736-Romo Paranage-8561.58
208209-Regina Barcellos-16230.78
736085-Neuza Francia-20920.64
271556-Flamednia Leiria-845.05
688626-Almor Caiado-15605.82
596762-Angelica Aranha-8647.65
555690-Letedcia Gago-20920.59
724061-Tarrataca Soares-22.20
914217-Camila Gabeira-20798.39
861022-Marilda Leio-13291.40
584520-Esperada Cardoso-15384.86
935054-Telma Villalobos-9252.10
823434-Emedlia Silvera-13679.46
932154-Cassandra Varejo-11417.34
13397-Ubaldo Mainha-5419.39
853952-Neuza Francia-17575.36
359558-Neuza Francia-16156.08
722468-Tarrataca Soares-2528.49
817409-Sara Lameiras-12.79
332028-Guaraci Damasceno-9591.40
263943-Adelina Quadros-6702.41
353581-Lurdes Cotrim-17421.76
37824-Lina Andrade-15415.16
302811-Neuza Francia-19304.48
72631-Almerinda Palmeira-13069.78
940678-Henrique Bento-4283.48
573847-Tabalipa Duarte-19517.08
782815-Estanislau Beserra-7609.47
211405-Liana Cardim-13577.64
511540-Judite Damasceno-8566.12
435487-Neuza Francia-163.93
878039-Tarrataca Soares-18407.46
14701-Urbano Rodrigues-15103.00
130613-Letedcia Gago-11171.20
980981-Basilio Pedroso-7457.09
770783-Regina Barcellos-19566.49
613133-Judite Damasceno-13197.39
580073-Guida Juca-9270.39
395664-Zungela Ipiranga-7807.66
490476-Sara Lameiras-8132.78
241882-Antonio Viegas-2062.30
718050-Nuno Balsemeo-4981.08
403091-Jussara Varanda-4666.39
604087-Judite Damasceno-14797.69
769545-Sofras Cuaresma-3842.67
429213-Gaudancio Fiees-20170.38
437045-Angelica Aranha-16931.67
668951-Rodolfo Paz-10282.63
847399-Moaci Mendoa-2751.75
306151-Esperada Cardoso-15826.66
377234-Henrique Bento-16149.08
840944-Almerinda Palmeira-10421.42
567214-Angelica Aranha-16065.45
110221-Polibe Olivares-5546.66
289128-Delfina Garcia de Gondim-19644.35
660213-Augusta Paio-7003.81
713211-Spnia ou Sonia Guerreiro-14858.18
505617-Sofras Cuaresma-19774.87
852950-Guida Juca-7888.51
966616-Silvio Mata-14251.57
358155-Liana Cardim-4480.50
495757-Emiliana Foquio-214.08
224759-Guida Juca-19859.75
108918-Judite Damasceno-14096.01
278846-Andreia Moita-15568.91
715526-Nuno Balsemeo-10260.67
189741-Edgar Carvalheiro-17737.80
863681-Trajano Fagundes-8248.02
801066-Leonidas Mafra-12536.55
913914-Clara Alcantara-16936.22
209053-Cleusa Goes-8104.96
928364-Nuno Balsemeo-9579.92
789898-Sara Lameiras-4867.33
196746-Branco Saraba-20108.42
302053-Dulce Froes-5676.37
842658-Leonidas Mafra-8363.53
764128-Guida Juca-5390.59
19860-Angilica Galante-13689.23
278806-Melinda Roserio-592.40
388364-Telma Villalobos-11801.54
171039-Odete Vasques-20193.63
520415-Manuel Capiperibe-20442.91
761086-Armanda Amorim-1495.98
492969-Edgar Carvalheiro-893.11
342638-Zulmira Becerra-2706.13
