690901-Tabalipa Duarte-423.09
382573-Joaquim Rufino-1131.49
769658-Delfim Higuera-5897.62
780006-Basilio Pedroso-20830.18
644437-Quintiliano Sousa de Arronches-7928.59
302460-Ximena Castilho-7284.44
303741-Adelina Quadros-15671.63
885985-Armanda Amorim-4044.18
428842-Armindo Castalo-3108.20
904756-Emiliana Foquio-14762.66
634855-Odilia Camello-10774.73
589295-Adelino Barra-6433.72
508300-Almor Caiado-16071.42
827827-Leonidas Mafra-14004.38
256695-Estanislau Beserra-19640.83
297673-Honorina Lira-16479.02
841722-Jorgina Bogalho-3427.22
527622-Tibefarcio Colao-12466.08
910834-Nuno Balsemeo-3475.53
589099-Taercio Mafra-1149.74
203033-Odilia Bello-8666.09
642259-Clara Alcantara-9751.98
230512-Sara Lameiras-10107.06
580715-Heleedsa Marins-2300.51
465474-Andreia Moita-14123.07
725165-Odilia Bello-6111.21
912616-Rodolfo Paz-6509.63
295421-Delfim Higuera-9364.91
579613-Augusta Paio-2359.18
199936-Armanda Amorim-5695.07
602682-Micaela Chavez-3392.26
478754-Micaela Chavez-17348.69
727077-Armindo Castalo-5746.15
633660-Eurico Siqueira-17431.96
494861-Artur Grillo-8811.78
955118-Manuel Capiperibe-9289.03
316891-Sara Lameiras-4673.32
400272-Oliveira Senchez-10636.27
123951-Judite Damasceno-9747.23
884066-Edgar Carvalheiro-5114.40
618079-Guaraci Damasceno-11500.42
477196-Nuno Balsemeo-18205.21
534361-Anfnia Seixas-10187.65
814226-Antonio Castelo-3519.15
144618-Tibefarcio Colao-12204.09
782232-Sofras Cuaresma-12933.65
57446-Guaraci Damasceno-711.98
295630-Rodolfo Paz-441.14
24405-Delfina Perdigon-3112.38
187311-Branco Saraba-12201.22
857095-Emedlio Pimentel-7382.57
753143-Lurdes Cotrim-18797.34
34065-Marilda Leio-13247.85
930374-Delfina Perdigon-841.15
539137-Aludsio Sosa-5352.60
325829-Henrique Bento-19430.42
531967-Spnia ou Sonia Guerreiro-6236.16
70166-Guida Juca-15229.12
235847-Lina Andrade-12824.52
641329-Tibofarcio Camacho-1381.56
486546-Adelina Quadros-8070.13
890534-Leonidas Mafra-14807.66
815695-Polibe Olivares-17468.00
21810-Odilia Camello-322.47
142539-Estanislau Beserra-2277.86
189096-Esperada Cardoso-10671.12
600246-Sidfnio Frois-13316.44
725586-Antonio Castelo-14887.14
449034-Flor Portella-4544.66
927247-Feledcia Peassego-13511.08
527938-Sofras Cuaresma-3951.11
385538-Cassandra Varejo-8840.01
9948-Odilia Bello-3433.33
419177-Zulmira Becerra-19393.55
427450-Lurdes Cotrim-17290.14
728441-Angelica Aranha-9327.19
71680-Moaci Mendoa-8438.36
30964-Flor Portella-15335.62
418275-Nuno Balsemeo-8985.27
774372-Polibe Olivares-13974.54
286565-Delfina Perdigon-21029.82
811950-Neeamia Arruda-16058.84
620022-Aludsio Sosa-17858.94
744846-Adelino Barra-18203.13
600444-Esperada Cardoso-17932.57
758657-Oliveira Senchez-925.02
28964-Liana Cardim-8085.73
459682-Regina Barcellos-2701.21
120979-Emedlio Pimentel-0.55
248701-Tibofarcio Camacho-12808.30
484177-Sidfnio Frois-21031.16
346659-Neuza Francia-11264.45
210328-Adelina Quadros-19790.65
407232-Letedcia Gago-21128.09
475533-Neuza Francia-15599.26
74124-Cassandra Varejo-5482.01
392099-Andreia Moita-1447.47
62410-Jorgina Bogalho-16812.06
294291-Delfina Perdigon-2038.44
569479-Quintiliano Sousa de Arronches-4620.92
