688364-Spnia ou Sonia Guerreiro-13201.42
577933-Rodolfo Paz-17440.37
803032-Angilica Galante-9616.48
379153-Quintiliano Sousa de Arronches-1250.42
998750-Daniel Vieyra-17846.64
552972-Liana Cardim-4504.27
682189-Romo Paranage-5542.65
879438-Letedcia Gago-855.43
405268-Jonatas Felgueiras-21074.12
255134-Jussara Varanda-13821.80
610483-Almor Caiado-8563.85
981770-Letedcia Gago-11119.63
856903-Oliveira Carmona-9722.82
785062-Camila Gabeira-13526.61
551339-Odilia Bello-11191.76
570264-Quintiliano Sousa de Arronches-16607.29
395823-Silvio Mata-14809.28
197958-Jonatas Felgueiras-13983.24
883267-Almerinda Palmeira-3692.45
243723-Zungela Ipiranga-9095.00
78730-Lina Andrade-12641.11
56133-Angelica Aranha-11746.09
586691-Sofras Cuaresma-10019.82
281217-Nuno Balsemeo-19197.67
500935-Jonatas Felgueiras-8938.35
417059-Marilda Leio-4309.22
760189-Marilda Leio-518.34
851675-Jorgina Bogalho-9720.32
2384-Armanda Amorim-13249.15
81538-Aludsio Sosa-4116.75
857189-Edgar Carvalheiro-9937.54
17701-Delfina Perdigon-963.26
141007-Emiliana Foquio-16109.13
62845-Adelina Quadros-567.11
162367-Angelica Aranha-20012.12
438323-Delfim Higuera-6391.45
960038-Cleusa Goes-7159.05
926053-Dulce Froes-6382.73
215807-Andreia Moita-4917.92
750919-Almerinda Palmeira-2363.90
302875-Delfina Perdigon-12542.47
965807-Filomena Barrios-1067.81
754189-Ximena Castilho-534.38
41275-Nuno Balsemeo-20665.01
95775-Delfina Perdigon-10561.80
501733-Guida Juca-2891.35
829413-Anind Zarco-14260.95
990989-Flor Portella-16530.21
184421-Augusta Paio-2207.53
809326-Quintiliano Sousa de Arronches-17935.04
109429-Rebeca Neto-8383.23
679810-Sara Lameiras-7668.05
576604-Gaudancio Fiees-6060.76
386502-Angelica Aranha-13581.17
423424-Elisa Themes-6477.29
671953-Emedlia Silvera-15162.31
581854-Delfina Garcia de Gondim-995.77
396962-Oliveira Senchez-7445.68
485306-Delfina Garcia de Gondim-1282.68
881974-Jorgina Bogalho-17230.78
668503-Jorgina Bogalho-16457.04
702082-Melinda Roserio-8899.00
516765-Micaela Chavez-16994.76
286263-Eurico Siqueira-13903.79
557069-Ubaldo Mainha-193.19
524254-Edgar Carvalheiro-17349.91
626142-Sofras Cuaresma-7340.89
822770-Polibe Olivares-20274.86
72897-Eurico Siqueira-19584.88
559626-Sara Lameiras-10188.86
582931-Angelica Aranha-15925.55
412984-Eurico Siqueira-6387.73
564648-Dulce Froes-4118.06
308465-Clarindo Areosa-9650.92
169358-Tibefarcio Colao-701.66
759453-Moaci Mendoa-9306.90
96837-Gaudancio Fiees-16883.16
10923-Emedlio Pimentel-16216.55
9051-Ermelinda Quintela-2362.45
759292-Melinda Roserio-20478.04
103675-Taercio Mafra-2599.03
667981-Angilica Galante-58.33
648374-Ermelinda Quintela-20523.97
105105-Romo Paranage-5632.22
457380-Ximena Castilho-11913.92
128624-Mercia Caeira-2896.67
790790-Domingos Pas-15217.64
58436-Basilio Pedroso-6922.92
328525-Adelina Quadros-6933.01
602714-Lurdes Cotrim-16530.60
279331-Judite Damasceno-9996.80
510525-Romo Paranage-3788.64
514732-Antonio Castelo-6805.13
841421-Angelica Aranha-14566.18
260504-Antonio Viegas-19500.75
845401-Neuza Francia-327.20
120368-Melinda Roserio-17345.11
744251-Silvio Mata-13470.86
23467-Anind Zarco-8979.31
547267-Oliveira Carmona-1980.50
