425342-Lurdes Cotrim-9988.12
687434-Sofras Cuaresma-1298.78
719019-Tibefarcio Colao-17193.92
555957-Honorina Lira-354.29
445075-Neuza Francia-6057.49
700292-Odete Vasques-16740.02
521817-Daniel Vieyra-12604.10
750871-Quintino Alcantara-12111.94
440630-Tibefarcio Colao-10782.36
955206-Andreia Moita-2509.17
619853-Nuno Balsemeo-2743.42
628066-Lurdes Cotrim-14100.29
989004-Daniel Vieyra-6822.65
317996-Marilda Leio-12338.21
966147-Moaci Mendoa-3777.82
971016-Judite Damasceno-10944.82
219587-Zulmira Becerra-815.20
957265-Celeste Duarte-17.88
622495-Elisa Themes-6312.28
795688-Daniel Vieyra-927.00
419193-Liana Cardim-7003.20
371115-Rebeca Neto-11919.48
201228-Camila Gabeira-12199.37
422953-Mercia Caeira-14012.55
589868-Tibofarcio Camacho-16952.21
505687-Angilica Galante-6017.08
939893-Tibefarcio Colao-20159.28
784391-Adelina Quadros-12564.02
338965-Telma Villalobos-14760.24
129498-Spnia ou Sonia Guerreiro-17048.20
352876-Ermelinda Quintela-5017.55
401735-Angelica Aranha-10131.26
512567-Danilo Olaio-12213.28
371685-Ubaldo Mainha-6982.67
567752-Antonio Castelo-16268.57
62195-Flamednia Leiria-3178.79
38954-Artur Grillo-5928.19
536198-Honorina Lira-15646.03
821150-Emedlia Silvera-1494.58
334441-Angilica Galante-17205.88
547628-Odilia Bello-864.57
596918-Aludsio Sosa-19638.59
594024-Armindo Castalo-1728.88
527950-Regina Barcellos-18382.59
749397-Marilda Leio-17513.44
191808-Sofras Cuaresma-2899.22
342551-Joaquim Rufino-6959.61
453918-Leonidas Mafra-9034.97
966821-Emiliana Foquio-9143.18
503756-Jonatas Felgueiras-13596.53
893115-Angelica Aranha-1847.17
521387-Flamednia Leiria-2373.14
792391-Guida Juca-5619.08
907357-Telma Villalobos-2309.52
289237-Emedlio Pimentel-6457.02
44252-Quintino Alcantara-13538.93
678089-Oliveira Senchez-8097.52
130641-Clara Alcantara-10292.06
702651-Mercia Caeira-11211.73
733085-Angelica Aranha-4141.93
867793-Odilia Camello-6130.86
459651-Leonidas Mafra-721.24
910395-Mercia Caeira-19519.16
765295-Domingos Pas-10313.40
396037-Estanislau Beserra-1561.46
370373-Letedcia Gago-9531.90
783204-Domingos Pas-15928.68
157131-Neeamia Arruda-5205.15
28353-Rodolfo Paz-14482.18
734372-Heleedsa Marins-2304.67
609630-Edgar Carvalheiro-7353.35
685403-Judite Damasceno-9017.95
591313-Carminda Morais-5462.21
405032-Taercio Mafra-19889.87
170863-Andreia Moita-6258.99
638202-Neeamia Arruda-3557.86
515211-Odilia Camello-14685.69
144441-Carminda Morais-3652.42
496162-Neuza Francia-967.87
20843-Almerinda Palmeira-15775.21
254944-Domingos Pas-18721.31
575228-Manuel Capiperibe-11653.33
19434-Tabalipa Duarte-18419.24
379954-Manuel Capiperibe-1688.45
113200-Odilia Bello-6720.16
475705-Anind Zarco-18496.54
544426-Adelina Quadros-7606.86
481100-Clarindo Areosa-3623.47
449071-Honorina Lira-16838.43
634639-Aludsio Sosa-15513.80
803593-Spnia ou Sonia Guerreiro-3791.52
307376-Odilia Camello-9277.27
605638-Daniel Vieyra-11217.46
125126-Antonio Viegas-7656.43
663840-Anfnia Seixas-8907.56
101465-Antonio Castelo-16532.31
808373-Daniel Vieyra-18587.76
116826-Edgar Carvalheiro-9527.73
667601-Jorgina Bogalho-16032.22
5405-Nuno Balsemeo-9633.73
