46619-Trajano Fagundes-384.29
351860-Sofras Cuaresma-14314.06
907209-Tabalipa Duarte-12793.87
600140-Clara Alcantara-16237.10
748000-Estanislau Beserra-16178.33
603131-Lina Andrade-20647.92
498205-Celeste Duarte-2442.69
321349-Jonatas Felgueiras-4546.20
936407-Dulce Froes-10838.02
658890-Odilia Bello-10764.62
417809-Aludsio Sosa-17555.09
766702-Augusta Paio-11353.77
875939-Basilio Pedroso-21292.84
589627-Armanda Amorim-12284.00
318349-Armanda Amorim-17451.49
279240-Telma Villalobos-72.68
321153-Fulvio Villegas-19607.66
757574-Lurdes Cotrim-5576.04
373582-Almerinda Palmeira-3530.57
464113-Cassandra Varejo-3252.32
877785-Jonatas Felgueiras-7616.50
720890-Jorgina Bogalho-12984.16
485957-Antonio Castelo-16572.92
637473-Lurdes Cotrim-2813.98
532038-Antonio Castelo-392.33
259950-Trajano Fagundes-16325.12
296293-Regina Barcellos-20728.33
601838-Cassandra Varejo-6761.07
527699-Mercia Caeira-7964.81
772254-Letedcia Gago-9699.45
478774-Jonatas Felgueiras-16408.23
210230-Anfnia Seixas-7000.60
834835-Adelino Barra-17265.46
259798-Celeste Duarte-17047.00
85259-Filomena Barrios-1107.48
575571-Jussara Varanda-7100.08
333864-Clara Alcantara-12723.04
374696-Marilda Leio-20419.06
19416-Silvio Mata-13259.50
237135-Oliveira Senchez-2082.39
170393-Henrique Bento-19127.18
269701-Artur Grillo-17524.44
785411-Tabalipa Duarte-8627.96
626164-Emedlio Pimentel-13730.55
348885-Daniel Vieyra-2166.57
820979-Armindo Castalo-12862.32
805335-Taercio Mafra-2940.83
139457-Micaela Chavez-13484.58
580920-Tabalipa Duarte-7119.93
19658-Melinda Roserio-8852.30
403434-Mercia Caeira-459.17
126384-Joaquim Rufino-11031.87
425750-Odilia Bello-10604.88
271139-Flamednia Leiria-15751.15
332727-Oliveira Carmona-7809.80
142552-Delfim Higuera-8648.01
960566-Fulvio Villegas-13116.06
599412-Leonidas Mafra-20467.46
660930-Tibefarcio Colao-15988.43
189170-Anfnia Seixas-7643.79
440034-Odete Vasques-5132.99
441353-Silvio Mata-3389.42
887005-Armindo Castalo-9413.67
644530-Jonatas Felgueiras-18996.38
457373-Sidfnio Frois-6234.88
927147-Flor Portella-15186.30
662127-Spnia ou Sonia Guerreiro-10001.07
963472-Estanislau Beserra-3402.23
238582-Marilda Leio-15808.84
506874-Gaudancio Fiees-17530.73
5483-Artur Grillo-10650.29
937506-Odete Vasques-14294.71
56293-Danilo Olaio-3038.74
663606-Odilia Bello-6985.18
418314-Fulvio Villegas-18389.76
636598-Clara Alcantara-17944.19
688495-Moaci Mendoa-18510.81
830282-Danilo Olaio-1555.61
750474-Melinda Roserio-2038.00
513637-Cleusa Goes-5603.07
172135-Nuno Balsemeo-21103.12
129402-Camila Gabeira-6047.66
28173-Cleusa Goes-14418.22
810551-Antonio Castelo-13870.02
231323-Odilia Bello-20154.21
655920-Rodolfo Paz-19605.74
710542-Neuza Francia-20872.62
388460-Delfina Garcia de Gondim-15596.09
289086-Nuno Balsemeo-2768.76
589702-Esperada Cardoso-19853.89
479478-Telma Villalobos-10070.78
398449-Heleedsa Marins-27.23
304319-Joaquim Rufino-14587.52
84095-Manuel Capiperibe-20215.62
382307-Ermelinda Quintela-14433.10
172679-Marilda Leio-3474.82
898712-Sidfnio Frois-2527.09
222533-Eurico Siqueira-116.14
107613-Neeamia Arruda-21119.03
792535-Tabalipa Duarte-16920.09
