784173-Flamednia Leiria-5050.05
604364-Honorina Lira-17634.03
706965-Sofras Cuaresma-4542.24
631917-Neeamia Arruda-11763.08
75531-Delfina Perdigon-3332.07
456121-Anind Zarco-19113.79
410284-Romo Paranage-12627.94
659221-Neeamia Arruda-2385.33
516861-Taercio Mafra-11416.41
766382-Odilia Camello-20284.33
405071-Dulce Froes-13117.34
637766-Telma Villalobos-11018.55
593869-Neeamia Arruda-20035.62
817906-Ubaldo Mainha-11637.10
604076-Delfina Garcia de Gondim-21167.85
732757-Tibefarcio Colao-4357.58
827165-Neeamia Arruda-2286.85
630548-Dulce Froes-14353.44
564069-Leonidas Mafra-13203.77
400463-Cassandra Varejo-1606.60
278488-Jonatas Felgueiras-20890.65
644920-Liana Cardim-16702.19
930910-Delfina Garcia de Gondim-10543.29
957131-Artur Grillo-17001.47
291326-Sara Lameiras-13342.67
832154-Danilo Olaio-14000.00
268647-Jorgina Bogalho-973.44
15868-Adelino Barra-19739.74
296352-Artur Grillo-5990.55
217710-Anfnia Seixas-2319.72
605183-Delfina Garcia de Gondim-4172.50
210239-Melinda Roserio-16598.95
702650-Nuno Balsemeo-14283.42
756678-Emedlia Silvera-1768.16
36944-Delfim Higuera-12291.07
618980-Daniel Vieyra-6234.55
958906-Eurico Siqueira-2712.40
983359-Jussara Varanda-14352.56
867912-Tibofarcio Camacho-590.69
645778-Telma Villalobos-15792.87
566987-Quintiliano Sousa de Arronches-15818.92
585667-Ermelinda Quintela-13786.18
823232-Angilica Galante-20713.21
906254-Lina Andrade-13685.94
136289-Tibefarcio Colao-4341.48
150117-Rebeca Neto-13847.67
680494-Melinda Roserio-3612.42
554586-Nuno Balsemeo-18872.25
919293-Delfina Garcia de Gondim-9556.09
338684-Heleedsa Marins-10342.55
729574-Joaquim Rufino-1363.39
886803-Ubaldo Mainha-3509.24
938940-Eurico Siqueira-12007.47
849599-Augusta Paio-15926.54
575912-Emedlia Silvera-10793.06
409204-Spnia ou Sonia Guerreiro-9949.73
214335-Fulvio Villegas-5921.70
259952-Artur Grillo-21157.24
561922-Ubaldo Mainha-10971.60
449303-Angelica Aranha-2830.15
623452-Andreia Moita-20527.45
205904-Odete Vasques-3811.48
923251-Neeamia Arruda-12230.87
478143-Odilia Camello-17119.36
627259-Carminda Morais-20245.12
440246-Romo Paranage-12424.38
19734-Tibofarcio Camacho-21366.52
840979-Esperada Cardoso-6834.28
403694-Domingos Pas-4655.07
92141-Angelica Aranha-15419.56
35748-Anind Zarco-11970.96
317853-Artur Grillo-10128.18
40476-Armanda Amorim-2202.57
510497-Anfnia Seixas-8907.36
634170-Mercia Caeira-978.79
580490-Elisa Themes-4233.19
15924-Emiliana Foquio-11043.39
620968-Tabalipa Duarte-3546.97
466558-Neuza Francia-616.17
471989-Zungela Ipiranga-11807.09
8647-Silvio Mata-4512.61
289756-Quintiliano Sousa de Arronches-1570.95
234822-Odilia Bello-6491.36
266434-Marilda Leio-9806.46
750543-Armanda Amorim-5967.97
263062-Anind Zarco-5768.93
729547-Telma Villalobos-19159.09
847982-Joaquim Rufino-9110.47
911022-Liana Cardim-18255.13
480590-Anind Zarco-14615.02
522341-Anfnia Seixas-1020.27
176079-Marilda Leio-19473.16
131356-Trajano Fagundes-9360.67
860481-Cassandra Varejo-4388.50
841596-Clara Alcantara-201.17
185608-Armindo Castalo-17043.80
365469-Rodolfo Paz-2916.26
884559-Branco Saraba-659.90
100211-Melinda Roserio-17109.02
932471-Honorina Lira-13968.98
