396945-Delfina Garcia de Gondim-17013.66
299418-Angelica Aranha-11957.45
741374-Gaudancio Fiees-14339.59
474504-Tibefarcio Colao-3030.86
809689-Feledcia Peassego-4138.90
690429-Andreia Moita-19255.60
105529-Quintino Alcantara-15716.26
517021-Moaci Mendoa-11562.04
337676-Basilio Pedroso-11505.76
849628-Emedlia Silvera-7615.65
342596-Oliveira Senchez-17189.62
688424-Lina Andrade-7467.78
368983-Delfina Garcia de Gondim-18635.19
621629-Sara Lameiras-8605.10
333073-Edgar Carvalheiro-12983.20
983314-Henrique Bento-13710.10
634720-Neuza Francia-3226.32
980250-Andreia Moita-16951.49
375968-Ubaldo Mainha-13920.03
882584-Lurdes Cotrim-5903.69
299420-Clarindo Areosa-17407.12
599047-Aludsio Sosa-16099.16
644007-Antonio Castelo-12608.02
680487-Clarindo Areosa-11659.40
286870-Polibe Olivares-18212.73
783603-Leonidas Mafra-3337.72
357053-Neeamia Arruda-21344.07
72621-Judite Damasceno-4179.04
508878-Augusta Paio-4452.80
521574-Jonatas Felgueiras-21081.62
99235-Fulvio Villegas-16739.78
671510-Antonio Castelo-8440.93
505115-Armanda Amorim-8142.54
890478-Filomena Barrios-8709.34
785753-Zulmira Becerra-13172.21
629-Neuza Francia-4195.21
741887-Antonio Viegas-1033.94
115057-Almerinda Palmeira-19404.67
153511-Artur Grillo-6444.92
711278-Antonio Castelo-16610.14
637986-Delfina Garcia de Gondim-14566.29
792583-Ximena Castilho-17503.01
863495-Odilia Camello-11413.22
252407-Emedlio Pimentel-14932.13
97302-Clara Alcantara-15189.99
214900-Antonio Castelo-3695.16
621220-Andreia Moita-15632.58
950982-Odilia Bello-11278.89
184436-Nuno Balsemeo-7585.59
697550-Tarrataca Soares-18472.70
889262-Guida Juca-6894.24
58990-Branco Saraba-11732.17
354839-Adelino Barra-6135.97
388112-Augusta Paio-2713.66
872001-Sara Lameiras-13124.63
93375-Rodolfo Paz-12631.94
835839-Camila Gabeira-4573.32
456444-Armanda Amorim-10292.83
576869-Celeste Duarte-12494.67
189639-Jonatas Felgueiras-15631.65
332680-Rodolfo Paz-19310.54
621580-Ermelinda Quintela-18796.29
211497-Trajano Fagundes-1055.01
640250-Jonatas Felgueiras-17178.89
281966-Celeste Duarte-11452.77
438749-Telma Villalobos-18523.71
627582-Rebeca Neto-21112.06
74000-Almerinda Palmeira-20251.79
925764-Anfnia Seixas-13872.72
336385-Camila Gabeira-8419.78
533493-Telma Villalobos-20503.11
155074-Aludsio Sosa-264.49
510064-Letedcia Gago-8156.60
461957-Clarindo Areosa-12643.01
779513-Taercio Mafra-7180.99
76386-Feledcia Peassego-6960.54
567476-Danilo Olaio-15676.82
390355-Anind Zarco-6012.72
528709-Liana Cardim-10721.98
617918-Jorgina Bogalho-15915.34
904588-Delfina Garcia de Gondim-18590.68
245278-Sara Lameiras-4167.39
731682-Emedlia Silvera-5852.49
718640-Telma Villalobos-8307.11
110615-Antonio Castelo-14244.91
295962-Emiliana Foquio-15315.67
851703-Tibofarcio Camacho-2676.51
130029-Guida Juca-2375.57
620090-Clara Alcantara-3230.86
382401-Romo Paranage-17737.04
122955-Emedlia Silvera-18576.09
690783-Manuel Capiperibe-3583.70
223818-Judite Damasceno-13031.02
900853-Almerinda Palmeira-5023.37
911196-Basilio Pedroso-18214.48
504107-Augusta Paio-21107.44
667393-Tibofarcio Camacho-10751.12
28636-Odilia Camello-8257.58
661837-Micaela Chavez-12403.78
492759-Danilo Olaio-15587.60
