128786-Romo Paranage-7349.79
46108-Sidfnio Frois-5416.78
991514-Jorgina Bogalho-15832.77
954515-Branco Saraba-16161.51
276277-Marilda Leio-16649.16
325860-Leonidas Mafra-523.44
290614-Basilio Pedroso-11262.11
345998-Sara Lameiras-2571.10
675618-Fulvio Villegas-394.08
1796-Leonidas Mafra-20040.76
458148-Aludsio Sosa-397.21
163730-Anind Zarco-20047.67
928666-Jorgina Bogalho-8142.75
756771-Adelina Quadros-14682.29
345988-Andreia Moita-3220.22
701051-Ximena Castilho-5833.48
502562-Emiliana Foquio-161.55
940730-Estanislau Beserra-7255.01
455113-Neuza Francia-496.93
502111-Rebeca Neto-15086.95
52021-Polibe Olivares-18181.53
581277-Emiliana Foquio-9348.33
788186-Angelica Aranha-14667.61
788491-Fulvio Villegas-16965.18
939691-Lurdes Cotrim-8343.81
39449-Ermelinda Quintela-5135.98
966646-Regina Barcellos-17281.01
621480-Celeste Duarte-19120.41
386319-Edgar Carvalheiro-13590.13
75039-Tibefarcio Colao-4430.31
839518-Zungela Ipiranga-8040.83
324895-Ermelinda Quintela-10296.65
93629-Trajano Fagundes-16614.53
137236-Cassandra Varejo-21352.41
926581-Emedlio Pimentel-19196.97
254295-Jonatas Felgueiras-5322.53
413532-Tarrataca Soares-1727.36
243964-Jorgina Bogalho-19673.58
58885-Romo Paranage-18782.60
82970-Clara Alcantara-20923.35
318014-Sara Lameiras-3186.91
705813-Odilia Camello-8920.16
442802-Henrique Bento-15221.10
457647-Camila Gabeira-8757.63
990768-Delfina Perdigon-4212.06
420856-Telma Villalobos-4804.60
448964-Guida Juca-16368.74
94006-Estanislau Beserra-17591.18
780359-Almerinda Palmeira-15726.93
995841-Aludsio Sosa-11272.93
758915-Cleusa Goes-19316.11
605250-Eurico Siqueira-15088.33
116123-Ermelinda Quintela-7937.92
596073-Nuno Balsemeo-12532.50
833591-Emedlio Pimentel-2887.57
284721-Henrique Bento-8821.77
505263-Flor Portella-13996.26
945511-Judite Damasceno-14217.20
259651-Almerinda Palmeira-7130.17
350353-Odilia Bello-6325.29
809009-Aludsio Sosa-16232.88
442433-Judite Damasceno-1944.10
91873-Leonidas Mafra-16705.26
883662-Letedcia Gago-12706.38
438684-Quintiliano Sousa de Arronches-11299.88
199873-Andreia Moita-10207.89
421523-Fulvio Villegas-14752.95
33519-Flor Portella-5187.57
279825-Adelino Barra-1185.33
219328-Aludsio Sosa-53.99
967700-Neeamia Arruda-1242.08
842957-Ermelinda Quintela-7936.51
67263-Regina Barcellos-7582.59
83421-Guida Juca-15401.43
349078-Anind Zarco-18675.81
887707-Trajano Fagundes-142.98
603812-Tarrataca Soares-7557.19
462710-Adelino Barra-14337.53
558406-Marilda Leio-16600.32
154907-Dulce Froes-8597.68
797111-Angilica Galante-1602.52
243933-Branco Saraba-14930.95
100622-Andreia Moita-20721.62
999654-Almor Caiado-5437.62
537102-Ermelinda Quintela-3086.28
579263-Fulvio Villegas-16555.15
410856-Delfim Higuera-11716.35
53498-Quintiliano Sousa de Arronches-2566.14
969051-Aludsio Sosa-3321.73
900814-Liana Cardim-21113.28
231845-Moaci Mendoa-19316.41
287505-Sara Lameiras-14164.02
477522-Manuel Capiperibe-7600.19
442827-Marilda Leio-16330.18
67082-Taercio Mafra-10110.72
788972-Sidfnio Frois-241.67
292017-Estanislau Beserra-18405.78
30444-Aludsio Sosa-14931.48
37773-Oliveira Senchez-16481.17
593829-Angelica Aranha-2765.34
