12256-Quintiliano Sousa de Arronches-10199.25
688617-Sara Lameiras-7385.84
902160-Basilio Pedroso-20100.15
759730-Angilica Galante-19793.55
75468-Clara Alcantara-19445.85
37141-Artur Grillo-14120.22
90834-Regina Barcellos-6954.66
78996-Artur Grillo-2918.88
883431-Anfnia Seixas-18131.93
51985-Clarindo Areosa-16532.30
778967-Camila Gabeira-15737.59
509544-Eurico Siqueira-11149.64
485179-Delfina Garcia de Gondim-4223.82
388395-Leonidas Mafra-18991.42
840155-Flamednia Leiria-18917.34
347677-Anfnia Seixas-6292.87
811043-Rebeca Neto-2348.95
558023-Neuza Francia-8259.74
972838-Tibofarcio Camacho-4353.73
576099-Danilo Olaio-7664.25
22622-Neeamia Arruda-11682.04
910993-Domingos Pas-17357.14
383333-Jussara Varanda-17981.99
386762-Antonio Castelo-9331.04
261320-Emedlia Silvera-20999.44
237015-Aludsio Sosa-18868.08
751476-Angilica Galante-19516.19
731908-Angelica Aranha-386.93
599876-Tarrataca Soares-19426.66
177519-Anfnia Seixas-4737.59
501697-Flor Portella-19747.81
584667-Oliveira Senchez-10232.09
147749-Silvio Mata-5051.08
93105-Tibefarcio Colao-2830.11
696816-Andreia Moita-1887.89
550703-Guaraci Damasceno-195.42
691907-Edgar Carvalheiro-11872.94
243966-Feledcia Peassego-925.42
253172-Eurico Siqueira-13221.42
152014-Estanislau Beserra-2468.36
992475-Armanda Amorim-6673.38
520820-Domingos Pas-20099.22
795647-Rodolfo Paz-10945.86
269433-Guaraci Damasceno-4911.96
363277-Sofras Cuaresma-20988.93
917334-Telma Villalobos-13669.60
795633-Cleusa Goes-10721.68
809218-Moaci Mendoa-14494.12
999759-Sofras Cuaresma-11771.81
889152-Oliveira Senchez-6908.50
537143-Artur Grillo-7568.42
966355-Celeste Duarte-3958.79
120485-Quintiliano Sousa de Arronches-13436.75
899218-Telma Villalobos-11034.61
172965-Odete Vasques-6083.40
752102-Angilica Galante-19582.58
873645-Almerinda Palmeira-5975.70
289069-Antonio Castelo-6253.79
246636-Urbano Rodrigues-20803.79
862573-Urbano Rodrigues-4627.84
314400-Odete Vasques-5413.21
103814-Nuno Balsemeo-21432.88
331835-Melinda Roserio-19969.25
662564-Urbano Rodrigues-6073.40
189106-Angelica Aranha-4050.30
124629-Almerinda Palmeira-15787.82
536188-Dulce Froes-20006.55
115690-Dulce Froes-7104.61
623453-Telma Villalobos-20957.07
312650-Adelino Barra-10360.86
851646-Jussara Varanda-20734.01
749269-Basilio Pedroso-15800.21
42691-Artur Grillo-15658.69
494855-Domingos Pas-9780.48
440604-Melinda Roserio-3077.53
210510-Jorgina Bogalho-16538.78
270964-Silvio Mata-20884.14
384895-Tarrataca Soares-5360.46
910578-Regina Barcellos-5936.70
815068-Urbano Rodrigues-12909.82
503869-Armanda Amorim-11713.50
514124-Ubaldo Mainha-9916.16
844892-Armindo Castalo-11476.59
100306-Zungela Ipiranga-8356.70
212289-Tibefarcio Colao-11591.11
353805-Mercia Caeira-5788.37
276958-Domingos Pas-10531.08
888097-Sara Lameiras-10320.10
959938-Telma Villalobos-11409.20
255471-Zungela Ipiranga-13127.35
637267-Judite Damasceno-20102.39
936080-Romo Paranage-16272.70
288427-Heleedsa Marins-1596.31
993440-Polibe Olivares-17517.31
779091-Judite Damasceno-5684.60
801784-Ubaldo Mainha-13098.13
218851-Honorina Lira-12596.07
566481-Almor Caiado-2710.11
476716-Silvio Mata-12019.71
540307-Ermelinda Quintela-18532.27
